第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-项目,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-项目.1,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.1,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.2,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.3,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.4,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-评价项目.5,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-加减分值,第二制造部装焊课个人评价项目-第二制造部装焊课个人评价项目-加减分值.1
Ⅱ,品,1,未按要领书拿取部品造成不良（未按标准作业),未按要领书拿取部品造成不良（未按标准作业),未按要领书拿取部品造成不良（未按标准作业),未按要领书拿取部品造成不良（未按标准作业),未按要领书拿取部品造成不良（未按标准作业),-2.0,
Ⅱ,品,2,作业过程中发生不良未及时上报,作业过程中发生不良未及时上报,作业过程中发生不良未及时上报,作业过程中发生不良未及时上报,作业过程中发生不良未及时上报,-2.0,
Ⅱ,品,3,部品不良未发现而继续使用,部品不良未发现而继续使用,部品不良未发现而继续使用,部品不良未发现而继续使用,部品不良未发现而继续使用,-2.0,
Ⅱ,品,4,作业后未进行记号笔确认(未按标准作业）,作业后未进行记号笔确认(未按标准作业）,作业后未进行记号笔确认(未按标准作业）,作业后未进行记号笔确认(未按标准作业）,作业后未进行记号笔确认(未按标准作业）,-2.0,
Ⅱ,质,5,未按标准作业造成不良流出,未按标准作业造成不良流出,未按标准作业造成不良流出,未按标准作业造成不良流出,未按标准作业造成不良流出,-5.0,
Ⅱ,质,6,误欠品，重要品质不良及时发现未流出,误欠品，重要品质不良及时发现未流出,误欠品，重要品质不良及时发现未流出,误欠品，重要品质不良及时发现未流出,误欠品，重要品质不良及时发现未流出,,2.0
Ⅱ,质,7,发现厂家或前工程品质不良,发现厂家或前工程品质不良,发现厂家或前工程品质不良,发现厂家或前工程品质不良,发现厂家或前工程品质不良,,5.0
Ⅱ,质,8,保证自工程“0”不良（一个月）,保证自工程“0”不良（一个月）,保证自工程“0”不良（一个月）,保证自工程“0”不良（一个月）,保证自工程“0”不良（一个月）,,5.0
Ⅲ,生,1,因自身原因造成生产线延迟或停止,因自身原因造成生产线延迟或停止,因自身原因造成生产线延迟或停止,因自身原因造成生产线延迟或停止,因自身原因造成生产线延迟或停止,-5.0,
Ⅲ,生,2,因品质不良未及时联络造成产线延迟，停止,因品质不良未及时联络造成产线延迟，停止,因品质不良未及时联络造成产线延迟，停止,因品质不良未及时联络造成产线延迟，停止,因品质不良未及时联络造成产线延迟，停止,-2.0,
Ⅲ,生,3,设备异常时不及时联络造成生产线延迟，停止,设备异常时不及时联络造成生产线延迟，停止,设备异常时不及时联络造成生产线延迟，停止,设备异常时不及时联络造成生产线延迟，停止,设备异常时不及时联络造成生产线延迟，停止,-2.0,
Ⅲ,生,4,人为造成设备故障使生产线延迟或停止,人为造成设备故障使生产线延迟或停止,人为造成设备故障使生产线延迟或停止,人为造成设备故障使生产线延迟或停止,人为造成设备故障使生产线延迟或停止,-5.0,
Ⅲ,产,5,做与工作无关的事造成生产线延迟或停止,做与工作无关的事造成生产线延迟或停止,做与工作无关的事造成生产线延迟或停止,做与工作无关的事造成生产线延迟或停止,做与工作无关的事造成生产线延迟或停止,-5.0,
Ⅲ,产,6,发现异常并及时联络避免生产线延迟或停止,发现异常并及时联络避免生产线延迟或停止,发现异常并及时联络避免生产线延迟或停止,发现异常并及时联络避免生产线延迟或停止,发现异常并及时联络避免生产线延迟或停止,,2.0
Ⅲ,产,7,服从指挥，并积极配合恢复生产,服从指挥，并积极配合恢复生产,服从指挥，并积极配合恢复生产,服从指挥，并积极配合恢复生产,服从指挥，并积极配合恢复生产,,2.0
Ⅲ,产,8,对困难作业提出改善意见并实施（创意功夫）,对困难作业提出改善意见并实施（创意功夫）,对困难作业提出改善意见并实施（创意功夫）,对困难作业提出改善意见并实施（创意功夫）,对困难作业提出改善意见并实施（创意功夫）,,5.0
Ⅳ,人,1,迟到、早退,迟到、早退,迟到、早退,迟到、早退,迟到、早退,-5.0,
Ⅳ,人,2,无故离岗，擅自离岗,无故离岗，擅自离岗,无故离岗，擅自离岗,无故离岗，擅自离岗,无故离岗，擅自离岗,-5.0,
Ⅳ,人,3,突发病假，手续不齐全或存在欺骗行为,突发病假，手续不齐全或存在欺骗行为,突发病假，手续不齐全或存在欺骗行为,突发病假，手续不齐全或存在欺骗行为,突发病假，手续不齐全或存在欺骗行为,-5.0,
Ⅳ,事,4,无正当理由休事假，矿工,无正当理由休事假，矿工,无正当理由休事假，矿工,无正当理由休事假，矿工,无正当理由休事假，矿工,-10.0,
Ⅳ,事,5,不能按照计划年休休假,不能按照计划年休休假,不能按照计划年休休假,不能按照计划年休休假,不能按照计划年休休假,-2.0,
Ⅳ,事,6,全月无休假,全月无休假,全月无休假,全月无休假,全月无休假,,10.0
Ⅴ,原,1,保护具丢失，不能以旧换新,保护具丢失，不能以旧换新,保护具丢失，不能以旧换新,保护具丢失，不能以旧换新,保护具丢失，不能以旧换新,-2.0,
Ⅴ,原,2,故意损坏公司财务，乱扔部品,故意损坏公司财务，乱扔部品,故意损坏公司财务，乱扔部品,故意损坏公司财务，乱扔部品,故意损坏公司财务，乱扔部品,-5.0,
Ⅴ,价,3,未按标准作业造成加不过多,未按标准作业造成加不过多,未按标准作业造成加不过多,未按标准作业造成加不过多,未按标准作业造成加不过多,-5.0,
Ⅴ,价,4,经改善能降低加不数量（创意功夫）,经改善能降低加不数量（创意功夫）,经改善能降低加不数量（创意功夫）,经改善能降低加不数量（创意功夫）,经改善能降低加不数量（创意功夫）,,10.0
Ⅵ,其,1,创意功夫达标状况,创意功夫达标状况,创意功夫达标状况,创意功夫达标状况,创意功夫达标状况,-2.0,2.0
Ⅵ,其,2,各类点检表、管理表及时填写状况（TPM等）,各类点检表、管理表及时填写状况（TPM等）,各类点检表、管理表及时填写状况（TPM等）,各类点检表、管理表及时填写状况（TPM等）,各类点检表、管理表及时填写状况（TPM等）,-2.0,2.0
Ⅵ,它,3,个人担当区域4S状况,个人担当区域4S状况,个人担当区域4S状况,个人担当区域4S状况,个人担当区域4S状况,-2.0,2.0
Ⅵ,它,4,团队协作情况,团队协作情况,团队协作情况,团队协作情况,团队协作情况,-2.0,2.0
Ⅶ,表,1,课长级表彰,课长级表彰,课长级表彰,课长级表彰,课长级表彰,,4.0
Ⅶ,表,2,部长级表彰,部长级表彰,部长级表彰,部长级表彰,部长级表彰,,6.0
Ⅶ,彰,3,工厂长级表彰,工厂长级表彰,工厂长级表彰,工厂长级表彰,工厂长级表彰,,8.0
Ⅶ,彰,4,总经理级表彰,总经理级表彰,总经理级表彰,总经理级表彰,总经理级表彰,,10.0
