ZMID,DEH,ZMMC,DW,基价,RGF,CLF,JXF,QTF
95,1-95,铣床及齿轮、螺纹加工机床 设备重量(35t以内),台,11337.03,4783.97,3943.35,2609.71,0
96,1-96,铣床及齿轮、螺纹加工机床 设备重量(50t以内),台,14477.64,6722.59,4257.7,3497.35,0
97,1-97,铣床及齿轮、螺纹加工机床 设备重量(70t以内),台,18539.63,9154.03,4918.53,4467.07,0
98,1-98,铣床及齿轮、螺纹加工机床 设备重量(100t以内),台,22763.47,11977.92,5643.02,5142.53,0
99,1-99,铣床及齿轮、螺纹加工机床 设备重量(150t以内),台,30111.98,16306.13,7825.0,5980.85,0
100,1-100,铣床及齿轮、螺纹加工机床 设备重量(200t以内),台,35194.53,19855.06,8314.35,7025.12,0
101,1-101,铣床及齿轮、螺纹加工机床 设备重量(250t以内),台,41544.01,23851.01,10186.84,7506.16,0
102,1-102,铣床及齿轮、螺纹加工机床 设备重量(300t以内),台,47306.3,27917.09,10628.7,8760.51,0
103,1-103,铣床及齿轮、螺纹加工机床 设备重量(400t以内),台,60485.67,35795.42,11745.51,12944.74,0
104,1-104,铣床及齿轮、螺纹加工机床 设备重量(500t以内),台,73305.77,44805.26,12739.97,15760.54,0
105,1-105,刨床、插床、拉床 设备重量(1t以内),台,557.0,327.5,152.17,77.33,0
106,1-106,刨床、插床、拉床 设备重量(3t以内),台,920.36,559.78,209.96,150.62,0
107,1-107,刨床、插床、拉床 设备重量(5t以内),台,1155.97,730.66,238.05,187.26,0
108,1-108,刨床、插床、拉床 设备重量(7t以内),台,2545.87,1441.82,475.04,629.01,0
109,1-109,刨床、插床、拉床 设备重量(10t以内),台,3140.15,1890.0,577.94,672.21,0
110,1-110,刨床、插床、拉床 设备重量(15t以内),台,4437.05,2623.87,1010.32,802.86,0
111,1-111,刨床、插床、拉床 设备重量(20t以内),台,6350.45,3102.72,1829.26,1418.47,0
112,1-112,刨床、插床、拉床 设备重量(25t以内),台,6990.0,3570.48,2001.05,1418.47,0
113,1-113,刨床、插床、拉床 设备重量(35t以内),台,9559.76,4589.57,2250.99,2719.2,0
114,1-114,刨床、插床、拉床 设备重量(50t以内),台,12600.32,6591.55,2511.42,3497.35,0
115,1-115,刨床、插床、拉床 设备重量(70t以内),台,17191.81,8973.55,3751.19,4467.07,0
116,1-116,刨床、插床、拉床 设备重量(100t以内),台,21777.48,12088.66,4480.0,5208.82,0
117,1-117,刨床、插床、拉床 设备重量(150t以内),台,29921.62,17985.79,5938.17,5997.66,0
118,1-118,刨床、插床、拉床 设备重量(200t以内),台,37857.25,21853.44,8705.97,7297.84,0
119,1-119,超声波加工及电加工机床 设备重量(1t以内),台,378.98,174.91,126.74,77.33,0
120,1-120,超声波加工及电加工机床 设备重量(2t以内),台,488.4,233.47,140.96,113.97,0
121,1-121,超声波加工及电加工机床 设备重量(3t以内),台,662.05,314.74,196.69,150.62,0
122,1-122,超声波加工及电加工机床 设备重量(5t以内),台,1054.04,535.06,331.72,187.26,0
123,1-123,超声波加工及电加工机床 设备重量(8t以内),台,2024.11,981.26,500.24,542.61,0
124,1-124,其他机床及金属材料试验机械 设备重量(1t以内),台,500.98,282.86,140.79,77.33,0
125,1-125,其他机床及金属材料试验机械 设备重量(3t以内),台,811.3,458.16,202.52,150.62,0
126,1-126,其他机床及金属材料试验机械 设备重量(5t以内),台,1049.16,596.4,265.5,187.26,0
127,1-127,其他机床及金属材料试验机械 设备重量(7t以内),台,1950.06,919.1,401.95,629.01,0
128,1-128,其他机床及金属材料试验机械 设备重量(9t以内),台,2480.96,1354.18,497.77,629.01,0
129,1-129,其他机床及金属材料试验机械 设备重量(12t以内),台,2990.15,1589.23,771.91,629.01,0
130,1-130,其他机床及金属材料试验机械 设备重量(15t以内),台,3788.6,2042.59,986.36,759.65,0
131,1-131,其他机床及金属材料试验机械 设备重量(20t以内),台,6538.57,2682.05,2394.85,1461.67,0
132,1-132,其他机床及金属材料试验机械 设备重量(25t以内),台,7572.79,3325.44,2742.48,1504.87,0
133,1-133,其他机床及金属材料试验机械 设备重量(30t以内),台,9812.16,4048.94,3114.35,2648.87,0
134,1-134,其他机床及金属材料试验机械 设备重量(35t以内),台,11266.51,4787.57,3630.14,2848.8,0
135,1-135,其他机床及金属材料试验机械 设备重量(40t以内),台,12506.97,5630.21,3941.55,2935.21,0
136,1-136,其他机床及金属材料试验机械 设备重量(45t以内),台,13634.0,6367.63,4331.16,2935.21,0
137,1-137,木工机械 设备重量(1t以内),台,463.55,247.01,143.29,73.25,0
138,1-138,木工机械 设备重量(3t以内),台,772.68,446.21,218.5,107.97,0
139,1-139,木工机械 设备重量(5t以内),台,1088.41,585.65,325.36,177.4,0
140,1-140,木工机械 设备重量(7t以内),台,2074.49,1096.42,382.17,595.9,0
141,1-141,木工机械 设备重量(10t以内),台,3002.5,1630.66,735.01,636.83,0
142,1-142,跑车带锯机 设备重量(3t以内),台,1323.03,843.41,336.94,142.68,0
143,1-143,跑车带锯机 设备重量(5t以内),台,2060.87,1472.11,411.36,177.4,0
144,1-144,跑车带锯机 设备重量(7t以内),台,3951.71,2502.34,812.54,636.83,0
145,1-145,跑车带锯机 设备重量(10t以内),台,4882.88,3238.99,966.13,677.76,0
146,1-146,跑车带锯机 设备重量(15t以内),台,7302.23,4874.83,1584.94,842.46,0
147,1-147,其他木工设备 气动拨料器 0.1t以内,组,317.75,237.46,10.86,69.43,0
148,1-148,其他木工设备 气动踢木器 单面卸木,组,693.52,512.74,111.35,69.43,0
149,1-149,其他木工设备 气动踢木器 双面卸木,组,832.31,652.18,110.7,69.43,0
150,1-150,带锯机保护罩制作与安装 规格 铁架圆形42英寸,个,992.84,247.82,657.85,87.17,0
151,1-151,带锯机保护罩制作与安装 规格 铁架圆形48英寸,个,1135.76,297.22,732.33,106.21,0
152,1-152,机械压力机 设备重量(1t以内),台,726.98,336.67,311.15,79.16,0
153,1-153,机械压力机 设备重量(3t以内),台,1087.34,482.06,339.12,266.16,0
154,1-154,机械压力机 设备重量(5t以内),台,1614.01,749.38,480.16,384.47,0
155,1-155,机械压力机 设备重量(7t以内),台,2537.07,1159.34,697.93,679.8,0
156,1-156,机械压力机 设备重量(10t以内),台,2902.64,1409.95,713.69,779.0,0
157,1-157,机械压力机 设备重量(15t以内),台,4468.33,2243.81,1331.13,893.39,0
158,1-158,机械压力机 设备重量(20t以内),台,5927.74,2655.74,1924.53,1347.47,0
159,1-159,机械压力机 设备重量(30t以内),台,8242.55,3628.61,2079.26,2534.68,0
160,1-160,机械压力机 设备重量(40t以内),台,10677.33,4384.8,2718.03,3574.5,0
161,1-161,机械压力机 设备重量(50t以内),台,12115.31,5471.62,2879.67,3764.02,0
162,1-162,机械压力机 设备重量(70t以内),台,15161.75,7448.11,3130.15,4583.49,0
163,1-163,机械压力机 设备重量(100t以内),台,19957.63,9933.31,3983.84,6040.48,0
164,1-164,机械压力机 设备重量(150t以内),台,25809.98,13743.6,5118.04,6948.34,0
165,1-165,机械压力机 设备重量(200t以内),台,31120.79,16430.02,6075.6,8615.17,0
166,1-166,机械压力机 设备重量(250t以内),台,37045.27,20985.74,6853.46,9206.07,0
167,1-167,机械压力机 设备重量(300t以内),台,44023.28,24680.5,8760.76,10582.02,0
168,1-168,机械压力机 设备重量(350t以内),台,48850.72,28025.86,9592.65,11232.21,0
169,1-169,机械压力机 设备重量(450t以内),台,59634.15,35554.8,10868.67,13210.68,0
170,1-170,机械压力机 设备重量(550t以内),台,70540.94,42624.82,12982.47,14933.65,0
171,1-171,机械压力机 设备重量(650t以内),台,80495.6,49441.44,14322.29,16731.87,0
172,1-172,机械压力机 设备重量(750t以内),台,91684.21,56538.14,16429.9,18716.17,0
173,1-173,机械压力机 设备重量(850t以内),台,103450.1,63711.74,18148.63,21589.75,0
174,1-174,机械压力机 设备重量(950t以内),台,115434.3,70621.2,19281.24,25531.84,0
175,1-175,液压机 设备重量(1t以内),台,757.83,364.56,314.11,79.16,0
176,1-176,液压机 设备重量(3t以内),台,1188.58,568.13,354.29,266.16,0
177,1-177,液压机 设备重量(5t以内),台,1733.39,886.46,462.46,384.47,0
178,1-178,液压机 设备重量(7t以内),台,2906.56,1289.23,894.33,723.0,0
179,1-179,液压机 设备重量(10t以内),台,3167.45,1576.46,925.7,665.29,0
180,1-180,液压机 设备重量(15t以内),台,5270.79,2503.54,1873.86,893.39,0
181,1-181,液压机 设备重量(20t以内),台,7175.2,3105.94,2678.59,1390.67,0
182,1-182,液压机 设备重量(30t以内),台,9686.68,4250.11,2901.89,2534.68,0
183,1-183,液压机 设备重量(40t以内),台,13672.39,5243.76,4854.13,3574.5,0
184,1-184,液压机 设备重量(50t以内),台,15357.89,6327.41,5113.77,3916.71,0
185,1-185,液压机 设备重量(70t以内),台,20413.1,8703.07,6776.99,4933.04,0
186,1-186,液压机 设备重量(100t以内),台,25307.78,11233.68,8035.95,6038.15,0
187,1-187,液压机 设备重量(150t以内),台,34034.69,16757.52,10211.12,7066.05,0
188,1-188,液压机 设备重量(200t以内),台,41665.39,20926.75,12303.52,8435.12,0
189,1-189,液压机 设备重量(250t以内),台,48584.0,25889.23,13368.67,9326.1,0
190,1-190,液压机 设备重量(350t以内),台,61586.87,34528.51,15706.12,11352.24,0
191,1-191,液压机 设备重量(500t以内),台,81715.95,47691.65,19981.34,14042.96,0
192,1-192,液压机 设备重量(700t以内),台,107730.4,65346.38,24671.85,17712.16,0
193,1-193,液压机 设备重量(950t以内),台,144138.3,87273.12,31093.31,25771.9,0
194,1-194,自动锻压机及锻机操作机 设备重量(1t以内),台,715.95,323.09,313.7,79.16,0
195,1-195,自动锻压机及锻机操作机 设备重量(3t以内),台,1046.42,517.92,376.05,152.45,0
196,1-196,自动锻压机及锻机操作机 设备重量(5t以内),台,1272.2,691.63,391.48,189.09,0
197,1-197,自动锻压机及锻机操作机 设备重量(7t以内),台,2769.65,1135.44,911.21,723.0,0
198,1-198,自动锻压机及锻机操作机 设备重量(10t以内),台,4219.27,1739.04,1658.03,822.2,0
199,1-199,自动锻压机及锻机操作机 设备重量(15t以内),台,4771.35,2143.78,1690.98,936.59,0
200,1-200,自动锻压机及锻机操作机 设备重量(20t以内),台,7145.58,3005.14,2517.05,1623.39,0
201,1-201,自动锻压机及锻机操作机 设备重量(25t以内),台,8839.91,3459.7,2612.82,2767.39,0
202,1-202,自动锻压机及锻机操作机 设备重量(35t以内),台,11799.55,4238.98,3802.43,3758.14,0
203,1-203,自动锻压机及锻机操作机 设备重量(50t以内),台,13566.61,5538.58,4177.61,3850.42,0
204,1-204,自动锻压机及锻机操作机 设备重量(70t以内),台,17245.92,7691.14,4846.96,4707.82,0
205,1-205,自动锻压机及锻机操作机 设备重量(100t以内),台,22146.96,9989.09,6404.96,5752.91,0
206,1-206,自动锻压机及锻机操作机 设备重量(150t以内),台,27734.62,13564.32,7486.33,6683.97,0
207,1-207,自动锻压机及锻机操作机 设备重量(200t以内),台,34728.25,17549.9,8832.59,8345.76,0
208,1-208,空气锤 落锤重量(150kg以内),台,2751.68,1405.97,996.38,349.33,0
209,1-209,空气锤 落锤重量(250kg以内),台,3741.56,1868.11,1039.52,833.93,0
210,1-210,空气锤 落锤重量(400kg以内),台,6047.88,3006.34,2055.87,985.67,0
211,1-211,空气锤 落锤重量(560kg以内),台,7778.93,3704.3,2634.88,1439.75,0
212,1-212,空气锤 落锤重量(750kg以内),台,9813.78,4417.06,2812.97,2583.75,0
213,1-213,模锻锤 落锤重量(1t以内),台,7859.14,4433.81,1176.85,2248.48,0
214,1-214,模锻锤 落锤重量(2t以内),台,12567.98,7260.43,1555.14,3752.41,0
215,1-215,模锻锤 落锤重量(3t以内),台,17347.89,9646.08,2270.86,5430.95,0
216,1-216,模锻锤 落锤重量(5t以内),台,26845.49,16562.3,4044.03,6239.16,0
217,1-217,模锻锤 落锤重量(10t以内),台,38550.75,25200.0,6155.96,7194.79,0
218,1-218,模锻锤 落锤重量(16t以内),台,54823.55,36511.78,8030.2,10281.57,0
219,1-219,自由锻锤及蒸汽锤 落锤重量(1t以内),台,6637.71,3676.03,1362.81,1598.87,0
220,1-220,自由锻锤及蒸汽锤 落锤重量(2t以内),台,12622.61,6348.91,2119.13,4154.57,0
221,1-221,自由锻锤及蒸汽锤 落锤重量(3t以内),台,17587.0,9471.55,2635.7,5479.75,0
222,1-222,自由锻锤及蒸汽锤 落锤重量(5t以内),台,25873.21,14572.66,3742.74,7557.81,0
223,1-223,剪切机及弯曲校正机 设备重量(1t以内),台,720.38,327.5,307.86,85.02,0
224,1-224,剪切机及弯曲校正机 设备重量(3t以内),台,1035.21,510.34,366.56,158.31,0
225,1-225,剪切机及弯曲校正机 设备重量(5t以内),台,1429.45,685.63,548.87,194.95,0
226,1-226,剪切机及弯曲校正机 设备重量(7t以内),台,2777.26,1113.55,872.98,790.73,0
227,1-227,剪切机及弯曲校正机 设备重量(10t以内),台,2961.49,1282.85,887.91,790.73,0
228,1-228,剪切机及弯曲校正机 设备重量(15t以内),台,5142.71,2164.9,2078.54,899.27,0
229,1-229,剪切机及弯曲校正机 设备重量(20t以内),台,6749.87,2551.78,2568.83,1629.26,0
230,1-230,剪切机及弯曲校正机 设备重量(30t以内),台,9133.94,3660.1,2860.75,2613.09,0
231,1-231,剪切机及弯曲校正机 设备重量(40t以内),台,11427.72,4400.35,3423.53,3603.84,0
232,1-232,剪切机及弯曲校正机 设备重量(50t以内),台,12771.75,5285.57,3839.14,3647.04,0
233,1-233,剪切机及弯曲校正机 设备重量(70t以内),台,16333.59,7547.28,4255.49,4530.82,0
234,1-234,剪切机及弯曲校正机 设备重量(100t以内),台,21208.8,10099.82,5326.74,5782.24,0
235,1-235,剪切机及弯曲校正机 设备重量(140t以内),台,25778.71,13357.97,5830.99,6589.75,0
236,1-236,剪切机及弯曲校正机 设备重量(180t以内),台,28950.47,14975.04,6547.74,7427.69,0
237,1-237,锻造水压机 公称压力(500t以内),台,45803.27,19824.0,15336.63,10642.64,0
238,1-238,锻造水压机 公称压力(800t以内),台,60647.12,24442.66,22699.08,13505.38,0
239,1-239,锻造水压机 公称压力(1600t以内),台,105671.5,50040.24,33065.26,22565.97,0
240,1-240,锻造水压机 公称压力(2000t以内),台,129938.8,60092.69,41332.09,28513.98,0
241,1-241,锻造水压机 公称压力(2500t以内),台,153491.7,69786.14,49527.68,34177.86,0
242,1-242,锻造水压机 公称压力(3150t以内),台,213687.8,104580.0,62623.24,46484.54,0
243,1-243,砂处理设备 设备重量(2t以内),台,568.34,355.78,139.27,73.29,0
244,1-244,砂处理设备 设备重量(4t以内),台,817.76,503.57,204.26,109.93,0
245,1-245,砂处理设备 设备重量(6t以内),台,1264.85,694.42,285.71,284.72,0
246,1-246,砂处理设备 设备重量(8t以内),台,1665.78,911.14,462.91,291.73,0
247,1-247,砂处理设备 设备重量(10t以内),台,2476.48,1431.46,539.87,505.15,0
248,1-248,砂处理设备 设备重量(15t以内),台,3724.34,2183.23,962.23,578.88,0
249,1-249,砂处理设备 设备重量(20t以内),台,5463.75,2669.66,1999.3,794.79,0
250,1-250,造型及造芯设备 设备重量(2t以内),台,786.04,567.31,145.44,73.29,0
251,1-251,造型及造芯设备 设备重量(4t以内),台,1053.1,801.6,178.21,73.29,0
252,1-252,造型及造芯设备 设备重量(6t以内),台,1953.67,1417.92,165.67,370.08,0
253,1-253,造型及造芯设备 设备重量(8t以内),台,2465.79,1815.89,193.42,456.48,0
254,1-254,造型及造芯设备 设备重量(10t以内),台,3074.84,2162.11,352.47,560.26,0
255,1-255,造型及造芯设备 设备重量(15t以内),台,3661.47,2643.79,369.42,648.26,0
256,1-256,造型及造芯设备 设备重量(20t以内),台,4063.44,2779.63,473.8,810.01,0
257,1-257,造型及造芯设备 设备重量(25t以内),台,5426.84,3974.45,555.98,896.41,0
258,1-258,落砂及清理设备 设备重量(1t以内),台,472.73,276.48,122.96,73.29,0
259,1-259,落砂及清理设备 设备重量(3t以内),台,675.06,390.43,174.7,109.93,0
260,1-260,落砂及清理设备 设备重量(5t以内),台,797.52,417.12,240.77,139.63,0
261,1-261,落砂及清理设备 设备重量(8t以内),台,2156.18,1226.69,526.12,403.37,0
262,1-262,落砂及清理设备 设备重量(12t以内),台,3382.42,2245.01,575.56,561.85,0
263,1-263,抛丸清理室 设备重量(5t以内),台,3151.42,2011.54,560.03,579.85,0
264,1-264,抛丸清理室 设备重量(15t以内),台,7911.95,5414.26,1179.3,1318.39,0
265,1-265,抛丸清理室 设备重量(20t以内),台,10365.18,7413.41,1362.53,1589.24,0
266,1-266,抛丸清理室 设备重量(35t以内),台,16597.05,11946.05,1862.27,2788.73,0
267,1-267,抛丸清理室 设备重量(40t以内),台,20282.66,14677.87,2277.82,3326.97,0
268,1-268,抛丸清理室 设备重量(50t以内),台,25211.64,18245.14,2455.98,4510.52,0
269,1-269,金属型铸造设备 设备重量2t以内,台,677.87,380.06,224.52,73.29,0
270,1-270,金属型铸造设备 设备重量5t以内,台,1641.14,935.86,451.68,253.6,0
271,1-271,金属型铸造设备 设备重量9t以内,台,3058.59,1990.03,716.33,352.23,0
272,1-272,金属型铸造设备 设备重量12t以内,台,4353.31,2766.91,1011.88,574.52,0
273,1-273,金属型铸造设备 设备重量15t以内,台,5145.12,3276.86,1172.43,695.83,0
274,1-274,金属型铸造设备 设备重量20t以内,台,7327.7,3557.71,2888.8,881.19,0
275,1-275,金属型铸造设备 设备重量25t以内,台,8478.17,4540.56,2970.01,967.6,0
276,1-276,金属型铸造设备 设备重量30t以内,台,10135.71,5238.14,3106.51,1791.06,0
277,1-277,金属型铸造设备 设备重量40t以内,台,13240.16,7228.56,3592.32,2419.28,0
278,1-278,金属型铸造设备 设备重量55t以内,台,17984.51,10520.93,3957.46,3506.12,0
279,1-279,材料准备设备 设备重量1t以内,台,870.89,537.84,255.98,77.07,0
280,1-280,材料准备设备 设备重量2t以内,台,1166.3,728.26,322.43,115.61,0
281,1-281,材料准备设备 设备重量3t以内,台,1609.33,1091.62,363.57,154.14,0
282,1-282,材料准备设备 设备重量5t以内,台,2583.16,1470.91,798.06,314.19,0
283,1-283,材料准备设备 设备重量8t以内,台,3215.08,1994.78,838.58,381.72,0
284,1-284,铸铁平台 方型平台 基础上 灌浆,10t,3101.42,1767.31,1011.85,322.26,0
285,1-285,铸铁平台 方型平台 基础上 不灌浆,10t,1594.43,1031.86,270.84,291.73,0
286,1-286,铸铁平台 方型平台 支架上,10t,1429.3,820.7,187.36,421.24,0
287,1-287,铸铁平台 铸梁式平台 基础上 灌浆,10t,9690.02,4011.89,5096.83,581.3,0
288,1-288,铸铁平台 铸梁式平台 基础上 不灌浆,10t,14485.9,10520.93,3574.27,390.7,0
289,1-289,电动双梁桥式起重机 起重量5t以内 跨距19.5m以内,台,5772.25,3820.66,793.89,1157.7,0
290,1-290,电动双梁桥式起重机 起重量5t以内 跨距31.5m以内,台,6803.18,4348.13,856.04,1599.01,0
291,1-291,电动双梁桥式起重机 起重量10t以内 跨距19.5m以内,台,6185.1,4070.45,854.29,1260.36,0
292,1-292,电动双梁桥式起重机 起重量10t以内 跨距31.5m以内,台,7545.76,4860.1,928.02,1757.64,0
293,1-293,电动双梁桥式起重机 起重量15/3t以内 跨距19.5m以内,台,6783.84,4494.34,956.61,1332.89,0
