序号,材料名称及规格型号,单位：元-单位,单位：元-2014年2季度综合信息价
防 水 材 料,防 水 材 料,防 水 材 料,防 水 材 料
237,自粘聚合物改性沥青防水卷材（1.5mm）,m2,39.1
238,SBS改性防水卷材（国际 聚脂胎35#）,m2,37.5
239,SBC120聚乙烯丙纶复合防水卷材（1.5mm）,m2,28.5
240,聚合物水泥防水涂料（JS）,kg,6.3
241,水泥基渗透结晶防水涂料,kg,7.4
管  材,管  材,管  材,管  材
242,焊接钢管 DN15,t,4024.0
243,焊接钢管 DN20,t,4024.0
244,焊接钢管 DN25,t,3974.0
245,焊接钢管 DN32,t,3974.0
246,焊接钢管 DN40,t,3974.0
247,焊接钢管 DN50,t,3974.0
248,焊接钢管 DN70,t,3974.0
249,焊接钢管 DN80,t,3974.0
250,焊接钢管 DN100,t,4074.0
251,焊接钢管 DN125,t,4124.0
252,焊接钢管 DN150,t,4124.0
253,镀锌钢管 DN15(热镀管）,t,5204.0
254,镀锌钢管 DN20(热镀管）,t,5154.0
255,镀锌钢管 DN25(热镀管）,t,5004.0
256,镀锌钢管 DN32(热镀管）,t,4954.0
257,镀锌钢管 DN40(热镀管）,t,5004.0
258,镀锌钢管 DN50(热镀管）,t,4804.0
259,镀锌钢管 DN70(热镀管）,t,5004.0
260,镀锌钢管 DN80(热镀管）,t,5004.0
261,镀锌钢管 DN100(热镀管）,t,5004.0
262,镀锌钢管 DN125(热镀管）,t,5004.0
263,镀锌钢管 DN150(热镀管）,t,5004.0
264,热轧无缝管 DN22×2,t,5287.0
265,热轧无缝管 DN25×2,t,5287.0
266,热轧无缝管 DN38×2.25,t,5117.0
267,热轧无缝管 DN42.5×3.5,t,4617.0
268,热轧无缝管 DN57×3.5,t,4617.0
269,热轧无缝管 DN89×4,t,4917.0
270,热轧无缝管 DN108×4,t,4617.0
271,热轧无缝管 DN219×6,t,4817.0
272,热轧无缝管 DN273×7,t,5017.0
273,热轧无缝管 DN325×8,t,5017.0
274,无规共聚聚丙烯管（PP-R）(1.25Mpa) De20×2.0 (冷水),m,2.004
275,无规共聚聚丙烯管（PP-R）(1.25Mpa) De25×2.3 (冷水),m,2.926
276,无规共聚聚丙烯管（PP-R）(1.25Mpa) De32×2.9 (冷水),m,4.66
277,无规共聚聚丙烯管（PP-R）(1.25Mpa) De40×3.7 (冷水),m,7.411
278,无规共聚聚丙烯管（PP-R）(1.25Mpa) De50×4.6 (冷水),m,11.496
279,无规共聚聚丙烯管（PP-R）(1.25Mpa) De63×5.8 (冷水),m,18.193
280,无规共聚聚丙烯管（PP-R）(1.25Mpa) De75×6.8 (冷水),m,25.376
281,无规共聚聚丙烯管（PP-R）(1.25Mpa) De90×8.2 (冷水),m,36.8
282,无规共聚聚丙烯管（PP-R）(1.25Mpa) De110×10.0 (冷水),m,54.545
283,无规共聚聚丙烯管（PP-R）(1.6Mpa) De25×2.3 (冷水),m,2.275
284,无规共聚聚丙烯管（PP-R）(1.6Mpa) De25×2.8 (冷水),m,3.445
285,无规共聚聚丙烯管（PP-R）(1.6Mpa) De32×3.6 (冷水),m,5.634
286,无规共聚聚丙烯管（PP-R）(1.6Mpa) De40×4.5 (冷水),m,8.777
287,无规共聚聚丙烯管（PP-R）(1.6Mpa) De50×5.6 (冷水),m,13.642
288,无规共聚聚丙烯管（PP-R）(1.6Mpa) De63×7.1 (冷水),m,21.779
289,无规共聚聚丙烯管（PP-R）(1.6Mpa) De75×8.4 (冷水),m,30.588
290,无规共聚聚丙烯管（PP-R）(1.6Mpa) De90×10.1 (冷水),m,44.154
291,无规共聚聚丙烯管（PP-R）(1.6Mpa) De110×12.3 (冷水),m,65.587
292,无规共聚聚丙烯管（PP-R）(2.0Mpa) De20×2.8 (热水),m,2.655
293,无规共聚聚丙烯管（PP-R）(2.0Mpa) De25×3.5 (热水),m,4.15
294,无规共聚聚丙烯管（PP-R）(2.0Mpa) De32×4.4 (热水),m,6.675
295,无规共聚聚丙烯管（PP-R）(2.0Mpa) De40×5.5 (热水),m,10.391
296,无规共聚聚丙烯管（PP-R）(2.0Mpa) De50×6.9 (热水),m,16.231
297,无规共聚聚丙烯管（PP-R）(2.0Mpa) De63×8.6 (热水),m,25.517
298,无规共聚聚丙烯管（PP-R）(2.0Mpa) De75×10.3 (热水),m,36.342
299,无规共聚聚丙烯管（PP-R）(2.0Mpa) De90×12.3 (热水),m,52.107
300,无规共聚聚丙烯管（PP-R）(2.0Mpa) De110×15.1 (热水),m,78.036
301,无规共聚聚丙烯管（PP-R）(2.5Mpa) De20×3.4 (热水),m,3.11
302,无规共聚聚丙烯管（PP-R）(2.5Mpa) De25×4.2 (热水),m,4.811
303,无规共聚聚丙烯管（PP-R）(2.5Mpa) De32×5.4 (热水),m,7.866
304,无规共聚聚丙烯管（PP-R）(2.5Mpa) De40×6.7 (热水),m,12.157
305,无规共聚聚丙烯管（PP-R）(2.5Mpa) De50×8.3 (热水),m,18.875
306,无规共聚聚丙烯管（PP-R）(2.5Mpa) De63×10.5 (热水),m,29.992
307,PP-R钢塑复合压力管 De32,m,32.497
308,PP-R钢塑复合压力管 De40,m,48.378
309,PP-R钢塑复合压力管 De50,m,73.264
310,PP-R钢塑复合压力管 De63,m,98.264
311,PP-R钢塑复合压力管 De75,m,125.543
312,PP-R钢塑复合压力管 De90,m,177.18
313,PP-R钢塑复合压力管 De110,m,250.0
314,PP-R钢塑复合压力管 De160,m,472.05
315,PP-R铝塑复合管 De20,m,16.262
316,PP-R铝塑复合管 De25,m,23.136
317,PP-R铝塑复合管 De32,m,33.832
318,PP-R铝塑复合管 De40,m,48.421
319,PP-R铝塑复合管 De50,m,70.04
320,PP-R铝塑复合管 De63,m,106.239
321,PP-R铝塑复合管 De75,m,161.967
322,PP-R铝塑复合管 De90,m,227.162
323,PP-R铝塑复合管 De110,m,315.821
324,球墨铸铁管 DN100×3,m,91.971
325,球墨铸铁管 DN200×3,m,168.165
326,球墨铸铁管 DN300×3,m,279.986
327,球墨铸铁管 DN400×5,m,417.812
328,球墨铸铁管 DN500×5,m,579.909
329,球墨铸铁管 DN600×5,m,764.544
330,球墨铸铁管 DN700×6,m,973.45
331,球墨铸铁管 DN800×6,m,1208.361
332,球墨铸铁管 DN1000×6,m,1748.4
333,给水用聚乙烯管材（PE100) DN90,m,23.466
334,给水用聚乙烯管材（PE100) DN110,m,35.15
335,给水用聚乙烯管材（PE100) DN125,m,45.362
336,给水用聚乙烯管材（PE100) DN140,m,56.604
337,给水用聚乙烯管材（PE100) DN160,m,74.166
338,给水用聚乙烯管材（PE100) DN180,m,93.323
339,给水用聚乙烯管材（PE100) DN200,m,115.635
340,给水用聚乙烯管材（PE100) DN225,m,146.321
341,给水用聚乙烯管材（PE100) DN250,m,179.114
342,给水用聚乙烯管材（PE100) DN280,m,225.549
343,给水用聚乙烯管材（PE100) DN315,m,284.424
344,给水用聚乙烯管材（PE100) DN355,m,362.136
345,给水用聚乙烯管材（PE100) DN400,m,459.229
346,给水用聚乙烯管材（PE100) DN450,m,579.193
347,给水用聚乙烯管材（PE100) DN500,m,723.3
348,给水用聚乙烯管材（PE100) DN560,m,904.901
349,给水用聚乙烯管材（PE100) DN630,m,1144.112
水  暖,水  暖,水  暖,水  暖
350,钢铝复合暖气片 670×50×100,片,18.033
351,钢铝复合暖气片 650×70×80,片,16.316
352,钢铝复合暖气片 650×50×80,片,16.316
353,钢铝复合暖气片 640×68×30,片,9.704
354,钢铝复合暖气片 650×80×50,片,12.881
355,钢铝复合暖气片 650×78×38,片,11.593
356,钢铝复合暖气片 650×65×45,片,9.017
油  漆,油  漆,油  漆,油  漆
357,C03-1 醇酸调和漆 12×1,kg,13.452
358,C03-1 醇酸调和漆 2.8×4,kg,14.635
359,C03-1 醇酸调和漆 1×18,kg,15.281
360,C03-1 醇酸调和漆 0.4×32,kg,17.218
电 线 电 缆,电 线 电 缆,电 线 电 缆,电 线 电 缆
361,铜芯橡皮绝缘线 BX1.5,m,1.107
362,铜芯橡皮绝缘线 BX2.5,m,1.762
363,铜芯橡皮绝缘线 BX4,m,2.9
364,铜芯橡皮绝缘线 BX6,m,4.287
365,铜芯橡皮绝缘线 BX10,m,7.081
366,铜芯橡皮绝缘线 BX16,m,10.799
367,铜芯橡皮绝缘线 BX25,m,17.428
368,铜芯橡皮绝缘线 BX35,m,22.693
369,铜芯橡皮绝缘线 BX50,m,32.277
370,铝芯橡皮绝缘线 BLX2.5,m,0.655
371,铝芯橡皮绝缘线 BLX4,m,0.924
372,铝芯橡皮绝缘线 BLX6,m,1.214
373,铝芯橡皮绝缘线 BLX10,m,2.224
374,铝芯橡皮绝缘线 BLX16,m,3.095
375,铝芯橡皮绝缘线 BLX25,m,4.846
376,铝芯橡皮绝缘线 BLX35,m,6.114
377,铝芯橡皮绝缘线 BLX50,m,8.005
378,铝芯橡皮绝缘线 BLX70,m,11.067
379,铝芯橡皮绝缘线 BLX95,m,14.677
380,铝芯橡皮绝缘线 BLX120,m,17.45
381,铜芯聚氯乙烯绝缘线 BV1.5,m,0.967
382,铜芯聚氯乙烯绝缘线 BV2.5,m,1.547
383,铜芯聚氯乙烯绝缘线 BV4,m,2.525
384,铜芯聚氯乙烯绝缘线 BV6,m,3.728
385,铜芯聚氯乙烯绝缘线 BV10,m,6.157
386,铜芯聚氯乙烯绝缘线 BV16,m,9.391
387,铜芯聚氯乙烯绝缘线 BV25,m,15.161
388,铜芯聚氯乙烯绝缘线 BV35,m,19.728
389,铜芯聚氯乙烯绝缘线 BV50,m,28.066
390,铜芯聚氯乙烯绝缘线 BV70,m,39.122
391,铜芯聚氯乙烯绝缘线 BV95,m,53.09
392,铝芯塑料绝缘线 BLV2.5,m,0.484
393,铝芯塑料绝缘线 BLV4,m,0.655
394,铝芯塑料绝缘线 BLV6,m,0.956
395,阻燃铜芯聚氯乙烯绝缘线  ZRBV-1.5,m,0.999
396,阻燃铜芯聚氯乙烯绝缘线  ZRBV-2.5,m,1.569
397,阻燃铜芯聚氯乙烯绝缘线  ZRBV-4,m,2.579
398,阻燃铜芯聚氯乙烯绝缘线  ZRBV-6,m,3.793
399,阻燃铜芯聚氯乙烯绝缘线  ZRBV-10,m,6.264
400,阻燃铜芯聚氯乙烯绝缘线  ZRBV-16,m,9.574
401,阻燃铜芯聚氯乙烯绝缘线  ZRBV-25,m,15.451
402,阻燃铜芯聚氯乙烯绝缘线  ZRBV-35,m,20.114
403,阻燃铜芯聚氯乙烯绝缘线  ZRBV-50,m,28.613
404,阻燃铜芯聚氯乙烯绝缘线  ZRBV-70,m,39.906
405,阻燃铜芯聚氯乙烯绝缘线  ZRBV-95,m,54.132
406,耐火铜芯聚氯乙烯绝缘线  NH-BV-1.5,m,1.074
407,耐火铜芯聚氯乙烯绝缘线  NH-BV-2.5,m,1.676
408,耐火铜芯聚氯乙烯绝缘线  NH-BV-4,m,2.751
409,耐火铜芯聚氯乙烯绝缘线  NH-BV-6,m,4.094
410,耐火铜芯聚氯乙烯绝缘线  NH-BV-10,m,6.769
411,耐火铜芯聚氯乙烯绝缘线  NH-BV-16,m,10.347
412,耐火铜芯聚氯乙烯绝缘线  NH-BV-25,m,16.676
413,耐火铜芯聚氯乙烯绝缘线  NH-BV-35,m,21.694
414,耐火铜芯聚氯乙烯绝缘线  NH-BV-50,m,30.87
415,耐火铜芯聚氯乙烯绝缘线  NH-BV-70,m,43.055
416,耐火铜芯聚氯乙烯绝缘线  NH-BV-95,m,58.387
417,无卤铜芯聚氯乙烯绝缘线  WL-BV-1.5,m,1.128
418,无卤铜芯聚氯乙烯绝缘线  WL-BV-2.5,m,1.719
419,无卤铜芯聚氯乙烯绝缘线  WL-BV-4,m,2.772
420,无卤铜芯聚氯乙烯绝缘线  WL-BV-6,m,4.051
421,无卤铜芯聚氯乙烯绝缘线  WL-BV-10,m,6.522
422,无卤铜芯聚氯乙烯绝缘线  WL-BV-16,m,9.821
423,无卤铜芯聚氯乙烯绝缘线  WL-BV-25,m,15.763
424,无卤铜芯聚氯乙烯绝缘线  WL-BV-35,m,20.458
425,无卤铜芯聚氯乙烯绝缘线  WL-BV-50,m,28.925
426,无卤铜芯聚氯乙烯绝缘线  WL-BV-70,m,40.046
427,无卤铜芯聚氯乙烯绝缘线  WL-BV-95,m,54.347
428,辐照塑料铜芯线  BYJ(F)-1.5,m,1.16
429,辐照塑料铜芯线  BYJ(F)-2.5,m,1.923
430,辐照塑料铜芯线  BYJ(F)-4,m,3.073
431,辐照塑料铜芯线  BYJ(F)-6,m,4.448
432,辐照塑料铜芯线  BYJ(F)-10,m,7.285
433,辐照塑料铜芯线  BYJ(F)-16,m,10.294
434,辐照塑料铜芯线  BYJ(F)-25,m,16.547
435,辐照塑料铜芯线  BYJ(F)-35,m,21.457
436,辐照塑料铜芯线  BYJ(F)-50,m,30.376
437,辐照塑料铜芯线  BYJ(F)-70,m,42.045
438,辐照塑料铜芯线  BYJ(F)-95,m,57.055
439,交联聚乙烯电力电缆 YJV 3*35+2*16,m,86.174
440,交联聚乙烯电力电缆 YJV 3*50+2*25,m,125.5
441,交联聚乙烯电力电缆 YJV 3*70+2*35,m,171.917
442,交联聚乙烯电力电缆 YJV 3*25+1*16,m,60.816
443,交联聚乙烯电力电缆 YJV 3*185+2*95,m,452.357
444,低烟无卤(交联)电力电缆 WDZ YJE 3*50+2*25,m,131.087
445,低烟无卤(交联)电力电缆 WDZ YJE 5*16,m,54.799
446,低烟无卤(交联)电力电缆 WDZ YJE 4*95+50,m,272.919
447,低烟无卤(交联)电力电缆 WDZ YJE 4*50+25,m,146.13
水 电 油,水 电 油,水 电 油,水 电 油
448,水,m3,2.13
449,电,kwh,0.55
450,柴油 0#,kg,7.943
451,柴油 -10#,kg,8.42
452,柴油 -20#,kg,8.817
453,柴油 -35#,kg,9.136
454,汽油 90#,kg,8.653
455,汽油 93#,kg,9.172
456,汽油 97#,kg,9.692
457,石油沥青 90#,t,5810.0
