附件2-瓶(桶)装饮用水产品质量监督抽查实物质量不合格产品及生产企业名单-序号,Unnamed:1-产品名称,Unnamed:2-生产单位,Unnamed:3-规格型号,Unnamed:4-生产日期,Unnamed:5-生产单位地址,Unnamed:6-不合格指标
33,纯净水,六盘水广业服务有限公司,18.9L,2010-04-09 00:00:00,盘县柏果镇,菌落总数
34,纯净水,盘县柏果贵鑫山泉纯净水厂,18.9L,2010-04-12 00:00:00,盘县柏果跌脉村,菌落总数
35,铜巩山天然偏硅酸山泉水,六盘水市红果经济开发区铜巩山山泉水厂,18.9L,2010-04-13 00:00:00,贵州省六盘水红果经济开发区石家庄村铜巩山,菌落总数
36,梵净山饮用纯净水,印江梵净山天然纯净水厂,18.9L,2010.4.12,印江县峨岭镇峨家路,电导率
37,蘑菇石饮用山泉水,贵州梵净山晶晶天然饮品有限公司,18.9L,2010.4.14,松桃县盘信七星坡,菌落总数
38,梵宇山泉饮用天然泉水,松桃梵宇绿色开发有限公司,18.9L,2010.4.13,松桃县蓼皋镇牛场村,菌落总数
39,土家山泉饮用天然泉水,沿河县中界乡猴子洞土家山泉厂,18.9L,2010.4.11,沿河县中界乡大龙村,电导率
40,龙洞山泉饮用天然山泉水,沿河县黑水乡龙洞山泉饮用水厂,18.9L,2010.4.11,沿河县黑水乡龙堡村,电导率
41,梵净山山泉水,思南县梵净山山泉水厂,18.9L,2010.4.13,思南县思唐镇江东社区,电导率
42,观音缘饮用天然泉水,毕节观音缘天然矿泉水饮料有限公司,18.9L,2010.4.17,贵州毕节市观音桥,亚硝酸盐
43,宜万家山泉（饮用天然泉水）,毕节市宜万家山泉水厂,18.9L,2010.4.17,毕节长春镇蔡官村,电导率
44,绿之泉饮用山泉水,贵州真山绿色食品有限责任公司,18.9L,2010.4.17,贵州省大方县羊场工业开发区,余氯
45,源泉饮用纯净水,纳雍源泉饮用水有限责任公司,18.9L,2010.4.16,纳雍县雍熙镇高坡村,游离氯
46,大哥大饮用纯净水,纳雍县南极饮料厂,18.9L,2010.4.13,纳雍县雍熙镇工贸街工贸路,游离氯
47,饮用纯天然泉水,镇远县琵琶溪山泉水厂,18.9L,2010-04-09 00:00:00,镇远县羊场镇琵琶溪,1、电导率  2、菌落总数
48,山泉水,三穗县冒沙井山泉水厂,18.9L,2010-04-06 00:00:00,三穗县台烈镇屏树村,菌落总数
49,纯净水,榕江县冰峰纯净水厂,18.9L,2010-04-09 00:00:00,榕江县航运站,1、电导率  2、菌落总数
50,山泉水,镇远县舞阳山泉水厂,18.9L,2010-04-06 00:00:00,舞阳镇小田溪,1、电导率  2、菌落总数
51,森林水饮用天然泉水,兴义市大森林绿色食品厂,18.9L,2010-04-07 00:00:00,兴义市桔山办龙塘村2组,菌落总数
52,饮用天然泉水,贵州醇酒厂,18.9L,2010-04-08 00:00:00,兴义市贵醇新路1号,酵母菌
53,五龙泉饮用天然泉水,贵州黔五龙饮品有限公司,18.9L,2010-04-12 00:00:00,普安县江西坡镇白石村,菌落总数
54,饮用天然泉水,贞丰双乳山泉绿色有限公司,18.9L,2010-04-12 00:00:00,贞丰县者相镇纳孔村,菌落总数
55,桶装饮用山泉水,平塘县金盆饮料厂,18.9L,2010-04-11 00:00:00,平塘县平湖镇小河开发区,1、菌落总数  2、酵母
56,饮用纯净水,瓮福第一宾馆瓮福纯净水厂,18.9L,2010-04-08 00:00:00,福泉马场坪柳坪路,1、菌落总数  2、酵母
57,饮用纯净水,瓮安县雍阳镇白沙井纯净水厂,18.9L,2010-04-09 00:00:00,瓮安县雍阳镇河西村白沙井,1、菌落总数  2、酵母
58,饮用山泉水,瓮安县红军泉饮品有限责任公司,18.9L,2010-04-08 00:00:00,瓮安县永和镇垛丁村田坝村民组,1、电导率  2、菌落总数 3、大肠菌群 4、酵母
59,饮用山泉水,贵州省瓮安县好兄弟饮品有限公司,18.9L,2010-04-07 00:00:00,瓮安县雍阳镇文峰南路100号楼,1、菌落总数  2、大肠菌群  3、酵母
60,龍潭饮用纯净水,贵阳红林富氧纯净水有限公司,18.9L,2010.04.05,贵阳小河松花江路111号,游离氯
61,箐峰山饮用天然泉水,贵州金虹经济开发有限公司,18.9L,2010.04.07,贵阳市龙洞堡武警训练基地,pH值
62,多彩贵山泉饮用纯净水,贵阳花溪夏之宝饮料厂,2.5L,2010.04.01,贵阳市花溪青岩小山村,电导率
