工程质量情况月报,工程质量情况月报.1,工程质量情况月报.2,工程质量情况月报.3,工程质量情况月报.4,工程质量情况月报.5,工程质量情况月报.6,工程质量情况月报.7,工程质量情况月报.8,工程质量情况月报.9,工程质量情况月报.10,工程质量情况月报.11,工程质量情况月报.12,工程质量情况月报.13,工程质量情况月报.14,工程质量情况月报.15
,穿越工程,穿越工程,管道穿越就位,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,穿越工程,穿越工程,管道清管、吹扫、试压,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,阴极保护工程,阴极保护工程,外加电流阴极保护,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,牺牲阳极阴极保护,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,站场、阀室工程,站场、阀室工程,管沟开挖,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道安装,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道焊接,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道补口补伤,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,管道下沟回填,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,阀井安装及防水,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,建筑面积小于60m2的建筑,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,建筑工程,建筑工程,土石方工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,基础工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,现浇钢筋混凝土主体结构工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,砌砖工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,室内初装修工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,门窗工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,屋面防水工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,室内给排水管道安装工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,室内电气线路安装工程,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,球罐工程,球罐工程,球壳板到货检验及无损检测,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,焊接材料到货检验及复验,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,球罐组装几何尺寸检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,球罐焊接质量检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,球罐热处理,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,压力试验,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,基础沉降观测,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,涂漆保温检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,,,梯子平台及附件检查,100,100,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,庭院 工程,庭院 工程,管沟开挖,100,100,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,庭院 工程,庭院 工程,管道焊接,100,100,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,庭院 工程,庭院 工程,架空管安装,80,80,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,庭院 工程,庭院 工程,管道补口补伤,,,,,,,,,,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,庭院 工程,庭院 工程,管道下沟回填,100,100,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,庭院 工程,庭院 工程,清管吹扫试压,100,100,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,户内 工程,户内 工程,安装质量检查,45,45,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,户内 工程,户内 工程,严密性试验检查,100,100,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
,户内 工程,户内 工程,管道防腐质量,35,35,,,,,,100,100,"本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题","本月质量达优良以上,无重大质量问题"
本月单位工程质量评定情况,序号,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,建筑面积,建筑面积,建安量,建安量,单位工程开竣工,单位工程开竣工,单位工程开竣工,质量评定等级,质量评定等级,评定日期,备 注
本月单位工程质量评定情况,序号,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,工 程 名 称 及 单 位 工 程 名 称,（m2）,（m2）,（万元）,（万元）,时间,时间,时间,质量评定等级,质量评定等级,评定日期,备 注
本月单位工程质量评定情况,,思源南路,思源南路,思源南路,,,0.41,0.41,竣工2011.05.26,竣工2011.05.26,竣工2011.05.26,,,,
本月单位工程质量评定情况,,武华大道,武华大道,武华大道,,,23.21,23.21,开工2011.05.08,开工2011.05.08,开工2011.05.08,,,,
本月单位工程质量评定情况,,,,,,,,,,,,,,,
制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,制表人：刘美彤                         审核人：赵海波,,
项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,项目负责人：王立波                      项目经理：赵凯迁,,
