资产负债表分析-编制单位：广东韶钢松山股份有限公司-项目-项目,资产负债表分析-编制单位：广东韶钢松山股份有限公司-2009.12.31-合并,资产负债表分析-编制单位：广东韶钢松山股份有限公司-2008.12.31-合并,资产负债表分析-所属行业：冶金-变动额-变动额,资产负债表分析-所属行业：冶金-资产负债表的水平分析-变动率,资产负债表分析-所属行业：冶金-资产负债表的水平分析-对总资产的影响,资产负债表分析-资产负债表垂直分析-2009.12.31,资产负债表分析-单位：百万元-资产负债表垂直分析-2008.12.31,资产负债表分析-单位：百万元-资产负债表垂直分析-结构变动,Unnamed: 9
资产总计,18340.82,17281.16,1059.66,6.13%,6.13%,100.00%,100.00%,0.00%,
,,,,,,,,,
短期借款,5833.74,4471.22,1362.52,30.47%,7.88%,31.81%,25.87%,5.93%,
应付票据,855.25,670.59,184.66,27.54%,1.07%,4.66%,3.88%,0.78%,
应付账款,773.58,463.47,310.1,66.91%,1.79%,4.22%,2.68%,1.54%,
预收款项,814.17,614.5,199.67,32.49%,1.16%,4.44%,3.56%,0.88%,
应付职工薪酬,186.62,196.16,-9.54,-4.86%,-0.06%,1.02%,1.14%,-0.12%,
应交税费,-75.46,105.9,-181.37,-171.26%,-1.05%,-0.41%,0.61%,-1.02%,
应付利息,16.01,29.57,-13.56,-45.86%,-0.08%,0.09%,0.17%,-0.08%,
其他应付款,405.29,313.57,91.73,29.25%,0.53%,2.21%,1.81%,0.40%,
一年内到期的非流动负债,300.0,794.5,-494.5,-62.24%,-2.86%,1.64%,4.60%,-2.96%,
流动负债合计,9109.19,7659.49,1449.7,18.93%,8.39%,49.67%,44.32%,5.34%,
长期借款,3422.0,3916.22,-494.22,-12.62%,-2.86%,18.66%,22.66%,-4.00%,
其他非流动负债,12.67,0.98,11.69,1192.68%,0.07%,0.07%,0.01%,0.06%,
非流动负债合计,3434.67,3917.2,-482.53,-12.32%,-2.79%,18.73%,22.67%,-3.94%,
负债合计,12543.86,11576.69,967.17,8.35%,5.60%,68.39%,66.99%,1.40%,
实收资本（或股本）,1669.52,1669.52,0.0,0.00%,0.00%,9.10%,9.66%,-0.56%,
资本公积,2483.25,2483.25,0.0,0.00%,0.00%,13.54%,14.37%,-0.83%,
盈余公积,625.06,616.26,8.81,1.43%,0.05%,3.41%,3.57%,-0.16%,
未分配利润,1032.57,948.69,83.89,8.84%,0.49%,5.63%,5.49%,0.14%,
外币报表折算差额,-13.46,-13.25,-0.21,1.55%,0.00%,-0.07%,-0.08%,0.00%,
所有者权益合计,5796.96,5704.47,92.49,1.62%,0.54%,31.61%,33.01%,-1.40%,
负债和所有者权益总计,18340.82,17281.16,1059.66,6.13%,6.13%,100.00%,100.00%,0.00%,
,,,,,,,,,
资产负债表的分析：,资产负债表的分析：,,,,,,,,
资产负债表的分析：,资产负债表的分析：,,,,,,,,
1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,
1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,
1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,1.资产规模分析：资产规模较上年增加增加10.59亿元，增长幅度达6.13%，相对于其他钢铁企业（凌源钢铁：7.57%——其他的企业呢？）基本是同步的。,
2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,
2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,
2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,2.资产增加原因：从资产增长的来源分析，负债和流动资产几乎同时增加，也就是企业通过外部融资取得企业发展所需要的资金。具体分析发现，企业的外融主要是负债融资，表现在短期借款的提高，本期借款的提高带动了负债的提高。而同时在一定程度上通过增加应付帐款、预收帐款的方式筹集短期资金，这对资产的影响可达。但提高主要表现在短期借款，相比上年短期借款增加幅度达30.47%，企业短期借款的提高对总资产的影响达到了7.88%。另一方面，得益于企业长期流动负债的减少，直接原因是企业长期借款的减少，长期借款的减少对总资产的影响为-2.79%。企业长期流动资产的减少直接降低了融资费用，降低了企业的资金使用成本。,
