客户服务部考核方案-岗位,客户服务部考核方案-姓名,客户服务部考核方案-基本工资,客户服务部考核方案-考核项目,客户服务部考核方案-考核标准,客户服务部考核方案-权重,客户服务部考核方案-提成办法,Unnamed: 7
客服员,,600元,引导服务,指引客户，为客户解决问题,10%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
客服员,,600元,产品知识培训的考核,考试合格,10%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
客服员,,600元,日常工作表现、自身5S,自身5S符合公司要求标准、工作态度积极上进,10%,1、完成当月任务80％以下，没有提成；                             2、完成80％－100％提成按个人总营业额的4％；                          3、完成当月任务100％以上，超额部分提成按个人超额营业额的6％。,
精品装具工,,700元,自身5S,,10%,根据派工单累计提成,
精品装具工,,700元,工作纪律管理考核,,10%,根据派工单累计提成,
精品装具工,,700元,日常工作表现,,10%,根据派工单累计提成,
精品装具工,,700元,施工质量及完成时间,,50%,根据派工单累计提成,
精品装具工,,700元,部门合作及协调配合情况,,20%,根据派工单累计提成,
洗车工,,600元,客户投诉率,低于1%,30%,每辆车提成2元，洗车人员均分,
洗车工,,500元,洗车质量（车内外清洁）,1、92分以上，每提高一分奖励现金50元；                       2、92分以下，每低于一分扣发现金50元；                      3、低于85分当月无提成。,60%,每辆车提成2元，洗车人员均分                                     ,
洗车工,,500元,洗车质量（车内外清洁）,1、92分以上，每提高一分奖励现金50元；                       2、92分以下，每低于一分扣发现金50元；                      3、低于85分当月无提成。,60%,每辆车提成2元，洗车人员均分                                     ,
洗车工,,500元,是否遵守各项规章制度（日常表现）,,10%,每辆车提成2元，洗车人员均分                                     ,
上牌员,,600元,上牌率,,50%,每台车提成30元,
上牌员,,600元,车务手续流程,,30%,每台车提成30元,
上牌员,,600元,自身5S,,10%,每台车提成30元,
上牌员,,600元,日常工作表现,,10%,每台车提成30元,
注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消，权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。
