Unnamed: 0,Unnamed: 1,1月至今,1月至今.1,1月至今.2,1月至今.3,1月至今.4,1月至今.5,1月至今.6,1月至今.7,1月至今.8,1月至今.9,1月销售,1月销售.1,1月销售.2,1月销售.3,1月销售.4,1月销售.5,1月销售.6,1月销售.7,1月销售.8,1月销售.9,2月销售,2月销售.1,2月销售.2,2月销售.3,2月销售.4,2月销售.5,2月销售.6,2月销售.7,2月销售.8,2月销售.9,3月销售,3月销售.1,3月销售.2,3月销售.3,3月销售.4,3月销售.5,3月销售.6,3月销售.7,3月销售.8,3月销售.9,4月销售,4月销售.1,4月销售.2,4月销售.3,4月销售.4,4月销售.5,4月销售.6,4月销售.7,4月销售.8,4月销售.9,5月销售,5月销售.1,5月销售.2,5月销售.3,5月销售.4,5月销售.5,5月销售.6,5月销售.7,5月销售.8,5月销售.9,5月销售.10,5月销售.11,5月销售.12,5月销售.13
,(广)广东珠海免税运动内衣店,,,,#DIV/0!,,29.98,20.41,0.68,,,,0.0,0.0,#DIV/0!,,9.1,7.7,0.85,,,,0.0,0.0,#DIV/0!,,3.96,3.37,0.85,,,,0.0,0.0,#DIV/0!,,14.18,6.9,0.49,,,,0.0,0.0,,,2.21,1.96,0.89,,,,2.68,2.48,0.93,,0.54,0.48,0.89,27,178,3.69,-0.04,49%,109.83
,(广)广东珠海万家内衣店,,,,#DIV/0!,,19.6,15.09,0.77,,,,0.0,0.0,#DIV/0!,,6.23,6.48,1.04,,,,0.0,0.0,#DIV/0!,,2.51,2.23,0.89,,,,0.0,0.0,#DIV/0!,,3.23,1.96,0.61,,,,0.0,0.0,,,7.04,3.9,0.55,,,,0.0,0.0,#DIV/0!,,0.58,0.52,0.89,14,310,4.03,,,63.01
,(广)广州汕头百盛百货运动内衣店,,,,0.78,,16.52,13.35,0.81,0.03,2%,,6.37,4.36,0.69,,6.5,5.5,0.85,0.16,26%,,3.62,2.54,0.7,,4.07,2.96,0.73,0.03,17%,,3.39,3.13,0.92,,3.05,2.32,0.76,-0.16,-26%,,2.6,2.29,0.88,,1.95,1.62,0.83,-0.05,-29%,,3.55,3.16,0.89,,0.95,0.94,0.99,6,357,7.29,0.1,131%,39.87
,(广)南海广场内衣店,,,,0.85,,17.44,13.21,0.76,-0.09,2%,,7.66,6.98,0.91,,8.82,7.54,0.86,-0.06,8%,,2.73,2.05,0.75,,3.42,2.2,0.64,-0.11,8%,,3.41,2.67,0.78,,3.47,1.99,0.57,-0.21,-26%,,1.26,1.09,0.87,,1.56,1.36,0.87,0.0,25%,,2.84,2.49,0.88,,0.17,0.12,0.68,53,85,0.91,-0.19,-63%,68.07
,广东番禺易发商场内衣店,,,,0.7,,22.99,14.97,0.65,-0.05,-50%,,18.52,13.65,0.74,,10.55,7.04,0.67,-0.07,-48%,,8.77,6.48,0.74,,3.57,2.33,0.65,-0.09,-64%,,11.42,6.57,0.58,,5.14,2.99,0.58,0.01,-55%,,3.93,3.14,0.8,,2.66,1.93,0.73,-0.07,-39%,,9.16,5.84,0.64,,1.08,0.68,0.64,6,465,5.31,0.0,-9%,48.93
,广东佛山吉之岛水运动店,,,,#DIV/0!,,0.6,0.22,0.37,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.6,0.22,0.37,,,,0.18,0.09,0.5,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,15.66
,广东佛山顺德大良吉之岛水运动店,,,,#DIV/0!,,0.05,0.03,0.68,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.05,0.03,0.68,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,17.36
,广州北京路新大新内衣店,,,,0.59,,24.74,12.27,0.5,-0.09,-4%,,13.27,7.69,0.58,,13.17,6.02,0.46,-0.12,-22%,,4.34,2.5,0.58,,6.08,3.04,0.5,-0.08,21%,,2.71,1.63,0.6,,4.29,2.43,0.57,-0.03,49%,,1.21,0.82,0.67,,1.19,0.78,0.65,-0.02,-4%,,1.77,1.01,0.57,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,37.07
,广州东方宝泰吉之岛水运动店,,,,#DIV/0!,,2.86,1.33,0.47,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,2.86,1.33,0.47,,,,0.09,0.04,0.47,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,17.1
,广州东山百货内衣店,,,,0.48,,93.41,44.53,0.48,0.0,32%,,29.53,14.92,0.51,,47.49,21.59,0.45,-0.05,45%,,13.95,6.29,0.45,,22.58,10.49,0.46,0.01,67%,,15.6,6.79,0.44,,16.82,8.15,0.48,0.05,20%,,9.31,4.8,0.52,,6.52,4.3,0.66,0.14,-10%,,14.89,7.61,0.51,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,112.01
,广州东山广场新大新内衣店,,,,0.59,,17.0,9.23,0.54,-0.04,-11%,,10.13,5.68,0.56,,8.02,4.15,0.52,-0.04,-27%,,3.13,1.99,0.64,,4.59,2.44,0.53,-0.1,23%,,2.79,1.55,0.55,,2.76,1.57,0.57,0.02,2%,,1.4,0.98,0.7,,1.41,0.91,0.65,-0.05,-7%,,3.29,2.02,0.61,,0.22,0.15,0.68,29,109,1.14,0.07,-43%,47.12
,广州番禺友谊大厦内衣店,,,,0.72,,48.65,29.13,0.6,-0.12,102%,,7.97,6.03,0.76,,23.87,13.93,0.58,-0.17,131%,,4.22,3.1,0.73,,8.56,5.36,0.63,-0.11,73%,,5.17,3.1,0.6,,9.84,5.48,0.56,-0.04,77%,,2.32,1.83,0.79,,4.36,3.04,0.7,-0.09,66%,,5.34,3.77,0.71,,2.02,1.32,0.65,6,690,10.21,-0.05,171%,91.9
,广州广百百货内衣店,,,,0.63,,33.28,18.76,0.56,-0.06,19%,,12.11,7.5,0.62,,10.19,6.08,0.6,-0.02,-19%,,6.42,4.11,0.64,,19.36,10.41,0.54,-0.1,153%,,3.99,2.34,0.59,,1.82,1.12,0.61,0.03,-52%,,2.07,1.42,0.69,,1.42,0.84,0.59,-0.09,-41%,,2.93,1.76,0.6,,0.5,0.31,0.62,8,256,2.39,0.02,36%,30.35
,广州花地湾东山百货内衣店,,,,0.52,,24.2,12.21,0.5,-0.02,16%,,9.01,4.69,0.52,,11.01,5.29,0.48,-0.04,13%,,5.47,2.74,0.5,,6.75,3.14,0.47,-0.03,15%,,2.16,1.22,0.56,,3.52,1.87,0.53,-0.03,53%,,2.52,1.44,0.57,,2.93,1.91,0.65,0.08,33%,,3.81,2.02,0.53,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,36.15
,广州花都广百运动内衣店,,,,#DIV/0!,,9.13,6.26,0.69,,,,0.0,0.0,#DIV/0!,,4.08,2.72,0.67,,,,0.0,0.0,#DIV/0!,,2.56,1.89,0.74,,,,0.0,0.0,#DIV/0!,,1.35,0.82,0.61,,,,0.0,0.0,,,1.02,0.73,0.72,,,,0.0,0.0,#DIV/0!,,0.12,0.1,0.85,34,85,0.81,,,30.8
,广州淘金友谊水运动季节店,,,,#DIV/0!,,0.02,0.02,0.7,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.02,0.02,0.7,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,31.86
,广州天河公园万佳运动内衣店,,,,0.88,,25.51,18.97,0.74,-0.14,15%,,8.33,8.18,0.98,,12.03,11.04,0.92,-0.06,35%,,4.8,4.64,0.97,,4.75,3.11,0.65,-0.31,-33%,,2.0,1.3,0.65,,6.49,2.75,0.42,-0.22,112%,,3.42,2.28,0.67,,1.86,1.71,0.92,0.25,-25%,,2.64,2.14,0.81,,0.38,0.36,0.96,11,256,2.81,0.15,31%,30.38
,广州天河吉之岛水运动店,,,,#DIV/0!,,0.92,0.54,0.58,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.92,0.54,0.58,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,17.89
,广州新塘万佳运动内衣店,,,,0.95,,10.65,10.17,0.96,0.01,-12%,,6.55,6.36,0.97,,6.15,6.61,1.07,0.1,4%,,3.1,3.13,1.01,,1.28,0.91,0.71,-0.3,-71%,,1.25,0.95,0.76,,1.13,0.73,0.65,-0.11,-23%,,1.15,1.01,0.88,,1.37,1.2,0.88,0.0,19%,,1.57,1.25,0.79,,0.72,0.72,1.0,5,403,5.58,0.21,348%,25.65
,广州中环吉之岛水运动店,,,,#DIV/0!,,7.52,4.6,0.61,,,,0.0,0.0,#DIV/0!,,2.99,1.82,0.61,,,,0.0,0.0,#DIV/0!,,2.58,1.55,0.6,,,,0.0,0.0,#DIV/0!,,1.12,0.62,0.56,,,,0.0,0.0,,,0.84,0.61,0.72,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,28.94
广州一区 汇总,,,,,0.66,,577.03,353.4,0.61,-0.05,28%,,193.33,130.78,0.68,,268.58,172.38,0.64,-0.03,32%,,88.37,59.42,0.67,,135.91,77.59,0.57,-0.1,31%,,77.99,44.39,0.57,,101.37,54.99,0.54,-0.03,24%,,48.49,33.57,0.69,,60.83,40.27,0.66,-0.03,20%,,81.23,55.11,0.68,,10.34,8.17,0.79,19,4456,63.3,0.11,15%,1471.55
广州二区,(广)东莞莞城天和百货运动内衣店,,,,0.93,,9.52,6.54,0.69,-0.24,-39%,,8.26,7.89,0.96,,5.27,4.16,0.79,-0.17,-47%,,1.59,1.39,0.87,,1.59,0.8,0.5,-0.37,-42%,,0.68,0.58,0.85,,1.63,1.01,0.62,-0.24,73%,,0.9,0.8,0.88,,1.04,0.58,0.56,-0.33,-28%,,0.76,0.66,0.87,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,9.08
,(广)广东东莞长安天虹内衣店,,,,0.6,,7.76,3.64,0.47,-0.13,-10%,,4.15,2.47,0.59,,4.59,2.16,0.47,-0.12,-12%,,0.91,0.49,0.53,,1.1,0.49,0.44,-0.09,0%,,0.34,0.22,0.65,,1.17,0.58,0.5,-0.16,164%,,0.65,0.36,0.55,,0.9,0.42,0.46,-0.09,17%,,0.77,0.54,0.71,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,26.84
,(广)广东东莞厚街明丰广场内衣店,,,,0.98,,10.33,8.81,0.85,-0.13,-25%,,6.08,6.05,0.99,,5.79,5.31,0.92,-0.08,-12%,,0.74,0.47,0.63,,1.24,0.78,0.63,0.0,68%,,1.62,1.78,1.1,,1.68,1.35,0.81,-0.29,-24%,,2.89,2.85,0.99,,1.62,1.36,0.84,-0.15,-52%,,2.58,1.99,0.77,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,50.58
,(广)广东东莞厚街天虹内衣店,,,,0.79,,2.04,1.33,0.65,-0.13,-57%,,2.79,2.45,0.88,,0.49,0.44,0.89,0.01,-82%,,0.36,0.18,0.52,,0.54,0.5,0.93,0.41,172%,,0.42,0.16,0.39,,0.41,0.17,0.42,0.03,6%,,0.24,0.19,0.8,,0.59,0.22,0.38,-0.42,18%,,0.63,0.54,0.86,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,37.49
,(广)广东东莞虎门天虹运动内衣店,,,,0.61,,5.85,4.08,0.7,0.08,4%,,4.22,2.42,0.57,,3.09,2.14,0.69,0.12,-12%,,1.16,0.72,0.62,,1.37,0.76,0.56,-0.06,6%,,0.45,0.39,0.86,,0.54,0.35,0.64,-0.22,-11%,,0.57,0.41,0.71,,0.59,0.57,0.96,0.25,40%,,2.14,1.95,0.91,,0.26,0.26,1.0,26,186,2.04,0.09,5%,52.25
,(广)广东东莞惠阳天虹运动内衣店,,,,0.62,,9.02,5.21,0.58,-0.04,43%,,2.72,1.71,0.63,,5.1,2.67,0.52,-0.11,56%,,1.68,1.08,0.64,,1.74,1.05,0.6,-0.04,-3%,,0.74,0.43,0.58,,1.55,0.99,0.64,0.06,132%,,0.74,0.41,0.55,,0.63,0.5,0.79,0.24,22%,,0.81,0.47,0.59,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,50.82
,(广)广东东莞石龙天和内衣百货店,,,,0.77,,6.94,3.99,0.57,-0.2,-34%,,4.98,3.87,0.78,,3.61,2.06,0.57,-0.21,-47%,,1.28,0.95,0.74,,2.25,1.24,0.55,-0.18,31%,,0.89,0.7,0.79,,0.74,0.45,0.61,-0.18,-36%,,0.63,0.5,0.8,,0.34,0.23,0.68,-0.12,-54%,,0.88,0.7,0.8,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,49.52
,(广)广东惠州广百内衣店,,,,0.51,,4.91,2.15,0.44,-0.07,-41%,,2.78,1.4,0.5,,2.65,1.2,0.45,-0.05,-14%,,2.34,1.2,0.51,,1.09,0.46,0.42,-0.09,-62%,,0.88,0.47,0.53,,0.76,0.31,0.41,-0.12,-33%,,0.95,0.47,0.5,,0.41,0.17,0.42,-0.08,-64%,,1.01,0.48,0.47,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,35.15
,(广)广东中山阳春益华运动内衣店,,,,0.74,,4.82,2.81,0.58,-0.16,207%,,0.27,0.22,0.8,,2.1,1.17,0.56,-0.25,442%,,0.63,0.47,0.75,,1.06,0.6,0.57,-0.18,27%,,0.07,0.06,0.79,,1.41,0.83,0.59,-0.2,1379%,,0.15,0.09,0.58,,0.25,0.21,0.85,0.27,147%,,0.5,0.42,0.84,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,35.99
,(广)广州东莞君尚运动内衣店,,,,0.88,,20.13,10.92,0.54,-0.34,293%,,0.8,0.77,0.96,,11.87,5.45,0.46,-0.5,612%,,1.48,1.28,0.86,,2.56,1.61,0.63,-0.24,26%,,0.0,0.0,#DIV/0!,,2.43,1.67,0.69,,,,0.21,0.18,0.85,,1.88,1.37,0.73,-0.12,659%,,0.65,0.55,0.85,,1.39,0.82,0.59,10,519,6.34,-0.26,1048%,105.91
,(广)广州江门益华内衣店,,,,0.61,,25.32,14.78,0.58,-0.02,5%,,8.33,5.09,0.61,,7.75,5.38,0.69,0.08,6%,,3.41,2.24,0.66,,3.79,2.55,0.67,0.02,14%,,4.81,3.2,0.67,,10.63,4.72,0.44,-0.22,47%,,5.13,2.85,0.56,,2.77,1.86,0.67,0.12,-35%,,4.46,2.96,0.66,,0.38,0.27,0.72,27,194,2.12,0.06,-28%,75.48
,(广)中山益华百货内衣店,,,,0.65,,27.57,16.83,0.61,-0.04,18%,,9.14,5.92,0.65,,15.13,9.04,0.6,-0.05,53%,,5.06,3.61,0.71,,5.08,3.37,0.66,-0.05,-7%,,4.15,2.32,0.56,,5.06,2.78,0.55,-0.01,20%,,3.21,2.15,0.67,,1.27,1.07,0.84,0.17,-50%,,2.45,2.13,0.87,,1.03,0.57,0.55,14,434,4.43,-0.31,108%,111.12
,广百百货网店,,,,0.4,,0.0,0.0,#DIV/0!,,-100%,,3.55,1.54,0.43,,0.0,0.0,#DIV/0!,,-100%,,2.09,0.85,0.4,,0.0,0.0,#DIV/0!,,-100%,,3.48,1.3,0.37,,0.0,0.0,#DIV/0!,,-100%,,0.0,0.0,,,0.0,0.0,#DIV/0!,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,0.06
,广州广百百货水运动店,,,,0.84,,32.08,25.23,0.79,-0.06,7%,,4.97,4.17,0.84,,7.61,6.02,0.79,-0.05,44%,,7.58,6.42,0.85,,9.01,7.2,0.8,-0.05,12%,,6.64,5.93,0.89,,5.88,4.46,0.76,-0.13,-25%,,6.77,5.55,0.82,,7.63,6.07,0.8,-0.02,9%,,18.76,13.61,0.73,,1.95,1.48,0.76,5,605,11.49,0.04,-16%,72.29
,广州广百中怡水运动店,,,,0.85,,17.19,14.07,0.82,-0.03,-28%,,3.4,3.06,0.9,,3.8,3.3,0.87,-0.03,8%,,6.12,5.4,0.88,,2.75,2.34,0.85,-0.03,-57%,,7.72,6.43,0.83,,5.87,4.49,0.77,-0.07,-30%,,4.55,3.67,0.81,,3.62,3.06,0.84,0.04,-17%,,4.51,4.05,0.9,,1.15,0.89,0.77,6,357,6.86,-0.13,69%,53.53
,广州海印又一城瑜伽健身店,,,,0.61,,28.0,16.24,0.58,-0.03,12%,,5.87,3.58,0.61,,4.75,2.69,0.57,-0.04,-25%,,3.98,2.73,0.69,,5.51,3.17,0.58,-0.11,16%,,7.05,4.14,0.59,,6.62,3.9,0.59,0.0,-6%,,6.37,3.8,0.6,,8.97,5.21,0.58,-0.02,37%,,4.94,3.02,0.61,,2.15,1.26,0.59,4,752,9.78,-0.02,223%,64.05
,广州时代友谊水运动店,,,,0.45,,22.25,10.4,0.47,0.02,430%,,0.0,0.0,#DIV/0!,,5.06,2.37,0.47,,,,0.0,0.0,#DIV/0!,,5.22,2.34,0.45,,,,0.0,0.0,#DIV/0!,,4.81,2.2,0.46,,,,0.0,0.0,,,6.19,3.04,0.49,,,,4.35,1.96,0.45,,0.97,0.44,0.46,9,364,3.43,0.01,75%,67.14
,广州天河城G5运动内衣店,,,,0.51,,20.87,8.64,0.41,-0.09,18%,,6.67,3.56,0.53,,8.99,3.94,0.44,-0.1,11%,,2.19,1.32,0.61,,6.99,2.49,0.36,-0.25,88%,,1.61,0.81,0.5,,2.68,1.17,0.44,-0.07,45%,,2.84,1.23,0.43,,2.21,1.04,0.47,0.03,-16%,,3.47,1.57,0.45,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,37.13
,广州天河城百货水运动店,,,,0.8,,46.45,37.97,0.82,0.02,-16%,,10.7,8.52,0.8,,10.93,8.72,0.8,0.0,2%,,12.32,10.7,0.87,,11.27,8.68,0.77,-0.1,-19%,,15.74,13.34,0.85,,10.67,9.23,0.87,0.02,-31%,,15.02,10.71,0.71,,10.97,9.37,0.85,0.14,-13%,,20.77,16.63,0.8,,2.61,1.97,0.75,4,783,15.26,-0.05,-8%,71.98
,广州天河城名盛内衣店,,,,0.62,,30.65,14.98,0.49,-0.13,20%,,10.48,5.7,0.54,,12.6,6.58,0.52,-0.02,15%,,5.59,4.12,0.74,,5.35,3.09,0.58,-0.16,-25%,,2.21,1.44,0.65,,9.34,3.37,0.36,-0.29,135%,,1.49,1.01,0.68,,3.06,1.72,0.56,-0.12,70%,,3.28,1.83,0.56,,0.29,0.21,0.73,35,171,1.64,0.17,-10%,77.1
,广州天河城天银内衣店,,,,0.71,,18.87,9.75,0.52,-0.19,-1%,,9.54,6.99,0.73,,8.54,4.59,0.54,-0.2,-34%,,1.76,1.07,0.61,,2.56,1.37,0.54,-0.07,28%,,1.27,0.8,0.63,,3.93,1.63,0.41,-0.21,104%,,1.22,0.87,0.71,,2.85,1.68,0.59,-0.12,93%,,1.42,0.98,0.69,,1.0,0.48,0.48,6,535,3.73,-0.21,281%,46.2
,广州王府井内衣店,,,,0.71,,47.28,29.26,0.62,-0.09,-5%,,18.98,15.81,0.83,,25.16,15.29,0.61,-0.22,-3%,,13.03,8.0,0.61,,8.72,5.2,0.6,-0.02,-35%,,6.02,3.64,0.6,,6.62,4.04,0.61,0.01,11%,,4.41,2.86,0.65,,6.79,4.73,0.7,0.05,66%,,6.13,3.81,0.62,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,78.44
,广州王府井水运动店,,,,0.78,,9.02,6.44,0.71,-0.06,-38%,,1.92,1.5,0.78,,2.18,1.68,0.77,-0.01,12%,,4.33,3.17,0.73,,3.06,1.81,0.59,-0.14,-43%,,3.58,2.96,0.83,,1.83,1.4,0.77,-0.06,-53%,,3.3,2.55,0.77,,1.95,1.54,0.79,0.02,-40%,,3.08,2.43,0.79,,0.0,0.0,#DIV/0!,,0,0.0,,-100%,43.1
,广州友谊商店正佳水运动店,,,,0.82,,18.71,15.32,0.82,-0.01,-19%,,3.66,3.02,0.82,,4.52,3.62,0.8,-0.02,20%,,5.69,4.7,0.83,,4.48,3.59,0.8,-0.02,-24%,,6.93,5.99,0.86,,3.68,2.97,0.81,-0.06,-50%,,6.07,4.73,0.78,,4.95,4.27,0.86,0.08,-10%,,6.68,5.81,0.87,,1.08,0.87,0.81,6,310,6.77,-0.06,16%,50.06
,广州友谊淘金总店瑜伽健身店,,,,0.9,,29.71,19.4,0.65,-0.25,72%,,2.31,2.03,0.88,,6.94,4.18,0.6,-0.27,106%,,2.16,2.03,0.94,,3.08,2.83,0.92,-0.02,39%,,3.48,3.09,0.89,,12.54,6.52,0.52,-0.37,111%,,4.54,4.08,0.9,,6.62,5.42,0.82,-0.08,33%,,7.09,5.42,0.76,,0.53,0.46,0.87,21,202,3.56,0.11,-34%,81.79
,广州中华广场吉之岛水运动店,,,,#DIV/0!,,8.13,3.01,0.37,,,,0.0,0.0,#DIV/0!,,6.83,2.41,0.35,,,,0.0,0.0,#DIV/0!,,0.9,0.34,0.38,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,,,0.0,0.0,,,0.4,0.26,0.66,,,,0.0,0.0,#DIV/0!,,0.0,0.0,#DIV/0!,,0,0.0,,,19.06
