各主要设备厂家餐厨垃圾车信息汇总表,Unnamed: 1,青海洁神,青海洁神.1,青海洁神.2,青海洁神.3,青海洁神.4,青海洁神.5,中联重科,中联重科.1,中联重科.2,中联重科.3,烟台海德,烟台海德.1,烟台海德.2,烟台海德.3,烟台海德.4,福建龙马,福建龙马.1,福建龙马.2,福建龙马.3,其他（玉柴/徐工/东正）,其他（玉柴/徐工/东正）.1,其他（玉柴/徐工/东正）.2
底盘类别,底盘类别,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类,二类
轴数,轴数,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
轴距,轴距,38003650,"38,003,650",3815,3815,3815,3815,3815,3815,45004200,45004200,3815,38003650,36503800,38003650,36503800,4500（4200）,4500（4200）,3815,3815,3815,3360,38003650
轴荷,轴荷,6000/10000,6000/10000,3350/6650,3350/6650,3350/6650,   3350/6650,3350/6650,3350/6650,6000/10000,6000/10000,3350/6650,4490/8000,4495/8000,6000/10000,4495/8000,6000/10000,6000/10000,3350/6650,3350/6650,3350/6650,3000/5495,4450/8040
前悬后悬,前悬后悬,1430/1895,1430/1895,1110/1685,1110/1685,1110/1685,1110/1685,1110/1525,1110/1525,1430/1870,1430/1870,1110/1685,1430/1870,1430/1870,1430/2070,1430/1870,1430/1490,1430/1490,1110/1415,1110/1415（1765）,1110/1770,1095/1500,1430/1670
接近离去角,接近离去角,20/18(°),20/18(°),21/16.5(°),21/16.5(°),21/16.5(°),21/16.5(°),21/13(°),21/17(°),20/16(°),20/16(°),21/16.5(°),20/15(°),20/15(°),20/18(°),20/15(°),20/21(°),20/21(°),21/22(°),21/13(°),21/17(°),21/20(°),20/18(°)
弹簧片数,弹簧片数,"7/9+6,8/10+8","7/9+6,8/10+8",8/10+6,8/10+6,8/10+6,  8/10+6,8/10+6,8/10+6,"7/9+6,8/10+8","8/10+8,7/9+6",8/10+6,"7/9+6,8/10+8",7/9+6,"7/9+6,8/10+8",7/9+6,"7/9+6,8/10+8","8/10+8,7/9+6",8/10+6,8/10+6,8/10+6,3+1/6+7,"7/9+6,8/10+8"
轮胎规格,轮胎规格,"9.00R20,10.00R20","9.00R20,10.00R20     ","235/75R17.5-14PR,8.25R20-14PR","235/75R17.5-14PR,8.25R20-14PR","9.5R17.5,8.25-20,8.25R20","9.5R17.5,8.25-20,8.25R20","9.5R17.5,8.25-
20,8.25R20","235/75R17.5-14PR,
8.25R20-14PR","9.00R20,10.00R20,275/80R22.5","10.00R20,9.00R20","9.5R17.5,8.25-20,8.25R20","9.00R20,10.00-20,10.00R20","8.25R20,9.00-20,9.00R20","9.00R20,10.00-20,10.00R20","8.25R20,9.00-20,9.00R20","9.00R20,10.00-20,10.00R20","9.00R20,10.00-20,10.00R20","9.5R17.5,8.25-20,8.25R20",235/75R17.5 14PR8.25-R20-14PR,"9.5R17.5,8.25-20,8.25R20","7.50R16,7.00R16","9.00R20,10.00-20,10.00R20"
轮胎数,轮胎数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
前排乘客,前排乘客,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
底盘排放标准,底盘排放标准,GB17691-2005国ⅣGB3847-2005,GB17691-2005国ⅣGB3847-2005,"GB17691-2005(国Ⅳ),GB3847-2005","GB17691-2005(国Ⅳ),GB3847-2005","GB17691-2005国III,GB3847-2005","GB17691-2005国III,GB3847-2005","GB17691-2005国
III,GB3847-2005","GB17691-2005(国
Ⅳ),GB3847-2005",GB17691-2005国ⅢGB3847-2005,GB17691-2005国ⅣGB3847-2005,"GB17691-2005国III,GB3847-2005",GB17691-2005国ⅢGB3847-2005,GB17691-2005国ⅣGB3847-2005,GB17691-2005国ⅢGB3847-2005,GB17691-2005国ⅣGB3847-2005,GB17691-2005国ⅢGB3847-2005,GB17691-2005国ⅣGB3847-2005,GB3847-2005 GB17691-2005国III,GB17691-2005国ⅣGB3847-2005,"GB17691-2005国III,GB3847-2005","GB17691-2005国Ⅳ,GB3847-2005",GB17691-2005国ⅢGB3847-2005
发动机功率,发动机功率,136,136,139,139,129,129,129,139,155,136,129,136,132,155,132,155,136,129,139,129,105,125
发动机型号,发动机型号,ISDe185 40,ISDe185 40,4HK1-TCG40,4HK1-TCG40,4HK1-TC,4HK1-TC,4HK1-TC,4HK1-TCG40,ISDe210 30,ISDe185 40,4HK1-TC,ISDe185 30,ISDe180 40,ISDe210 30,ISDe180 40,ISDe210 30,ISDe185 40,4HK1-TC,4HK1-TCG40,4HK1-TC,ISF3.8s4141,B170 33
外形尺寸,外形尺寸,7125×2480×3200,7125×2480×3200,6610×2200×2575,6610×2200×2575,6610×2200×2575,6610×2200×2575,6450×2250×3265,6450×2250×3265,7800×2480×3320,7800×2480×3320,6610×2200×2575,7100×2425×2955,7100×2425×2955,7300×2480×3200,7100×2425×2955,7420×2480×3385,7420×2480×3385,6340×2400×2935,6340×2400×2935,6695×2200×2900,5955×2200×2770,5960×2000×2750
