序号,竞争品牌及机型市场调查-类别,竞争品牌及机型市场调查-品牌,竞争品牌及机型市场调查-机型,竞争品牌及机型市场调查-工作重量（kg）,竞争品牌及机型市场调查-斗容（m3）,竞争品牌及机型市场调查-发动机-型号,竞争品牌及机型市场调查-发动机-功率（kw/rpm）,竞争品牌及机型市场调查-无尾型,竞争品牌及机型市场调查-大臂侧转,竞争品牌及机型市场调查-产地-进口／合资／国产,竞争品牌及机型市场调查-市场价（万）,竞争品牌及机型市场调查-代理价（万）,竞争品牌及机型市场调查-服务费（万）,竞争品牌及机型市场调查-返利政策（万）,竞争品牌及机型市场调查-商务条件,竞争品牌及机型市场调查-备注
15,日本系,长野,NS35-2,3370,0.14,ISUZU 4LE1-PA03,21.3/2400,NO,YES,进口,,,,,,
16,日本系,长野,NS50-2,4490,0.2,ISUZU 3LD1-PA20,33.1/2300,NO,YES,进口,,,,,,
17,日本系,长野,NS75-2,7540,0.32,V3000,43.3/2300,NO,YES,进口,,,,,,
18,日本系,竹内,TB140,3430/3530,0.12,3TNV88-TB,20.9/2300,NO,YES,进口,,,,*返利0.5-1万元/台,*依代理商能力在当地开通，厂家提供债权担保                           *提供二手试用机制度,
19,日本系,竹内,TB150,4825/4740,0.2,4TNV88-QTB1,27.9/2300,NO,YES,进口,,,,*返利0.5-1万元/台,*依代理商能力在当地开通，厂家提供债权担保                           *提供二手试用机制度                      ,
19,日本系,竹内,TB150,4825/4740,0.20,4TNV88-QTB,36.6/2300,NO,YES,进口,39,35.8,0.8,*返利0.5-1万元/台,*依代理商能力在当地开通，厂家提供债权担保                           *提供二手试用机制度                      ,
21,日本系,竹内,TB180,7280/7405,0.3,4TNN98-TB,43.5/2100,NO,YES,进口,,,,*返利0.5-1万元/台,*依代理商能力在当地开通，厂家提供债权担保                           *提供二手试用机制度                      ,
22,日本系,洋马,VIO35,3675,0.11,3TNV82A-XBV,18.4/2500,YES,YES,进口,29.5,26,0.5,*返利0.5-1万元/台,无按揭、无分期/代理商凭实力自行开通,
23,日本系,洋马,VIO55,5310,0.2,4TNV88-XBV,27.9/2300,YES,YES,进口,39,36,0.5,*返利0.5-1万元/台,无按揭、无分期/代理商凭实力自行开通,
24,日本系,洋马,VIO75-B,7900,0.28,4TNV98-XBVB,43.4/2000,YES,YES,进口,51,47,0.5,*返利0.5-1万元/台,无按揭、无分期/代理商凭实力自行开通,
25,欧美系,沃尔沃,EC55,5330/5200,0.23,4TNV94L-XVC1,37/2100,NO,NO,进口,38,32,0.8,,"银行按揭30%,二年期限",
26,欧美系,卡特,CAT305.5,5480,0.18,4M40-EA,40.5/2100,NO,NO,进口,44,39,1,,"20%首付,4年融资租赁/按揭2年",宁波金亚提供
,欧美系,山猫,331,3300,0.18,V2203-EB,29.9/2400,NO,90/50,进口,33,27,1,,20%首付/4年融资租赁,宁波金亚提供
,欧美系,山猫,337,5100,0.23,V2204T-EB,39.5/2500,NO,75/50,进口,42,37,1,,20%首付/4年融资租赁,宁波金亚提供
27,欧美系,凯斯,CX35,3730,0.12,3TNV88,22.2/2400,YES,YES,进口,33.2,27.2,0.8,"20台以上--2万/台,但每月需销售1台两头忙,否返利60-80%.",依代理商能力开通,
28,欧美系,凯斯,CX55B,5300,0.2,4TNV88,31.5/2400,YES,YES,进口,41.5,35.5,0.8,"20台以上--2万/台,但每月需销售1台两头忙,否返利60-80%.",依代理商能力开通,
,欧美系,凯斯,CX75,7340,0.36,,52HP,YES,YES,进口,56.5,49.5,0.8,"20台以上--2万/台,但每月需销售1台两头忙,否返利60-80%.",依代理商能力开通,
,,,,,,发动机,发动机,,,产地,,,,,,
序号,类别,品   牌,机型,工作重量          （kg）,斗容         （m3）,型号,功率（kw/rpm）,无尾型,大臂          侧转,进口／合资／国产,市场价（万）,代理价（万）,服务费（万）,返利政策（万）,商务条件,备注
29,韩国系,大宇,DH35,3240,0.1,ISUZU 3LD1,18/1950,NO,YES,国产,,,,全国前16名5％，依次3％，2％，1％递减,*光大30％首付，2-3年按揭                                 *授信额度，分期销售,
30,韩国系,大宇,DH55-5,5250,0.175,ISUZU A-4JB1,40.5/2200,NO,NO,国产,32,30,0.6,全国前16名5％，依次3％，2％，1％递减,*光大30％首付，2-3年按揭                                 *授信额度，分期销售,
31,韩国系,大宇,DH60-7,5550,0.2,4TNE-94,40/2200,NO,NO,国产,35,32,0.6,全国前16名5％，依次3％，2％，1％递减,*光大30％首付，2-3年按揭                                 *授信额度，分期销售,
32,韩国系,大宇,DH80-7,7830,0.28,4TNV98-SDB,41.4/2100,NO,NO,国产,,,0.6,全国前16名5％，依次3％，2％，1％递减,*光大30％首付，2-3年按揭                                 *授信额度，分期销售,
33,韩国系,现代,R55-7,5500,0.18,4TNV94L,40/2200,NO,NO,国产,31,28.9,0.8,"*5-10台--0.3万/台,11-29台--1万,30-59台--1.5万,160-99台--1.8万/台,100台以上--2万                          *指标奖励0.2万/台",*光大30％首付，2-3年按揭                    *授信额度，分期销售,
34,韩国系,现代,R60-5,5800,0.21,4TNE-94,40.3/2300,NO,NO,国产,停产,停产,停产,"*5-10台--0.3万/台,11-29台--1万,30-59台--1.5万,160-99台--1.8万/台,100台以上--2万                          *指标奖励0.2万/台",*光大30％首付，2-3年按揭                    *授信额度，分期销售,
35,韩国系,现代,R60-7,5850,0.21,4TNV94L,40/2200,NO,NO,国产,33,31.9,0.8,"*5-10台--0.3万/台,11-29台--1万,30-59台--1.5万,160-99台--1.8万/台,100台以上--2万                          *指标奖励0.2万/台",*光大30％首付，2-3年按揭                    *授信额度，分期销售,
,韩国系,现代,R80-7,7800,0.28,4TNV-98,59.5HP/2100,NO,NO,,,,0.8,"*5-10台--0.3万/台,11-29台--1万,30-59台--1.5万,160-99台--1.8万/台,100台以上--2万                          *指标奖励0.2万/台",*光大30％首付，2-3年按揭                    *授信额度，分期销售,
36,国产系,玉柴,YC35,3700,0.12,玉柴,28/2200,NO,NO,国产,24.3,23,0.7,"*3T--0.3万，5.5T/6T--0.7万,8.5T--1万","*分期销售,12个月分期",宁波金亚提供
37,国产系,玉柴,YC55,5710,0.18,玉柴,45/2200,NO,NO,国产,27,26,1,"*3T--0.3万，5.5T/6T--0.7万,8.5T--1万","*分期销售,12个月分期",宁波金亚提供
38,国产系,玉柴,YC65,6700,0.24,玉柴/进口,56与60/2200,NO,NO,国产,27.8,26.2,1,"*3T--0.3万，5.5T/6T--0.7万,8.5T--1万","*分期销售,12个月分期",宁波金亚提供
39,国产系,玉柴,YC85,8100,0.32,玉柴/进口,56与60/2200,NO,NO,国产,36,32,1,"*3T--0.3万，5.5T/6T--0.7万,8.5T--1万","*分期销售,12个月分期",宁波金亚提供
40,国产系,山河智能,SWE50,4680,0.18,4TNV88-SSU,29.2/2200,NO,NO,国产,26,25,0.8,"*10台以上--1.5万/台,30台以上--2万/台,60台以上--2.5万/台.                                             *指标奖励--5000元/台。","*长沙商业银行按揭          *分期销售,12个月分期",
41,国产系,山河智能,SWE65,6300,0.22,Cummins A2300T,41/2300,NO,NO,国产,30.5,29.3,0.8,"*10台以上--1.5万/台,30台以上--2万/台,60台以上--2.5万/台.                                             *指标奖励--5000元/台。","*长沙商业银行按揭          *分期销售,12个月分期",
42,国产系,柳工,CLG907,7000,0.32,康明斯  B3.3,45/2100,NO,NO,国产,35,32,1,20台以上--2万/台,*按揭销售,重点投放山东/浙江/四川/云南/广西
,,,,,,,,,,,,,,,,
1,,石 川 岛,35N,3150(3650),0.11(0.14),ISUZU 31A1,19.8/2200,NO,YES,进口,31,27.65,0.65,*返利0.4-0.8万/台,依代理商能力在当地开通按揭                     *针对部分代理商进行分期销售,
2,,石 川 岛,50NX,4765(4800),0.15(0.19),ISUZU 4LE2,30.2/2300(32.7/2300),YES,YES,进口,39.8,36.5,0.65,*返利0.4-0.8万/台,依代理商能力在当地开通按揭                     *针对部分代理商进行分期销售,
3,,石 川 岛,60N,5200(5780),0.18(0.23),4TNV94L,40.8/2400(42.4/2400),NO,YES,合资,42,38.65,0.65,*返利0.4-0.8万/台,依代理商能力在当地开通按揭                     *针对部分代理商进行分期销售,
4,,石 川 岛,80NX,7600,0.25(0.32),ISUZUAA-4JG1,40.8/2100,YES,YES,进口,52,48.65,0.65,*返利0.4-0.8万/台,依代理商能力在当地开通按揭                     *针对部分代理商进行分期销售,
