幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-序号-序号,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-项目名称-项目名称,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-项目特征-项目特征,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单位-单位,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-工程量-工程量,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-合价-合价,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-综合单价-综合单价,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-人工费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-主材费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-主材损耗,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-辅材费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-单价-机械费,幼儿园装饰工程量清单-工程名称：幼儿园装饰工程-备注-备注,答疑
1,木墙裙,1.1﹕2.5的水泥沙浆找平；                  2.腻子找平；             3.墙纸铺贴。,m2,16.12,581.93,36.1,6.0,25.0,1.08,2.0,1.1,PVC材质,
2,乳胶漆,墙面乳胶漆,m2,15.21,201.08,13.22,6.0,4.0,1.03,2.0,1.1,,
3,腻子基层,墙纸腻子基层,m2,31.33,350.58,11.19,5.0,3.0,1.03,2.0,1.1,,
4,木踢脚,木工板基层，白色混水漆饰面,m,3.1,638.91,206.1,120.0,50.0,1.1,30.0,1.1,含白色混水漆饰面,
5,100轻钢龙骨墙,18厘米钢化透明磨砂玻璃及5公分宽黑镜钢线条压边,m2,4.49,2114.3,471.1,80.0,220.0,1.5,60.0,1.1,,
6,页岩空心砖砌体,1.钢化玻璃门；2.安装；3.含五金件；,樘,1.0,1265.5,1265.5,120.0,1050.0,1.05,35.0,8.0,,
7,200*200墙砖,1.1﹕2.5的水泥沙浆铺贴；                  2.卫生间墙面贴马赛克。,m2,9.98,4652.54,466.0,80.0,350.0,1.05,16.5,2.0,,
8,公共卫生间300*600墙砖,1.胶粘爵士白石材,m2,0.76,316.05,413.9,80.0,280.0,1.12,18.0,2.3,,
9,10厚钢化玻璃,木工板基层，水曲柳饰面板抹黑色漆,套,2.0,2760.0,1380.0,800.0,480.0,1.1,50.0,2.0,,
10,银镜,1.木基层  2.银镜安装,m2,1.06,222.81,210.6,60.0,120.0,1.13,10.0,5.0,,
,合计,,元,,15914.29,,,,,,,,
二,218、228、238房间,3间,,,,,,,,,,,
,地面工程,,,,,,,,,,,,
,天棚工程,,,,,,,,,,,,
,墙面工程,,,,,,,,,,,,
,合计*3间,,元,,0.0,,,,,,,,
,248、258、268、278房间,4间,,,,,,,,,,,
,地面工程,,,,,,,,,,,,
,天棚工程,,,,,,,,,,,,
,墙面工程,,,,,,,,,,,,
,合计*4,,元,,0.0,,,,,,,,
,288房间,1间,,,,,,,,,,,
,地面工程,,,,,,,,,,,,
,天棚工程,,,,,,,,,,,,
,墙面工程,,,,,,,,,,,,
,合计*1,,元,,0.0,,,,,,,,
,308、318、328、338房间,4间,,,,,,,,,,,
,地面工程,,,,,,,,,,,,
,天棚工程,,,,,,,,,,,,
,墙面工程,,,,,,,,,,,,
,合计*4,,元,,0.0,,,,,,,,
,348房间,1间,,,,,,,,,,,
,地面工程,,,,,,,,,,,,
,天棚工程,,,,,,,,,,,,
,墙面工程,,,,,,,,,,,,
,合计*1,,元,,0.0,,,,,,,,
,过道项目,1间,,,,,,,,,,,
,地面工程,,,,,,,,,,,,
,天棚工程,,,,,,,,,,,,
,墙面工程,,,,,,,,,,,,
,合计*1,,元,,0.0,,,,,,,,
,装饰汇总,,,,,,,,,,,,
二,安装项目,,,,,,,,,,,,
2,BV-2.5m2、BV-4m2,1.强、弱电穿线、PVC穿管,m²,553.0,23281.3,42.1,26.0,10.0,1.06,5.0,0.5,553.72,空调？
,PP_R给水管、PVC排水管,,m²,51.61,3586.87,69.5,20.0,35.0,1.1,10.0,1.0,,
4,照明配电箱,空开、电气元件安装；,套,1.0,81.0,81.0,0.0,80.0,1.0,0.0,1.0,,
6,双控开关,按施工图说明,个,28.0,812.0,29.0,0.0,25.0,1.0,2.0,2.0,,
8,五孔安全插座,按施工图说明,个,70.0,1330.0,19.0,0.0,18.0,1.0,0.0,1.0,,
9,防水插座,按施工图说明,个,14.0,434.0,31.0,0.0,30.0,1.0,0.0,1.0,,
15,空调插座,按施工图说明,个,14.0,490.0,35.0,0.0,30.0,1.0,0.0,5.0,,
10,网络插座,按施工图说明,个,14.0,378.0,27.0,0.0,26.0,1.0,0.0,1.0,,
11,电话插座,按施工图说明,个,14.0,378.0,27.0,0.0,26.0,1.0,0.0,1.0,,
12,电视插座,按施工图说明,个,14.0,378.0,27.0,0.0,26.0,1.0,0.0,1.0,,
13,请勿打扰,按施工图说明,个,14.0,378.0,27.0,0.0,26.0,1.0,0.0,1.0,,
14,安全指示灯,按施工图说明,个,10.0,710.0,71.0,0.0,70.0,1.0,0.0,1.0,,
,消防应急灯,,盏,10.0,1000.0,100.0,0.0,100.0,1.0,0.0,0.0,,
16,LED射灯,按施工图说明,套,126.0,7434.0,59.0,0.0,58.0,1.0,0.0,1.0,,
17,防水射灯,按施工图说明,套,14.0,924.0,66.0,0.0,65.0,1.0,0.0,1.0,,
18,灯带,按施工图说明,m,3.5,112.7,32.2,0.0,30.0,1.04,0.0,1.0,,
19,换气扇,按施工图说明,套,14.0,2814.0,201.0,0.0,200.0,1.0,0.0,1.0,,
,卫生间浴霸,按施工图说明,个,14.0,3374.0,241.0,0.0,240.0,1.0,0.0,1.0,,
25,台盆及安装,按施工图说明,套,14.0,6659.8,475.7,0.0,450.0,1.05,1.2,2.0,,
26,台盆水龙头安装,按施工图说明,套,14.0,2984.8,213.2,0.0,200.0,1.05,1.2,2.0,,
27,座便器安装,按施工图说明,套,14.0,14380.8,1027.2,100.0,880.0,1.05,1.2,2.0,,
28,淋浴房安装,按施工图说明,套,14.0,38264.8,2733.2,0.0,2600.0,1.05,1.2,2.0,,
29,地漏及安装,按施工图说明,套,14.0,779.8,55.7,0.0,50.0,1.05,1.2,2.0,,
30,地面开孔,按施工图说明,个,5.0,135.0,27.0,25.0,0.0,1.0,0.0,2.0,,
,合计,,元,,111100.87,,,,,,,,
三,土建项目,,,,,,,,,,,,
,轻钢龙骨隔墙,,,,0.0,0.0,,,,,,,
,C20砼垫层,,,,0.0,0.0,,,,,,,
,卫生间防水,墙、地面，1:1劳亚尔砂浆防水,m²,148.38,7789.82,52.5,15.0,30.0,1.05,5.0,1.0,,
,,,,,0.0,0.0,,,,,,,
,,,,,0.0,0.0,,,,,,,
,,,,,0.0,0.0,,,,,,,
,,,,,0.0,0.0,,,,,,,
,,,,,0.0,0.0,,,,,,,
,,,,,0.0,0.0,,,,,,,
四,工程直接费,,,,,,,,,,,,
,,,,,,,,,,,,,
五,措施费,,元,275.0,,,,,,,,,
六,清洁除渣转运费=建筑面积*10元,,元,275.0,,,,,,,,,
七,管理费=[直接费*5%],,元,,,,,,,,,,
八,税 金[五+六]*3.48%,,元,,,,,,,,,,
九,工程总造价=[五+···+七],,元,,,,,,,,,,
