设备润滑注油周期表-单位：-设备编号或名称-设备编号或名称,设备润滑注油周期表-注油部位名称-注油部位名称,设备润滑注油周期表-注油点数-（个/台）,设备润滑注油周期表-润滑油牌号-润滑油牌号,设备润滑注油周期表-注油周期-注油周期,设备润滑注油周期表-检查周期-检查周期,设备润滑注油周期表-换油周期-换油周期,设备润滑注油周期表-用量-用量,设备润滑注油周期表-备注-备注
高压电动机,轴承,,3#锂基脂,3个月,12个月,内腔1/3—1/2,,
液压泵站,油箱,1,,,12个月,油位处于油标上下线之间,随时检查油位，及时注油,
高压电动机,,,2#极压锂基脂,3个月,12个月,内腔1/2—2/3,,
除铁器--xc091501,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
冷却塔--XC100102,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
105跳汰机--XC090101,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
提升轮,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
104链式给煤机--XC092401,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
106手选皮带机--XC062602,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
109混煤皮带机--XC062603,,,,,,,,
斗提机--XC09130101,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
1001矸破带机--XC062607,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
卸料器--XC092501,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
卸料器--XC092502,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
卸料器--XC092503,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
卸料器--XC092504,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
离心泵--XC070206,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
离心泵--XC070207,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
渣浆泵--XC071201,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
渣浆泵--XC071202,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
加压泵,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
内循环泵,电机轴承,2,2＃极压锂基脂,3个月,12个月,内腔1／2－2／3,,
离心泵--XC070206,轴承,1,2＃极压锂基脂,15天,12个月,内腔1／2－2／3,,
离心泵--XC070207,轴承,1,2＃极压锂基脂,15天,12个月,内腔1／2－2／3,,
渣浆泵--XC071201,轴承,2,2＃极压锂基脂,15天,12个月,内腔1／2－2／3,,
渣浆泵--XC071202,轴承,2,2＃极压锂基脂,15天,12个月,内腔1／2－2／3,,
加压泵,轴承,1,2＃极压锂基脂,15天,12个月,内腔1／2－2／3,,
内循环泵,轴承,2,2＃极压锂基脂,15天,12个月,内腔1／2－2／3,,
激振器--XC040901,轴承,4,2＃极压锂基脂,1周,12个月,内腔1／2－2／3,,
破碎机--XC050402,徘料内偏心泵,1,2＃极压锂基脂,1个月,12个月,内腔1／2－2／3,,
破碎机--XC050402,定颚轴,2,2＃极压锂基脂,1个月,12个月,内腔1／2－2／3,,
