各岗位对应职等、职级薪资表,各岗位对应职等、职级薪资表-薪资结构：当月全薪=标准底薪+岗位工资+绩效工资,各岗位对应职等、职级薪资表.1,各岗位对应职等、职级薪资表.2,各岗位对应职等、职级薪资表.3,各岗位对应职等、职级薪资表.4,各岗位对应职等、职级薪资表.5,各岗位对应职等、职级薪资表.6,各岗位对应职等、职级薪资表.7,各岗位对应职等、职级薪资表.8,各岗位对应职等、职级薪资表.9,各岗位对应职等、职级薪资表.10,各岗位对应职等、职级薪资表.11,各岗位对应职等、职级薪资表.12,各岗位对应职等、职级薪资表.13,各岗位对应职等、职级薪资表.14,各岗位对应职等、职级薪资表.15,各岗位对应职等、职级薪资表.16,各岗位对应职等、职级薪资表.17,福利-1、月全勤奖，B、C职等150/月，D、E职等100/月；2、年全勤奖，B、C职等1500/年，C、D职等1000/年；3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,福利-1、月全勤奖，B、C职等150/月，D、E职等100/月；2、年全勤奖，B、C职等1500/年，C、D职等1000/年；3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。.1
C,1700,绩效,0,400,400,400,400,200,,董事助理,总经理助理,会计/出纳,人事招聘专员,,见习店长,资深采购,司机,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
D,1300,岗位,0,200,400,600,800,200,,,,,人事文员,美工/文案,,采购文员,仓管员,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
D,1300,绩效,0,600,600,600,600,200,,,,,人事文员,美工/文案,,采购文员,仓管员,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
D,1300,岗位,0,100,300,500,700,200,,,,,人事、行政文员,储备干部,收银,储备干部,储备干部,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
D,1300,绩效,0,600,600,600,600,200,, ,,,人事、行政文员,储备干部,收银,储备干部,储备干部,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
D,1300,岗位,0,0,200,400,600,200,,,,,,,店员,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
D,1300,绩效,0,600,600,600,600,200,,,,,,,店员  ,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
E,1100,岗位,100,100,200,300,400,100,,,,,,,,,搬运工/杂工,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
E,1100,绩效,0,800,800,800,800,100,,,,,,,,,搬运工/杂工,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
E,1100,岗位,0,100,200,300,400,100,,,,,清洁工/保安,,,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
E,1100,绩效,0,300,300,300,300,100,,,,,清洁工/保安,,,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
说明,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释
说明,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释,试用期享受对应 职等1级工资，转正享受2级，入职2年后享受3级工资，特别优秀员工提前调级需由直属领导提出调资申请，人事部审核给出意见，B级以下总经理批复生效，B级以上执行董事批复生效。4、5级工资暂不做解释
