序号,项目编码,项目名称,项目特征描述,计量单位,工程量
16,10400000000.0,有梁板,"1.板厚度:100mm以内
2.混凝土强度等级:c30
3.混凝土拌和料要求:商品混泥土",m3,310.97
17,10400000000.0,天沟、挑檐板,"1.混凝土强度等级:c25
2.混凝土拌和料要求:商品混凝土",m3,30.36
18,10400000000.0,雨篷、空调板,"1.混凝土强度等级:C30
2.混凝土拌和料要求:商品混凝土",m3,3.51
19,10400000000.0,直形楼梯,"1.混凝土强度等级:C30
2.混凝土拌和料要求:商品混凝土",m2,141.86
20,10400000000.0,压顶,"1.构件的类型:压顶
2.混凝土强度等级:C25
3.混凝土拌和料要求:商品混泥土",m3(m2、m),6.44
21,10400000000.0,散水,1.垫层种类:05YJ9-1P53页图3,m2,63.9
22,10400000000.0,坡道,1.坡道做法:05YJ13-1/15、7/16,m2,8.64
23,10400000000.0,坡道,1.坡道做法:05YJ13-1/17,m2,10.8
24,10400000000.0,台阶,1.做法:05YJ9-1p61页图2E,m2,54.54
25,10400000000.0,现浇混凝土钢筋,1.钢筋种类、规格:Ⅰ级钢筋Φ10以内,t,3.588
26,10400000000.0,现浇混凝土钢筋,1.钢筋种类、规格:Ⅰ级钢筋Φ10以上,t,0.679
27,10400000000.0,现浇混凝土钢筋,1.钢筋种类、规格:Ⅲ级钢筋Φ10以内,t,46.838
28,10400000000.0,现浇混凝土钢筋,1.钢筋种类、规格:Ⅲ级钢筋Φ10以上,t,64.354
29,10400000000.0,现浇混凝土钢筋,1.钢筋种类、规格:砌体加固钢筋不绑扎Ⅰ级钢筋Φ10以内,t,2.812
30,10400000000.0,钢筋接头,1.接头种类、规格:螺纹,个,1973.0
31,10400000000.0,钢筋接头,1.接头种类、规格:螺纹接头Φ25以上,个,103.0
32,10400000000.0,预埋铁件,1.钢材种类、规格:楼梯踏步铁件,t,0.21
33,10400000000.0,商品混凝土运输费,1.运输距离:5KM,m3,969.14
34,10700000000.0,屋面,1.做法:05YJ1屋13(B7-180-F1),m2,73.44
35,10700000000.0,屋面,1.做法:05YJ1屋3(B7-180-F1),m2,267.85
36,10700000000.0,屋面,1.做法:05YJ1屋39(B9-125-F14),m2,357.38
37,10700000000.0,屋面,1.做法:05YJ1屋12,m2,46.83
38,10700000000.0,屋面排水管,1.排水管品种、规格:PVC水落管圆形Φ150mm、预制砼水簸箕、PVC落水口圆形Φ150mm、PVC弯头,m,151.65
39,10700000000.0,墙、柱面找平层,1.添加材料:钉挂钢丝网墙面,m2,873.7
40,10800000000.0,保温隔热墙,"1.保温隔热部位:外墙
2.保温隔热方式（内保温、外保温、夹心保温）:外保温
3.保温隔热面层材料品种、规格、性能:80mm厚矿棉毡",m2,1696.61
41,20100000000.0,块料楼地面,"1.位置:卫生间防滑地砖
2.垫层：80厚C15混凝土
3.找坡：50厚C15细石混凝土找坡不小于0.5%，最薄处不小于30MM
4.找平：15厚1:2水泥沙浆找平
5.防水：1.5厚聚氨脂防水涂料，面撒黄沙，四周沿墙上翻150高",m2,2.86
42,20100000000.0,块料楼地面,"1.位置:卫生间防滑地砖
2.找坡：50厚C15细石混凝土找坡不小于0.5%，最薄处不小于30MM
3.找平：15厚1:2水泥沙浆找平
4.防水：1.5厚聚氨脂防水涂料，面撒黄沙，四周沿墙上翻150高",m2,96.14
43,20100000000.0,硬木扶手带栏杆、栏板,1.做法:05YJ8-1/25,m,52.64
44,20200000000.0,墙面一般抹灰,"1.墙体类型:内墙
2.做法:05YJ1内墙5",m2,2777.09
45,20200000000.0,块料墙面,"1.墙体材料:内墙
2.面砖尺寸:300*450面砖
3.高度:到吊顶底
4.做法:05YJ1内墙12
5.扣减部分：墙面面砖不计",m2,315.31
46,20300000000.0,天棚抹灰,"1.基层类型:砼
2.做法:05YJ1顶3",m2,2315.47
47,20400000000.0,夹板装饰门,"1.门类型:夹板平开门、专业厂家定制
2.洞口尺寸:1500*2900 1800*2900",樘(m2),36.54
48,20400000000.0,塑钢门连窗,"1.窗类型:塑钢门连窗
2.洞口尺寸:6000*2900",樘(m2),33.6
49,20400000000.0,塑钢窗,"1.窗类型:塑钢推拉窗
2.洞口尺寸:900*1500
3.纱扇:开启扇均加纱窗",樘(m2),1.35
50,20400000000.0,塑钢窗,"1.窗类型:塑钢推拉窗
2.洞口尺寸:1500*2000
3.纱扇:开启扇均加纱窗",樘(m2),36.0
51,20400000000.0,塑钢窗,"1.窗类型:塑钢推拉窗
2.洞口尺寸:1800*2000
3.纱扇:开启扇均加纱窗",樘(m2),219.6
52,20500000000.0,金属面油漆,1.做法:05YJ1-P80页涂12,t,0.838
53,20500000000.0,抹灰面油漆,.做法:05YJ1-P80页涂,m2,1696.61
