普通家装预算模板-预算,普通家装预算模板-实际合计,普通家装预算模板-编号,普通家装预算模板-预算分类,普通家装预算模板-装修步骤（数字代表顺序）,普通家装预算模板-单价（元）,普通家装预算模板-折扣,普通家装预算模板-折后价(元),普通家装预算模板-数量,普通家装预算模板-单位,普通家装预算模板-小计(元)
,,套餐1,手盆,,100,1,100,1,,100
,,套餐1,浴柜,,100,1,100,1,,100
,,套餐1,龙头,,100,1,100,1,,100
,,套餐1,镜子,,100,1,100,1,,100
,,套餐2,手盆,,100,1,100,1,,100
,,,浴室配件,PUSH放水,100,1,100,1,,100
,,,下水阀,,100,1,100,2,,200
,,,手纸盒,,100,1,100,2,,200
,,,小计,,,,,,,1600
￥800,￥700,15,装饰,24窗帘杆安装,,,,,,
,,"纺
织",窗帘,,100,1,100,1,,100
,,,百叶帘,,100,1,100,1,,100
,,,窗轨,,100,1,100,1,,100
,,,窗杆,,100,1,100,4,,400
,,,小计,,,,,,,700
"￥15,000","￥19,255",16,家具,25拓荒保洁 26家具进场,品牌：×××家具,品牌：×××家具,品牌：×××家具,品牌：×××家具,品牌：×××家具,品牌：×××家具
,,"家
居",四门衣柜,,1000,0.85,850,2,,1700
,,"家
居",三门书柜,,1000,0.85,850,1,,850
,,"家
居",双人床1.8米,,1000,0.85,850,1,,850
,,"家
居",单人床1.2米,,1000,0.85,850,1,,850
,,"家
居",床头柜,,1000,0.85,850,2,,1700
,,"家
居",妆台+妆凳,,1000,0.85,850,1,,850
,,"家
居",电视矮柜,,1000,0.85,850,1,,850
,,"家
居",写字台,,1000,0.85,850,1,,850
,,"家
居",书柜书桌,,1000,0.85,850,0,,0
,,"家
居",三人沙发,,1000,0.85,850,1,,850
,,"家
居",双人沙发,,1000,0.85,850,1,,850
,,"家
居",单人沙发,,1000,0.85,850,1,,850
,,"家
居",长茶几,,1000,0.85,850,1,,850
,,"家
居",方茶几,,1000,0.85,850,1,,850
,,"家
居",隔厅柜,,1000,0.85,850,1,,850
,,"家
居",电视柜,,1000,0.85,850,1,,850
,,"家
居",餐桌,,1000,0.85,850,1,,850
,,"家
居",餐椅,,1000,0.85,850,4,,3400
,,"家
居",园几,,100,0.85,85,1,,85
,,"家
居",扶手转椅,,100,0.85,85,2,,170
,,"小
家
具",CD架,,100,1,100,1,,100
,,"小
家
具",衣帽架,,100,1,100,1,,100
,,"小
家
具",晾衣架,,100,1,100,1,,100
,,,小计,,,,,,,19255
"￥1,000",￥800,17,电器,27家电安装,,,,,,
,,"厨
房",冰箱,,100,1,100,1,,100
,,"厨
房",微波炉,,100,1,100,1,,100
,,"厨
房",消毒机,,100,1,100,1,,100
,,,电视,,100,1,100,1,,100
,,,空调,,100,1,100,1,,100
,,,无线HUB,,100,1,100,1,,100
,,"浴
室",热水器,,100,1,100,1,,100
,,"浴
室",浴霸,,100,1,100,1,,100
,,,小计,,,,,,,800
"￥1,000",￥400,18,装饰,28家居配饰,,,,,,
,,,墙纸及腰线,,100,1,100,1,,100
,,,地毯,,100,1,100,1,,100
,,,画,,100,1,100,1,,100
,,,装饰,,100,1,100,1,,100
,,,小计,,,,,,,400
￥500,￥600,19,绿植,29绿植,,,,,,
,,,植物,,100,1,100,5,,500
,,,园艺,,100,1,100,1,,100
,,,小计,,,,,,,600
￥800,￥700,20,其他,30搬家,,,,,,
,,,垃圾桶,卫生间2 厨房1 客厅1 卧室3,100,1,100,7,,700
,,,小计,,,,,,,700
"￥80,200","￥82,167",,合计：,,,,,,,
,,,,,,,,,,
制作：,,,,,,,,,,
时间：,,,,,,,,,,
友情提示：,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。,点击左侧+、-号可以伸缩表格，更便于浏览。（或者点屏幕左上角小方块里的1 2 3小按钮，呵呵，方便吧）。
注意：,"1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。","1、为便于大家理解，表里使用的是100、1000元的模拟数据。你会发现很多不合理的价位，没关系这只是个模板，大家可以根据自己实际情况填写即可。
2、你可以加、减具体装修项目。但最好只修改白底黑字的部分，灰色部分不要随意改动，改了计算公式就不好用了（就是说折后价、小计、合计都是自动计算出来的）。"
