汽车运输公里数-省份,汽车运输公里数-站名,汽车运输公里数-里程,汽车运输公里数-省份.1,汽车运输公里数-站名.1,汽车运输公里数-里程.1,汽车运输公里数-省份.2,汽车运输公里数-站名.2,汽车运输公里数-里程.2,汽车运输公里数-省份.3,汽车运输公里数-站名.3,汽车运输公里数-里程.3,汽车运输公里数-省份.4,汽车运输公里数-站名.4,汽车运输公里数-里程.4
河北,青龙,850.0,辽宁省,本溪,1350.0,山西,平定,340,浙江省,丁桥,1320.0,,,
天津,天津,550.0,辽宁省,大连,1403.0,山西,清徐,440,浙江省,森昌,1480.0,,,
天津,塘沽,600.0,辽宁省,锦州,1040.0,山西,忻州,480,浙江省,平湖,1240.0,海南省,三亚,3500
天津,新港,600.0,辽宁省,公主岭,1503.0,山西,运城,580,浙江省,湖州,1220.0,,,
天津,蓟县,770.0,辽宁省,盘锦,1132.0,山西,霍州,420,浙江省,松阳,1750.0,,,
天津,汉古,630.0,辽宁省,旅顺,1432.0,山西,洪洞,380,浙江省,上虞,1380.0,陕西省,西安,870
天津,玉田,650.0,辽宁省,抚顺,1320.0,山西,永济,650,浙江省,海盐,1410.0,陕西省,榆林,1050
天津,乐亭,740.0,辽宁省,辽阳,1270.0,山西,平遥,470,安徽省,合肥,930.0,陕西省,靖边,1030
天津,北戴河,800.0,辽宁省,葫芦岛,993.0,山西,河津,500,安徽省,马鞍山,980.0,陕西省,韩城,560（810）
,,,辽宁省,抚顺,1320.0,山西,柳林,610,安徽省,蚌埠,850.0,陕西省,安康,1200
,,,辽宁省,铁岭市,1346.0,山西,繁峙,600,安徽省,泰州,1100.0,陕西省,咸阳,900
,,,辽宁省,康平,1390.0,山西,古县,420,安徽省,芜湖,1060.0,陕西省,斜塘,1220
,,,,,,山西,侯马,450,安徽省,安庆,1200.0,,,
河南,郑州,290.0,,,,山西,黎城,100,安徽省,淮北,700.0,宁夏,石嘴山,1716
河南,焦作,340.0,吉林省,长春,1581.0,山西,灵石,460,安徽省,阜阳,700.0,宁夏,银川,1630
河南,平顶山,450.0,吉林省,吉林,1704.0,山西,盂县,400,安徽省,滁州,980.0,宁夏,马莲台,1675
河南,洛阳,430.0,吉林省,四平,1460.0,山西,偏关,820,安徽省,六安,990.0,青海,西宁,1790
河南,新乡,200.0,吉林省,通化,1600.0,山西,路城,115,安徽省,金寨,880.0,甘肃省,兰州,1560
河南,开封,360.0,吉林省,牡丹江,2172.0,山西,宁武,630,安徽省,铜陵,1130.0,甘肃省,酒泉,2295
河南,信阳,600.0,吉林省,北票,1152.0,山西,偏关,820,安徽省,淮南,904.0,甘肃省,嘉峪关,2317
河南,义马,500.0,吉林省,潮阳,1112.0,山西,沁水,290,安徽省,巢湖,966.0,新疆,乌鲁木齐,3570
河南,骡河,440.0,吉林省,盘锦,1132.0,山西,平陆,620,黑龙江,大庆,2040.0,,,
河南,三门峡,590.0,吉林省,旅顺,1432.0,山西,柯岚,720,黑龙江,哈尔滨,1840.0,,,
河南,堰师,380.0,吉林省,白山,1650.0,山西,塑州,630,黑龙江,齐齐哈尔,2170.0,,,
河南,新郑,340.0,吉林省,临江,1720.0,山西,吕梁,589,黑龙江,佳木斯,2226.0,,,
河南,濮阳,230.0,吉林省,辽源,1528.0,山西,朔州,630,黑龙江,大庆,2035.0,,,
河南,南阳,560.0,吉林省,梅河口,1490.0,山西,左权,190,,,,,王凯红 2008月7日,王凯红 2008月7日
