仓库最终盘点表-材料分类,仓库最终盘点表-序号,仓库最终盘点表-材料名称,仓库最终盘点表-规格/型号,仓库最终盘点表-单价,仓库最终盘点表-单位,仓库最终盘点表-数量,仓库最终盘点表-返仓,仓库最终盘点表-使用中,仓库最终盘点表-库存,仓库最终盘点表-金额,仓库最终盘点表-供应商名称,仓库最终盘点表-可调配,仓库最终盘点表-备注
临时用电材料,80,一级机柜,,,个,1,,,1,￥0.00,,,
临时用电材料,81,二级电箱,,,个,42,,,42,￥0.00,,,
临时用电材料,82,电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,22.5,,,22.5,￥0.00,,,
临时用电材料,83,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,21.6,,,21.6,￥0.00,,,
临时用电材料,84,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,40,,,40,￥0.00,,,
临时用电材料,85,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,19,,,19,￥0.00,,,
临时用电材料,86,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,21,,,21,￥0.00,,,
临时用电材料,87,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,64,,,64,￥0.00,,,
临时用电材料,88,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,43,,,43,￥0.00,,,
临时用电材料,89,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,28,,,28,￥0.00,,,
临时用电材料,90,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,17,,,17,￥0.00,,,
临时用电材料,91,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,48,,,48,￥0.00,,,
临时用电材料,92,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,14,,,14,￥0.00,,,
临时用电材料,93,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,37,,,37,￥0.00,,,
临时用电材料,94,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,58,,,58,￥0.00,,,
临时用电材料,95,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,21,,,21,￥0.00,,,
临时用电材料,96,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,22,,,22,￥0.00,,,
临时用电材料,97,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,38,,,38,￥0.00,,,
临时用电材料,98,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,23,,,23,￥0.00,,,
临时用电材料,99,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,15.4,,,15.4,￥0.00,,,
临时用电材料,100,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,30,,,30,￥0.00,,,
临时用电材料,101,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,37,,,37,￥0.00,,,
临时用电材料,102,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,28,,,28,￥0.00,,,
临时用电材料,103,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,15,,,15,￥0.00,,,
临时用电材料,104,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,15,,,15,￥0.00,,,
临时用电材料,105,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,12.5,,,12.5,￥0.00,,,
临时用电材料,106,    电缆（兰州调货除90m²为涪陵项目购买）,4*25mm²+1*16m²,,米,17.5,,,17.5,￥0.00,,,
临时用电材料,107,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,30.6,,,30.6,￥0.00,,,
临时用电材料,108,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,45,,,45,￥0.00,,,
临时用电材料,109,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,19,,,19,￥0.00,,,
临时用电材料,110,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,30,,,30,￥0.00,,,
临时用电材料,111,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,32,,,32,￥0.00,,,
临时用电材料,112,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,33,,,33,￥0.00,,,
临时用电材料,113,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,23,,,23,￥0.00,,,
临时用电材料,114,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,45,,,45,￥0.00,,,
临时用电材料,115,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,37,,,37,￥0.00,,,
临时用电材料,116,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,16,,,16,￥0.00,,,
临时用电材料,117,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,15,,,15,￥0.00,,,
临时用电材料,118,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,33,,,33,￥0.00,,,
临时用电材料,119,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,33,,,33,￥0.00,,,
临时用电材料,120,    电缆（兰州调货除90m²为涪陵项目购买）,4*16mm²+1*10mm²,,米,36,,,36,￥0.00,,,
临时用电材料,121,    电缆（兰州调货除90m²为涪陵项目购买）,4*35mm²+1*25mm²,,米,21,,,21,￥0.00,,,
临时用电材料,122,    电缆（兰州调货除90m²为涪陵项目购买）,4*35mm²+1*25mm²,,米,57,,,57,￥0.00,,,
临时用电材料,123,    电缆（兰州调货除90m²为涪陵项目购买）,4*35mm²+1*25mm²,,米,32,,,32,￥0.00,,,
临时用电材料,124,    电缆（兰州调货除90m²为涪陵项目购买）,4*6mm²+1*4mm²,,米,22.5,,,22.5,￥0.00,,,
临时用电材料,125,    电缆（兰州调货除90m²为涪陵项目购买）,4*6mm²+1*4mm²,,米,32,,,32,￥0.00,,,
临时用电材料,126,    电缆（兰州调货除90m²为涪陵项目购买）,4*90mm²+1*50mm²,,米,50,,,50,￥0.00,,,
临时用电材料,127,    电缆（兰州调货除90m²为涪陵项目购买）,4*70mm²+1*50mm²,,米,12,,,12,￥0.00,,,
临时用电材料,128,    电缆（兰州调货除90m²为涪陵项目购买）,4*70mm²+1*50mm²,,米,33,,,33,￥0.00,,,
临时用电材料,129,    电缆（兰州调货除90m²为涪陵项目购买）,4*50mm²+1*35mm²,,米,24,,,24,￥0.00,,,
临时用电材料,130,    电缆（兰州调货除90m²为涪陵项目购买）,4*50mm²+1*35mm²,,米,15.5,,,15.5,￥0.00,,,
临时用电材料,131,    电缆（兰州调货除90m²为涪陵项目购买）,4*10mm²+1*6mm²,,米,61,,,61,￥0.00,,,
兰州调货材料,132,绿可木,200*2000,,条,7,,,7,￥0.00,,,
兰州调货材料,133,绿可木,200*1200,,条,28,,,28,￥0.00,,,
兰州调货材料,134,暗装安全出口,正向,,个,20,,,20,￥0.00,,,
兰州调货材料,135,化学螺栓配套药水,,,支,400,,,400,￥0.00,,,
兰州调货材料,136,金卤灯灯管,400W,,支,8,,,8,￥0.00,,,
兰州调货材料,137,洗手盆下水,,,个,37,,,37,￥0.00,,,
兰州调货材料,138,安全出口,64*44*25,,个,10,,,10,￥0.00,,,
兰州调货材料,139,筒灯,6寸,,个,7,,,7,￥0.00,,,
兰州调货材料,140,墙纸,10000*700,,卷,10,,,10,￥0.00,,,
兰州调货材料,141,玻纤板,1200mm*600mm,,m²,324,,,324,￥0.00,,,
兰州调货材料,142,膨胀螺丝,120mm*12mm,,颗,2104,,,2104,￥0.00,,,
兰州调货材料,143,膨胀螺丝,80mm*8mm,,个,301,,,301,￥0.00,,,
兰州调货材料,144,膨胀螺丝,100mm*12mm,,个,73,,,73,￥0.00,,,
兰州调货材料,145,膨胀螺丝,100mm*10mm,,个,570,,,570,￥0.00,,,
兰州调货材料,146,自攻螺丝,3.5*￠25,,盒,47,,,47,￥0.00,,,
兰州调货材料,147,铁钉,7.5cm,,kg,12.76,,,12.76,￥0.00,,,
兰州调货材料,148,铁钉,5cm,,kg,45.6,,,45.6,￥0.00,,,
兰州调货材料,149,铁钉,13cm,,kg,20.75,,,20.75,￥0.00,,,
兰州调货材料,150,铁钉,8cm,,kg,13.27,,,13.27,￥0.00,,,
兰州调货材料,151,铁钉,7cm,,kg,16.2,,,16.2,￥0.00,,,
兰州调货材料,152,铁钉,5.5cm,,kg,8.8,,,8.8,￥0.00,,,
兰州调货材料,153,铁钉,6cm,,kg,20.75,,,20.75,￥0.00,,,
兰州调货材料,154,胶膨胀螺钉,7cm,,kg,22.25,,,22.25,￥0.00,,,
兰州调货材料,155,纤维板钉,5*60,,盒,10,,,10,￥0.00,,,
兰州调货材料,156,化学螺栓螺杆,￠14,,颗,171,,,171,￥0.00,,,
兰州调货材料,157,416码钉,,,盒,10,,,10,￥0.00,,,
兰州调货材料,158,F30枪钉,,,盒,19,,,19,￥0.00,,,
兰州调货材料,159,F20枪钉,,,盒,44,,,44,￥0.00,,,
兰州调货材料,160,灭火器,4kg,,个,44,,,44,￥0.00,,,
兰州调货材料,161,瓷砖填缝剂,2kg,,盒,14,,,14,￥0.00,,,
兰州调货材料,162,铝合金靠尺,2米,,支,1,,,1,￥0.00,,,
兰州调货材料,163,红外线经纬仪,,,个,1,,,1,￥0.00,,,
兰州调货材料,164,热熔器,,,台,1,,,1,￥0.00,,,
兰州调货材料,165,气排钉,ST-25,,箱,4,,,4,￥0.00,,,
兰州调货材料,166,木质穿孔吸音板,1200*600,,张,67,,,67,￥0.00,,,
兰州调货材料,167,FC板,1200*600,,张,30,,,30,￥0.00,,,
兰州调货材料,168,软木地板,300*900,,m²,36,,,36,￥0.00,,,
兰州调货材料,169,复合地板,910*123,,m²,13.8,,,13.8,￥0.00,,,
兰州调货材料,170,防火卷帘布,,,卷,25,,,25,￥0.00,,,
兰州调货材料,171,灯盘,1200*300,,个,18,,,18,￥0.00,,,
兰州调货材料,172,三防灯,T5/28W,,个,24,,,24,￥0.00,,,
兰州调货材料,173,T8灯架,,,个,8,,,8,￥0.00,,,
兰州调货材料,174,T8节能灯管,,,支,25,,,25,￥0.00,,,
兰州调货材料,175,T5灯管,35W,,支,25,,,25,￥0.00,,,
兰州调货材料,176,T8灯管,22W,,支,40,,,40,￥0.00,,,
兰州调货材料,177,T5灯具,28W,,套,864,,,864,￥0.00,,,
兰州调货材料,178,T5灯具,21W,,套,72,,,72,￥0.00,,,
兰州调货材料,179,T5灯管,28W,,支,1000,,,1000,￥0.00,,,
兰州调货材料,180,T5灯管,21W,,支,50,,,50,￥0.00,,,
兰州调货材料,181,筒灯,6寸,,个,1,,,1,￥0.00,,,
兰州调货材料,182,T5灯具,14W,,支,144,,,144,￥0.00,,,
保护材料,183,防盗铁丝,,,米,60,,,60,￥0.00,,,
保护材料,184,彩条布,4*25米,,卷,2,,,2,￥0.00,,,
保护材料,185,大棉布,,,kg,60,,,60,￥0.00,,,
总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,"￥248,173.44","￥248,173.44 ","￥248,173.44 ","￥248,173.44 "
总计,总计,总计,总计,总计,总计,总计,总计,总计,总计,"￥248,173.44 ","￥248,173.44 ","￥248,173.44 ","￥248,173.44 "
,,,,,,,,,,,,,
,,仓管员：,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,采购员：,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,项目经理最终审核意见：,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,财务部：,,,,,,,,,,,
