2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,23,,社会存在与社会意识；社会意识的相对独立性
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,39（2）,,辩证否定观
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,39（3）,,一切从实际出发，实事求是；具体问题具体分析
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,价格与供求的关系，生活必需品的需求弹性较小等知识点
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,利润率的计算公式，汇率的知识。
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,对外贸易，中国企业走出去等相关知识点。经济全球化
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,储蓄率，投资与理财，恩格尔系数
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,企业经营成功的因素。
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,,公民与国家关系，公民的政治权利与义务
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,政府依法行政、政府的职能
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,政协的性质，民主监督的对象等知识
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,党的知识，肯定是党的性质、宗旨、领导地位、执政方式等
2013年,2题（选择题1个主观题1问）,14分=4+10,文化生活,20,,文化的作用，文化对人的影响
2013年,2题（选择题1个主观题1问）,14分=4+10,文化生活,39（1）,,文化的载体、中华文化的特点
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,19,,矛盾的知识点
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,21,,意识的能动性
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,22,,唯物史观，人民群众的地位，劳动的重要性
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,23,,唯物辩证法的联系观
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,39（2）,,认识论的知识
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,39（3）,,辩证唯物主义的方法论原则
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,利息的计算
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,影响消费的因素
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,公司经营的有关知识
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,16,,影响财政收入的因素
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,市场经济相关知识
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,15,,处理民族关系的基本原则
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,民主管理的相关知识
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,联合国的相关知识
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,我国政府的职能、责任和依法行政
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,19,,文化交流与传播的相关知识
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,39（1）,,文化创新作用的有关知识；教育创新的作用
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,39（3）,,文化创新的有关知识
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,20,,辩证法及矛盾分析法
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,21,,辩证法的联系观
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,22,,认识的反复性和无限性
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,23,,价值观的导向作用
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,39（2）,,意识的能动作用
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,相关商品价格变动的影响
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,市场配置资源，市场秩序
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,科学的宏观调控
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,汇率变动及其影响
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,财政赤字，财政支出；财政的作用
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,依法治国的意义（热点）
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,政府的职能
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,19,,我国的外交政策
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,为人民服务的政府，人民代表大会制度
2015年,3题（选择题1个主观题2问）,20分=4+12+4,文化生活,20,,社会主义核心价值观
2015年,3题（选择题1个主观题2问）,20分=4+12+4,文化生活,39（1）,,传统文化、社会主义核心价值观
2015年,3题（选择题1个主观题2问）,20分=4+12+4,文化生活,39（3）,,文化的多样性、道德建设
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,16,,社会基本矛盾运动及规律
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,21,,意识的能动作用
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,22,,价值判断和价值选择
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,23,,联系的客观性、多样性
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,39（2）,,真理的客观性、认识的反复性
,,,,,,
,,,,,,
,,,,,,
,,,,,,
年份,题量,分值,内容,题号,,考查内容
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,价值总量的计算，劳动生产率与产量和价值量的关系
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,企业经营知识
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,消费对生产的反作用
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,消费对生产的反作用
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,自主创新意义和措施的考查
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,金属货币与纸币；货币的基本职能
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,市场调节及其弊端；宏观调控；我国政府
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,企业兼并与企业破产
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,国际经济合作
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（1）,,提高效率、促进公平
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,价格与供求的关系，生活必需品的需求弹性较小等知识点
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,利润率的计算公式，汇率的知识。
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,对外贸易，中国企业走出去等相关知识点。经济全球化
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,储蓄率，投资与理财，恩格尔系数
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,企业经营成功的因素。
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,利息的计算
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,影响消费的因素
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,公司经营的有关知识
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,16,,影响财政收入的因素
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,市场经济相关知识
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,利息的计算
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,影响消费的因素
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,公司经营的有关知识
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,16,,影响财政收入的因素
2015年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,市场经济相关知识
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,,公民权利与义务
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,人大代表和人民关系
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,政党知识
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,全国人大代表和全国人大的职权，并引申出其作用
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,,我国公民享有的政治权利
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,中国特色的政党制度
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,中国特色的政党制度
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（2）,,我国政府的主要职能；作用；宗旨和基本原则
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,,公民与国家关系，公民的政治权利与义务
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,政府依法行政、政府的职能
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,政协的性质，民主监督的对象等知识
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,党的知识，肯定是党的性质、宗旨、领导地位、执政方式等
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,15,,处理民族关系的基本原则
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,民主管理的相关知识
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,联合国的相关知识
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,我国政府的职能转变、责任和依法行政
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,依法治国的意义（热点）
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,政府的职能
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,19,,我国的外交政策
2015年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,为人民服务的政府，人民代表大会制度
2011年,1题（主观题2问）,14分=8+6,文化生活,39（2）,,文化对人的影响、文化交流、民族认同感和凝聚力
2011年,1题（主观题2问）,14分=8+6,文化生活,39（3）,,文化发展的措施
2012年,2题（选择题1个主观题1问）,16分=4+12,文化生活,21,,文化多样性的表现；中华文化的包容性
2012年,2题（选择题1个主观题1问）,16分=4+12,文化生活,39（1）,,文化传播的主要途径；影响文化发展的主要因素；文化创新的源泉和动力
2013年,2题（选择题1个主观题1问）,14分=4+10,文化生活,20,,文化的作用，文化对人的影响
2013年,2题（选择题1个主观题1问）,14分=4+10,文化生活,39（1）,,文化的载体、中华文化的特点
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,19,,文化交流与传播的相关知识
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,39（1）,,文化创新作用的有关知识；教育创新的作用
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,39（3）,,文化创新的有关知识
2015年,3题（选择题1个主观题2问）,20分=4+12+4,文化生活,20,,社会主义核心价值观
2015年,3题（选择题1个主观题2问）,20分=4+12+4,文化生活,39（1）,,传统文化、社会主义核心价值观
2015年,3题（选择题1个主观题2问）,20分=4+12+4,文化生活,39（3）,,文化的多样性、道德建设
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,19,,发挥主观能动性与尊重联系客观性的关系
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,20,,认识论
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,21,,发挥主观能动性与敢于实践的问题
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,22,,唯物论关于意识的本质知识，特别是人脑是意识的生理基础的知识
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,23,,唯物辩证法关于矛盾特殊性原理及其方法论意义的知识
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,39（1）,,社会意识的相对独立性
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,19,,意识能动性的表现
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,20,,价值的创造与实现；个人价值与社会价值
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,22,,真理的条件性；认识过程；认识的反复性
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,23,,社会存在与社会意识；社会意识的相对独立性
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,39（2）,,辩证否定观
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,39（3）,,一切从实际出发，实事求是；具体问题具体分析
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,19,,矛盾的知识点
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,21,,意识的能动性
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,22,,唯物史观，人民群众的地位，劳动的重要性
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,23,,唯物辩证法的联系观
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,39（2）,,认识论的知识
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,39（3）,,辩证唯物主义的方法论原则
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,20,,辩证法及矛盾分析法
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,21,,辩证法的联系观
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,22,,认识的反复性和无限性
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,23,,价值观的导向作用
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,39（2）,,意识的能动作用
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,16,,社会基本矛盾运动及规律
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,21,,意识的能动作用
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,22,,价值判断和价值选择
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,23,,联系的客观性、多样性
2015年,5题（选择题4个，主观题1问）,26分=16+10,哲学生活,39（2）,,真理的客观性、认识的反复性
