联营部分商品毛利率-大    类,联营部分商品毛利率-中   类,联营部分商品毛利率-小   类,联营部分商品毛利率-商品毛利率
    干性副食品,雪糕冰,冰淇淋,
    干性副食品,,冰棒,
    干性副食品,,甜筒,13-25
    干性副食品,,其它,
    干性副食品,乳制品,乳酸饮料,10月15日
    干性副食品,,乳牛酸牛油,10月15日
    干性副食品,豆制品,乳酸饮料,12月18日
    干性副食品,,豆奶,12月18日
    干性副食品,,豆浆,15-20
    干性副食品,,其它（豆制品）,12月18日
    干性副食品,蛋,皮蛋,5月12日
    干性副食品,,咸蛋,5月12日
    干性副食品,,其它（蛋）,3月10日
    干性副食品,,,
大     类,中    类,小    类,毛利率%
日用百货,综合容器,水桶,13-18
,,水瓢,13-18
,,水壶,13-18
,,保温桶,13-18
,,塑品保鲜盒,13-18
,,冷水壶,13-18
,,筷篓,13-18
,,调味品罐,13-18
,,密封罐,13-18
,,脸盆,13-18
,,浴盆,13-18
,,肥皂盒,13-18
,,沐浴盒,13-18
,,果盒,13-18
,,牙签取出盒,13-18
,,餐具筒/座,13-18
,,格,13-18
,,烟缸,13-18
,,工具箱,13-18
,,储物柜,
,综合网架,餐具架,13-18
,,餐巾架,13-18
,,刀叉架,13-18
,,毛巾架,13-18
,,牙刷架,13-18
,,卫生纸架,13-18
,,浴帘,13-18
,,浴帘杆,13-18
,,杂物架,13-18
,,鞋架,13-18
,,伸缩竹杆架,13-18
,,储物架,
,综合清洁,滤水,13-18
,,百洁布,13-18
,,清洁刷,13-18
,,保鲜膜,13-18
,,塑料手套,13-18
,,铝铂纸,13-18
,,清洁精,13-18
,,卫浴刷,13-18
,,洗衣板,13-18
,,洗衣网,13-18
,,垃圾桶,13-18
,,扫帚,13-18
,,拖把,13-18
,,垃圾袋,13-18
,,窗刷,13-18
,,抹布/洁具,13-18
,,垃圾铲,
,,清洁器,
大     类,中    类,小    类,
日用百货,调理用品,锅铲,
,,打蛋器,
,,压极器,
,,开瓶器,
,,面杆,
,,漏勺/斗,
,,刷丝器,
,,砧板,
,,钳,
,,水果刀,
,,苹刀,
,餐厅餐具,西餐叉,
,,西餐刀,
,,汤匙,
,,筷,
,,碗,
,,碟,
,,盘,
,,咖啡具,
,,组合餐具,
,,筛,
,杯,磁杯,
,,不锈钢杯,
,,塑品杯,
,,玻璃杯,
,,保温杯,
,,茶杯组,
,,瓷杯,
,,杯盖/架,
,微波炉蒸器具,微波炉盒,
,,微波炉饭煲,
,,微波炉玻璃器皿,
,,微波炉蒸笼,
,,微波炉锅,
,锅具,炒锅,
,,炖锅,
,,压力锅,
,,煎锅,
,,焖烧锅,
,,不沾锅,
,,汤锅,
,,锅盖,
,,高锅,
,,奶锅,
,,多用锅,
,,蒸笼锅,
,,火锅,
,,饭锅,
,,,
大     类,中    类,小    类,毛利率%
日用百货,垫,锅垫,10—15
,,杯垫/盘垫,10—15
,,地垫,10—15
,,浴室垫,10—15
,,桌巾,10—15
,,碟,10—15
,一次性用品,免洗餐具,10—15
,,免洗碗,10—15
,,免洗筷,10—15
,,免洗碟,10—15
,,免洗杯,10—15
,,免洗汤匙,10—15
,,免洗便当盒,10—15
,,吸管,10—15
,衣用器具,汤衣板,10—15
,,衣加,10—15
,,夹,10—15
,,衣叉,10—15
,,塑料凳,10—15
,雨具,雨伞,10—15
,,梳,10—15
,美容美发用具,镜,10—16
,,梳,10—16
,,发/卷,10—16
,园艺,塑发盆,10—16
,,花洒,10—16
,,工具铲/叉,12---16
家    电,小家电,加温器,13-18
,,电动牙刷,13-18
,,电瓶,13-18
,,小家电配件,13-18
,,电风扇,13-18
,厨房电器,电饭锅,13-18
,,电炒锅,13-18
,,电焖烧锅/电炖锅,13-18
,,电咖啡壶,13-18
,,搅拌器,13-18
,,换气扇,13-18
,灯饰电料,插头灯座,13-18
,,门铃,13-18
,,开关,13-18
,,灯泡/灯管,13-18
,,灯饰,13-18
,,电工用具,13-18
,小电讯,电池,13-18
,,其它配件,13-18
,,,
大     类,中    类,小    类,
洗    化,彩妆,化妆笔,18-22
,,化妆盒,
,洁肤用品,洗面,12月16日
,,沐浴露,12月16日
,,漱口水,12月16日
,,牙膏,12月16日
,,牙刷,12月16日
,,刮鬓系列,12月16日
,,皂,
,护肤品,脸部保养品,12月16日
,,手部保养品,12月16日
,,护肤保养品,12月16日
,,防晒用品,12月16日
,,婴儿护肤品,12月16日
,洗衣类清洁用品,洗衣粉,6月10日
,,洗衣皂,6月10日
,,洗精,6月10日
,,漂白水,6月10日
,消耗性纸品,面巾纸,6月10日
,,纸巾,6月10日
,,纸尿布,6月10日
,,卫生纸,6月10日
,,卫生棉,6月10日
,美发用品,定型剂,8月12日
,,护发剂,8月12日
,,染发剂,8月12日
,,头油,8月12日
,,洗发水,8月12日
,化妆棉,化妆棉,8月12日
,,化妆纸,8月12日
,,柔肤巾,8月12日
,清洁用品,地板清洁剂,8月12日
,,玻璃清洁剂,8月12日
,,家俱清洁剂,8月12日
,,浴室清洁剂,8月12日
,,厨房清洁剂,8月12日
,,万用清洁剂,8月12日
,,水管畅通用具,
,芳香剂,空气清香剂,8月12日
,,香水添水剂,8月12日
,,防臭剂,8月12日
大     类,中    类,小    类,毛利率%
洗    化,杀虫剂,杀虫剂类,10月14日
,,蚊香类,10月14日
,,防霉防蛀片,10月14日
,,蟑脑丸,10月14日
,,干燥剂,
,外用保健用品,棉花,10月14日
,,纱布,10月14日
,,胶带,10月14日
,,灭菌,10月14日
,,保险套,10月14日
,美妆器具,双眼皮胶,15-18
,,鼻贴,15-18
,,指甲美容,15-18
,,睫毛,15-18
,,青春棒,15-18
,,眉毛刨,
,皮革保养用品,鞋油,12月15日
,,鞋剂,12月15日
,,鞋刷,12月15日
,香水,瓶装香水,
,,散装香水,15-25
,,汽车用香水,
文化办公用品,办公用品,白板,
,,板架,18-22
,,算盘,
,纸品,贺卡/请柬,
,,影集,
,,复印纸,
,,传真纸,
,,打印纸,18—22
,,纸张,
,,作业本,
,,软/硬抄本/便笺,
,,帐册,
,书画用具,彩色颜料,
,,画笔/毛笔,
,,砚台/墨,18-22
,,宣纸,
,,画板,
,学习用品,书包,
,,铅笔,
,,原子笔/签字笔,
,,钢笔,
,,彩笔,18-22
,,削笔刀/消笔器,
,,尺,
,,笔盒,
,,其它学习用具,
针    纺,男士饰品,领带,20-22
,,领夹,
,针织品,手帕,
,,袜子,16-19
,,文胸,
,,内衣,
,,,
针    纺,女士饰品,丝巾/丝巾扣,
,,胸针,18-23
,,发饰,
,床上用品,床罩,15-18
,,棉被,
,,床单,
,,毛巾被,
,,羽绒被,
,,枕蕊,
,,枕套,
,,床垫,
,,靠垫,
,,被套,
,,毛毯,
,,被面,
,家居针织,毛巾,15-18
,,浴巾,
,,毛线,
,,羊毛地毯,
,,化纤地毯,
,,混纺地毯,
,,窗帘/布幔,
小皮件箱包,箱包,皮箱包,
,,布箱包,16-18
,,合成制品箱包,
,小皮件,票夹,
,,皮带,
,,手套,20-25
,,礼盒,
,,手机套,
,,钥匙包,
,坤包,皮装饰手袋,18-22
,,布装饰手袋,
,,合成制品装饰手袋,
