全国统一安装工程施工仪器仪表台班费用-编码,全国统一安装工程施工仪器仪表台班费用-名称及规格型号,全国统一安装工程施工仪器仪表台班费用-单位,全国统一安装工程施工仪器仪表台班费用-单价
200212542050,标准信号发生器  XB47,台班,15.59
200212542100,标准信号发生器  FC-1,台班,14.82
200212542150,标准信号发生器  XB17,台班,10.76
200212542200,标准信号发生器  XB19,台班,8.68
200212542250,标准信号发生器  XB31,台班,12.21
200212542300,标准信号发生器  XB36,台班,10.76
200212542350,标准信号发生器  YH1301,台班,4.68
200212542400,标准信号发生器  XG-13,台班,8.06
200212542450,厘米波信号发生器  XB39,台班,12.36
200212542500,厘米波信号发生器  XFL-7A,台班,15.67
200212542550,厘米波信号发生器  XW-1,台班,16.5
200212542600,厘米波信号发生器  XFL-6B,台班,11.75
200212542650,射频信号发生器  17A,台班,3.44
200212542700,射频信号发生器  6061A,台班,120.33
200212542750,射频信号发生器  6062A,台班,231.04
200212542800,射频信号发生器  6080A,台班,338.69
200212542850,射频信号发生器  6082A,台班,407.89
200212542900,微波信号发生器  XB23,台班,13.52
200212542950,微波信号发生器  XB33,台班,20.05
200212543000,微波信号发生器  XX19A,台班,6.52
200212543050,微波信号发生器  XX20,台班,4.99
200212543100,微波信号发生器  XX24,台班,14.98
200212543150,微波稳幅信号发生器  XB34A,台班,14.98
200212543200,C波段固体锁相源  E0202,台班,23.44
200212543250,比较信号发生器  NF4602A,台班,4.06
200212543300,立体声信号发生器  MSG-2101,台班,13.75
200212543350,时标信号发生器  NF4601A,台班,4.06
200212543400,梳状波信号发生器  XT-22,台班,4.68
200212543450,智能信号发生器  QF1054,台班,17.28
200212543500,多用信号发生器  NF1034,台班,4.68
200212543550,高压直流发生器  JGF-120C,台班,17.59
200212543600,任意波瑚发生器  QF1021,台班,8.98
200212543650,数字信号发生器  HH1510,台班,4.52
200212543700,数字信号发生器  SDF-1,台班,6.82
200212543750,多功能信号发生器  SDF-Ia,台班,13.29
200212543800,毫伏信号发生器  UJ33a,台班,4.68
200212543850,信号发生器  BCF,台班,4.21
200212543900,信号发生器  GDM-8045,台班,4.16
200212543950,信号发生器  SVI,台班,9.25
200212544000,信号发生器  DFX-1000,台班,13.29
200212544050,音频功率源  YS44F,台班,22.57
200212544100,直流电压电流发生器  2553,台班,26.21
200212544150,直流电压电流发生器  2554,台班,26.21
200212544200,直流电压电流发生器  YJ-53,台班,11.65
200212544250,直流电压电流发生器  YJ87,台班,5.43
200212544300,直流电压电流发生器  YJ-79,台班,8.06
200212544350,直流电压电流发生器  YT-87,台班,8.06
200212544400,直流电压电流发生器  255321-6/F,台班,41.71
200212544450,直流高压发生器  ZGF-200,台班,35.74
200212544500,直流高压发生器  KGF-60/100,台班,13.51
200212544550,扫频信号发生器  QH1331,台班,27.74
200212544600,扫频信号发生器  QH1320,台班,23.44
200212544650,扫频信号发生器  QH1350,台班,11.49
200212544700,扫频信号发生器  QH1350Y2,台班,128.62
200212544750,扫频信号发生器  QH1350Y7,台班,41.58
200212544800,扫频信号发生器  QH1350Y10,台班,81.87
200212544850,扫频信号发生器  QH1350Y12,台班,73.72
200212544900,扫频信号发生器  QH1350Y13,台班,78.18
200212544950,扫频信号发生器  QH5320,台班,7.14
200212545000,扫频信号发生器  AV1361,台班,37.89
200212545050,扫频信号发生器  AV1361Y1,台班,169.52
200212545100,扫频信号发生器  AV1361Y2,台班,71.11
200212545150,扫频信号发生器  AV1361Y3,台班,83.4
200212545200,扫频信号发生器  XS11AM,台班,27.36
200212545250,扫频信号发生器  HP8622A,台班,55.78
200212545300,扫频信号发生器  NW1322,台班,13.44
200212545350,扫频信号发生器  SF-2,台班,8.68
200212545400,扫频信号发生器  MSW-7628,台班,61.12
200212545450,扫频信号发生器  TX1322-D,台班,16.52
200212545500,扫频信号发生器  YW1330/Yz,台班,61.87
200212545550,扫频信号发生器  NW1331,台班,17.28
200212545600,扫频信号发生器  QH1360,台班,239.81
200212545650,微波扫频信号源  DH1322,台班,38.81
200212545700,扫频幅度分析仪  QH3610,台班,50.81
200212545750,频率合成器  6062A,台班,21.59
200212545800,频率合成器  6080,台班,28.05
200212545850,频率合成器  HP3325B,台班,77.27
200212545900,频率综合器  HP8660A,台班,250.1
200212545950,频率综合器  HP8660C,台班,309.78
200212546000,频率综合器  QF1480,台班,56.49
200212546050,频率综合器  HP8671,台班,38.35
200212546100,频率综合器  HP8662,台班,283.32
200212546150,微波频率综合器  HP83732A,台班,354.07
200212546200,频率合成信号发生器  EE1470,台班,44.97
200212546250,频率合成信号发生器  EE1480,台班,61.87
200212546300,频率合成信号发生器  6060B,台班,111.09
200212546350,频率合成信号发生器  HP8672,台班,311.77
200212546400,脉冲信号发生器  NF1511A,台班,5.6
200212546450,脉冲信号发生器  NF1512A,台班,9.59
200212546500,脉冲信号发生器  NF1513A,台班,8.83
200212546550,脉冲信号发生器  NF1513,台班,12.36
200212546600,脉冲信号发生器  NF1515,台班,11.45
200212546650,脉冲信号发生器  NF1516A,台班,5.91
200212546700,脉冲信号发生器  NF1523,台班,12.52
200212546750,脉冲信号发生器  NF1531A,台班,12.36
200212546800,脉冲信号发生器  NF1532A,台班,15.45
200212546850,脉冲信号发生器  NF1533A,台班,31.12
200212546900,脉冲信号发生器  XC-2B,台班,7.65
200212546950,双脉冲信号发生器  XC-42,台班,12.82
200212547000,双脉冲信号发生器  NF1535,台班,11.8
200212547050,双脉冲信号发生器  NF1517,台班,5.91
200212547100,群脉冲信号发生器  HPG8018,台班,3.91
200212547150,脉冲信号源  NF1552,台班,11.45
200212547200,数字脉冲信号发生器  NF1582,台班,15.45
200212547250,延时脉冲信号发生器  NF1581,台班,18.83
200212547300,程控脉冲信号发生器  NF1524,台班,10.52
200212547350,方波信号发生器  NF4603,台班,4.06
200212547400,方波信号发生器  NF4604,台班,4.06
200212547450,函数信号发生器  NF1641,台班,10.21
200212547500,函数信号发生器  CFG813,台班,13.9
200212547550,函数信号发生器  NF1642,台班,4.68
200212547600,函数信号发生器  NF1633,台班,14.21
200212547650,函数信号发生器  FG513,台班,10.82
200212547700,函数信号发生器  8112,台班,4.68
200212547750,函数信号发生器  FG6002,台班,3.44
200212547800,函数信号发生器  XD19,台班,4.99
200212547850,函数波形发生器  GFG8016G,台班,4.18
200212547900,函数信号发生器  GFG-8050,台班,6.29
200212547950,函数信号发生器  EE1641A,台班,4.21
200212548000,函数信号发生器  GFG-8019G,台班,5.29
200212548050,函数信号发生器  YY1631,台班,7.9
200212548100,函数/任意波发生器  HP33120A,台班,30.73
200212548150,脉冲函数信号发生器  PD1630,台班,29.59
200212548200,函数信号发生器  WAVETEK,台班,224.27
200212548250,噪声源  PCC3002,台班,3.44
200212548300,函数信号发生器  EM1642,台班,9.3
200212548350,多功能函数发生器  PM5B8,台班,50.17
200212548400,噪声信号发生器  AS1661,台班,4.99
200212548450,噪声信号发生器  XZ-1,台班,3.6
200212548500,固态噪声发生器  XZ-2,台班,3.49
200212548550,固态噪声发生器  DH456A,台班,6.82
200212548600,数字噪声发生器  DH456B,台班,7.83
200212548650,同轴噪声发生器  DH455,台班,5.75
200212548700,同轴噪声发生器  XZ22A,台班,4.83
200212548750,波导噪声发生器  XZ22A,台班,4.52
200212548800,波导噪声发生器  XZ4,台班,4.21
200212548850,波导噪声发生器  XZ24,台班,4.21
200212548900,波导噪声发生器  XZ23,台班,4.21
200212548950,波导噪声发生器  XZ23A,台班,4.21
200212549000,波导噪声发生器（头）  DH1661,台班,6.13
200212549050,波导噪声发生器（头）  DH1671,台班,5.98
200212549100,标准噪声发生器  XZ25,台班,15.75
200212549150,标准噪声发生器  DH1662,台班,9.59
200212549200,标准噪声发生器  DH1663,台班,8.06
200212549250,标准噪声发生器  8mm波段,台班,10.37
200212549300,标准噪声发生器  5mm波段,台班,12.68
200212549350,合成信号发生器  HP8647A,台班,78.36
200212549400,合成信号发生器  HP8648A,台班,90.15
200212549450,合成信号发生器  HP8648B,台班,119.69
200212549500,合成信号发生器  HP8648C,台班,146.98
200212549550,微波信号源  HP8672A,台班,507.84
200212549600,扫频信号发生器  HP83752A,台班,292.55
200212550050,直流电源  HP-E3610,台班,7.14
200212550100,直流稳压电源  HT711H,台班,5.04
200212550150,直流稳压电源  JH1711,台班,3.26
200212550200,直流稳压电源  PAC35-3,台班,8.28
200212550250,直流稳压电源  YJA V/T,台班,17.5
200212550300,直流稳压稳流电源  WYK-6005,台班,28.12
200212550350,直流稳压稳流电源  WYK-6030,台班,12.54
200212550400,直流稳压稳流电源  WYK-630,台班,5.91
200212550450,双输出直流电源  HP-E3620A,台班,10.68
200212550500,三路直流电源  HP-3630A,台班,10.68
200212550550,晶体管直流稳压电源  WYJ-5040,台班,13.5
200212550600,晶体管直流稳压电源  MYJ-1A,台班,6.72
200212550650,稳压电源  YJ49,台班,6.02
200212550700,DC/DC变换稳压电源  HT-1751C-5,台班,5.66
200212550750,高稳直流高压电源  YJ85-86,台班,9.5
200212550800,交流稳压电源  JH1741/05,台班,9.66
200212550850,交流稳压电源  ZT17100/05,台班,7.81
200212550900,交流稳压电源  JH1741/02,台班,5.35
200212550950,交流稳压电源  JH1741/03,台班,7.04
200212551000,交流稳压电源  JH1741/04,台班,8.42
200212551050,交流稳压电源  JH1741/06,台班,15.5
200212551100,交流稳压电源  JH1741/10,台班,14.12
200212551150,交流稳压电源  JH1700/01,台班,4.43
200212551200,交流稳压电源  JH1700/03,台班,6.37
200212551250,三相交流稳压电源  JSWY-C,台班,15.04
200212551300,精密交流稳压电源  KJW-3000VA,台班,6.59
200212551350,精密交直流稳压电源  SB861,台班,44.87
200212551400,能量分配式净化电源  SJW-1500,台班,14.89
200212551450,变频变流电源  YS-173,台班,29.65
200212551500,变频变压试验电源  YY1741,台班,9.97
200212551550,不间断电源  UPS600VA,台班,9.66
200212551600,不间断电源  UPS1000,台班,38.88
200212551650,不间断电源  UPS1000VA,台班,14.28
200212551700,不间断电源  UPS3000VA,台班,58.56
200212551750,不间断电源  UPS500VA,台班,4.28
200212551800,高精度可编程电源  PPS-10710,台班,8.12
200212551850,高精度可编程电源  PPS-1326,台班,8.42
200212551900,工频变频电源,台班,8.0
200212560050,数字电压表  BY1942,台班,6.1
200212560100,数字电压表  DS31,台班,12.55
200212560150,数字电压表  7081,台班,123.12
200212560200,数字电压表  7150P,台班,3.17
200212560250,数字电压表  8050A,台班,7.79
200212560300,数字电压表  8520,台班,15.48
200212560350,数字万用表  7151,台班,29.94
200212560400,数字电压表  DS26A,台班,8.41
200212560450,数字电压表  PZ38 精度0.03，0～10～1000mV,台班,4.72
200212560500,数字电压表  PZ38 精度0.03，0～0.2～1000mV,台班,6.55
200212560550,数字电压表  PZ36,台班,10.86
200212560600,数字万用表  F-87,台班,5.48
200212560650,数字万用表  HP-34401,台班,20.09
200212560700,数字万用表  HP-34401A,台班,17.54
200212560750,数字万用表  HP-34420A,台班,56.13
200212560800,数字万用表  DT930F,台班,3.55
200212560850,数字万用表  DM8145A,台班,19.26
200212560900,数字万用表  45E,台班,13.94
200212560950,数字万用表  UP3468A,台班,96.13
200212561000,数字万用表  FLUKE45,台班,12.41
200212561050,万用表  MF-47,台班,5.48
200212561100,数字万用表  756201,台班,22.85
200212561150,数字万用表  75420107W,台班,10.84
200212561200,数字万用表  754301,台班,10.1
200212561250,数字万用表  753403,台班,3.17
200212561300,数字万用表  PM2518102,台班,7.11
200212561350,数字电压表  TR6878,台班,94.07
200212561400,数字万用表  PS-56,台班,3.73
200212561450,数字多用表  DS14-1,台班,12.35
200212561500,数字多用表  DS14-2,台班,11.96
200212561550,数字多用表  DF11,台班,6.75
200212561600,数字三用表  2506A-21,台班,12.48
200212561650,数字三用表  BX840D,台班,13.76
200212561700,手持万用表  HP-971A,台班,3.5
200212561750,手持万用表  HP-972A,台班,4.46
200212561800,手持万用表  HP-973A,台班,5.11
200212561850,手持万用表  HP-974A,台班,6.55
200212561900,手持万用表  HP-E2373A,台班,1.8
200212561950,毫伏表  4520,台班,5.17
200212562000,毫伏表  VT-171,台班,5.48
200212562050,双针毫伏表  MV3201B,台班,4.63
200212562100,标准毫伏表  C41-MA,台班,5.06
200212562150,超高频毫伏表  AS2271,台班,3.79
200212562200,晶体管毫安表  DA-16,台班,4.62
200212562250,直流电位差计  UJ-36,台班,3.17
200212562300,电位差计  UJ-23,台班,3.94
200212562350,交直流电压表  JDS-Ⅰ,台班,5.29
200212562400,交直流数字电压表  YBS-BⅡ,台班,10.86
200212562450,有效值电压表  HP3403,台班,26.25
200212562500,峰值电压表  HB1940,台班,7.49
200212562550,直流数字电压表  Pz126,台班,5.34
200212562600,真正有效值电压表  DA24,台班,4.15
200212562650,直流数字电压表  DZ-8,台班,8.71
200212562700,精密电压电流表  7651017,台班,30.34
200212562750,精密电压电流表  2554,台班,26.86
200212570050,小功率计  GX2B,台班,7.03
200212570100,小功率计  GX13D,台班,11.42
200212570150,小功率计  GX12M1,台班,7.83
200212570200,小功率计  GLX-11C,台班,5.41
200212570250,微波小功率计  SD2412,台班,8.37
200212570300,微波小功率计  GX12A-D,台班,8.37
200212570350,微波小功率计  GX13A,台班,7.3
200212570400,毫微瓦小功率计  GH2411,台班,16.27
200212570450,中功率计  SX-1000,台班,4.97
200212570500,中功率计  GH2441,台班,12.59
200212570550,中功率计  GH2442,台班,10.35
200212570600,中功率计  GLZ-1,台班,4.07
200212570650,中功率计  GZT-1,台班,5.23
200212570700,中功率计  GZ-3,台班,4.07
200212570750,中功率计  GZ-21,台班,4.88
200212570800,中功率计  HP436B,台班,71.34
200212570850,中功率计  GH2462,台班,8.92
200212570900,双向定功率计  GD-11,台班,122.48
200212570950,大功率计  GH2461,台班,6.67
200212571000,大功率计  GD-9,台班,33.94
200212571050,大功率计  SD2460,台班,17.52
200212571100,大功率计  SD2461,台班,12.49
200212571150,超高频大功率计  GLCD-2,台班,6.22
200212571200,同轴大功率计  SD2466,台班,13.93
200212571250,微波大功率计  SD2462,台班,19.86
200212571300,通用式功率计  BHD43,台班,8.55
200212571350,高频功率计  81000A,台班,5.15
200212571400,微波功率计  ML4803A,台班,71.34
200212571450,微波功率计  ML9003A,台班,71.34
200212571500,同轴功率座  GX12M30G,台班,5.61
200212571550,同轴功率座  GX12M30D,台班,5.05
200212571600,波导型功率座  GX12M4,台班,4.07
200212571650,波导型功率座  GX12M7,台班,4.07
200212571700,激光功率座  OPM1-2B,台班,10.53
200212571750,瓦特表  D34-W,台班,4.25
200212580050,场强仪  APM32OH,台班,14.33
200212580100,场强仪  AMP,台班,68.41
200212580150,场强仪  APMP742,台班,53.16
200212580200,场强仪  LFC-944D,台班,10.46
200212580250,场强仪  LFC951,台班,27.14
200212580300,场强仪  PD5311A,台班,5.43
200212580350,场强仪  PD5312,台班,10.28
200212580400,场强仪  RR3A,台班,11.17
200212580450,场强仪  7100S,台班,17.27
200212580500,场强仪  LFC-945,台班,15.13
200212580550,场强测试仪  APM521H,台班,15.66
200212580600,场强测试仪  APM742TXT,台班,68.41
200212580650,场强测试仪  RC11B,台班,7.23
200212580700,射频场强试  PD5312A,台班,10.28
200212580750,电视场强计  NW3940,台班,4.18
200212580800,场强仪  LFC-9400D,台班,24.45
200212580850,干扰场强仪  TC-40,台班,7.76
200212590050,漏电流测试仪  QE-2621,台班,6.27
200212590100,漏电流测试仪  QE2623,台班,4.61
200212590150,漏电流测试仪  QE-2625,台班,5.51
200212590200,数字式微电阻测量仪  YY2513,台班,7.66
200212590250,电容测量仪  3502,台班,109.93
200212590300,标准电容电容箱  ZX25a,台班,6.37
200212590350,电感测量仪  3510,台班,105.63
200212590400,精密电感分析仪  YY2810,台班,105.63
200212590450,数字电感测量仪  YY2772,台班,5.3
200212590500,精密元件分析仪  YY2815,台班,97.01
200212590550,LCR测试仪  3520,台班,95.5
200212590600,LCR电表  HP-4263A,台班,98.47
200212590650,LCR测试仪  3530,台班,240.61
200212590700,自动LCR测量仪  ZL6,台班,6.8
200212590750,LCR数字自动测试仪  LCR5100,台班,38.56
200212590800,便携式直流电桥  QJ-23,台班,4.44
200212590850,电桥  YY2814,台班,18.21
200212590900,交流电桥  QS1,台班,12.3
200212590950,电桥（超高频导纳）  CD4C,台班,8.31
200212591000,电桥（导纳）  CD6,台班,11.54
200212591050,电桥（高频阻抗）  CD5,台班,10.03
200212591100,惠斯顿电桥  2768,台班,33.58
200212591150,凯尔文电桥  2752,台班,41.01
200212591200,精密万用电桥  CD9A,台班,5.3
200212591250,精密万用电桥  LCR745,台班,20.47
200212591300,数字电桥  LCR-8501,台班,10.25
200212591350,单、双倍两用电桥  QJ32,台班,4.44
200212591400,半导体管特性图示仪  GH4821,台班,8.7
200212591450,半导体管自动测试仪  YO5300-1,台班,56.11
200212591500,半导体管综合测试仪  SL1001A,台班,127.15
200212591550,场效应管跨导测试仪  QC-13,台班,6.58
200212591600,大功率管热阻测试仪  JYS2984,台班,81.94
200212591650,晶体管特性图示仪  QT2,台班,10.31
200212591700,晶体管图示仪  GH4821,台班,10.69
200212591750,晶体管图示仪  JT-1G,台班,7.02
200212591800,晶体管图示仪  XJ-4810,台班,12.62
200212591850,晶体管图示仪校正器  GH2051,台班,9.39
200212591900,晶体频率分选器  CY3010,台班,5.51
200212591950,三极管开关测试仪  JYS2961,台班,21.66
200212592000,晶体管图示仪  4828,台班,11.32
200212592050,半导体器件测试单元  GH2911M2,台班,15.63
200212592100,晶体管图示仪  BT4830,台班,31.78
200212592150,可控硅最佳参数测试仪  DT-1,台班,126.72
200212592200,集成电路测试仪  ICT-33,台班,10.57
200212592250,集成电路测试仪  ICT-750,台班,57.19
200212592300,集成电路测试仪  IST-5700D2,台班,23.38
200212592350,集成电路测试仪  IST-5700D4,台班,60.41
200212592400,集成电路测试仪  LST-5700C,台班,31.35
200212592450,集成电路测试仪  T3000,台班,81.94
200212592500,集成电路测试单元  GH2911M1,台班,32.42
200212592550,集成电路测试仪  GH3111G,台班,16.45
200212592600,集成电路测试仪  GH3123A,台班,129.31
200212592650,集成电路测试仪  GH3182,台班,42.75
200212592700,集成电路测试仪  GUT-6000,台班,29.19
200212592750,集成电路测试仪  ICT-7-ICGH,台班,53.95
200212592800,集成电路测试仪  IST-370,台班,11.76
200212592850,集成电路测试仪  QL-2,台班,14.55
200212592900,集成电路测试仪  QTICT-33,台班,10.25
200212592950,集成电路测试仪  QTIST-750,台班,51.8
200212593000,集成电路测试仪  XJ3110,台班,11.76
200212593050,集成电路测试仪  YB3111,台班,6.55
200212593100,集成电路测试仪  YB3112,台班,13.05
200212593150,集成电路测试仪系统  STS101B,台班,232.64
200212593200,集成电路动态测试仪  ICT-33,台班,12.4
200212593250,集成电路在线测试仪  BW2040EX,台班,148.68
200212593300,集成电路在线测试仪  BW4040EX,台班,185.27
200212593350,集成电路自动测试仪  GH3181A,台班,17.94
200212593400,集成稳压电路测试仪  GH2911M3,台班,18.43
200212593450,数字集成电路测试仪  ICM-101,台班,6.57
200212593500,逻辑电路测试仪  IST5700Cd4,台班,85.81
200212593550,逻辑电路测试仪  QTIST-5700,台班,28.55
200212593600,在线测试仪  EE839,台班,10.89
200212600050,频率计  SF8500,台班,5.7
200212600100,频率计  XH3373A,台班,3.92
200212600150,频率计  PB-1,台班,23.35
200212600200,频率计  BX-14A,台班,23.29
200212600250,频率计  PS72,台班,7.51
200212600300,频率计  PC-5,台班,4.28
200212600350,频率计  PS43,台班,10.2
200212600400,数字频率计  EE3382,台班,3.92
200212600450,数字频率计  PS-30,台班,8.4
200212600500,数字频率计  FC-1000,台班,4.64
200212600550,数字频率计  YM3371,台班,3.92
200212600600,数字频率计  HP5340,台班,145.66
200212600650,数字频率计  SAMPO CN31,台班,14.68
200212600700,数显频率发生器  HP33120A,台班,41.6
200212600750,外差式频率计  PW10,台班,6.6
200212600800,相位频率计  704-3,台班,12.53
200212600850,智能频率计  GFC-8130G,台班,6.6
200212600900,专用频率计  HP-53181A,台班,31.04
200212600950,通用计数器  E312A,台班,8.83
200212601000,通用计数器  E324A,台班,10.02
200212601050,频率计数器  E324A,台班,9.3
200212601100,通用计数器  E325A,台班,14.33
200212601150,通用计数器  HP-53131A,台班,35.75
200212601200,通用计数器  HP-53132A,台班,51.57
200212601250,通用计数器  E327A,台班,16.3
200212601300,通用计数器  PS74A,台班,6.78
200212601350,通用计数器  PS74B,台班,47.88
200212601400,通用计数器  PS75,台班,11.09
200212601450,通用计数器  PS77,台班,16.3
200212601500,时间计数器  EE3571,台班,5.71
200212601550,时间计数器  EE3572,台班,32.62
200212601600,频率计数器  BP11A,台班,5.71
200212601650,频率计数器  EE3373B,台班,3.92
200212601700,频率校验器  1072-22,台班,17.19
200212601750,频率发生计数器  1070,台班,29.93
200212601800,通用智能计数器  SS7201,台班,10.74
200212601850,智能化通用计数器  AS3341,台班,12.17
200212601900,便携式计时器  TM2,台班,33.16
200212601950,时间间隔测定仪  PT1A,台班,7.74
200212602000,标准时钟  PO15,台班,6.6
200212602050,频标对比器  EE3591,台班,22.75
200212602100,精密测时器  EE3570,台班,21.86
200212602150,微波频率计  XL3260,台班,97.21
200212602200,微波频率计  XL3400,台班,151.04
200212602250,微波频率计数器  EE3382,台班,29.93
200212602300,微波频率计数器  EE3382B,台班,57.74
200212602350,微波频率计数器  EE3382A,台班,45.18
200212602400,微波频率计数器  EE3383,台班,63.12
200212602450,微波频率计数器  EE3384,台班,72.1
200212602500,微波频率计数器  EE3391,台班,81.07
200212602550,自动微波频率计数器  DH3382,台班,66.71
200212602600,数字式工频频率计  PP17,台班,12.89
200212602650,同轴直读式频率计  PX12,台班,5.26
200212602700,同轴直读式频率计  PX13,台班,5.89
200212602750,波导直读式频率计  PX14,台班,4.55
200212602800,波导直读式频率计  PX15,台班,4.55
200212602850,波导直读式频率计  PX16,台班,4.55
200212602900,多功能计数器  NFC-1000,台班,3.92
200212602950,多功能计数器  NFC-1500,台班,5.36
200212603000,多功能计数器  NFC-3000,台班,10.74
200212603050,等精度计数器  PM6665-036,台班,4.64
200212603100,脉冲记数器  PM6665/036,台班,41.83
200212603150,脉冲记数器  PM6666,台班,41.83
200212603200,通用计时/计数器  R-D9515,台班,10.2
200212603250,可程控通用计数器  EE3364,台班,25.45
200212603300,可程控通用计数器  EE3376,台班,12.53
200212603350,微波频率转换装置  E3251,台班,8.04
200212603400,微波频率转换装置  E3252,台班,10.74
200212603450,微波频率转换装置  E3253,台班,12.53
200212603500,微波频率转换装置  E3254,台班,16.12
200212603550,微波频率转换装置  E3255,台班,17.91
200212603600,高解析度频率计  CN3165,台班,3.92
200212603650,微波频率测量扩展器  PK4,台班,21.86
200212603700,毫赫计数器  XH3321A,台班,13.97
200212603750,频率频稳测试仪  XH43591,台班,34.24
200212603800,多路频稳测试装置  EE3592,台班,170.77
200212603850,8cm波长表  DX12904,台班,152.82
200212603900,同轴波长表  DH3250,台班,5.08
200212603950,宽带同轴波长表  PX6,台班,3.92
200212610050,光导介损测量仪,台班,32.62
200212610100,智能光时域反射计  AV3661,台班,198.4
200212610150,智能光时域反射计  AV3661A,台班,211.31
200212610200,光时域反射计  NW910C,台班,180.09
200212610250,光时域反射计  QSS01,台班,172.57
200212610300,光时域反射计  MG9001A,台班,43.82
200212610350,光时域反射计  HP8146A,台班,732.32
200212610400,光时域反射计  MW9040B,台班,641.9
200212610450,LD光源  AV38121,台班,28.31
200212610500,LD光源  AV38122,台班,30.47
200212610550,宽带光波源  AV29111,台班,32.62
200212610600,光信号源  MG9801A,台班,357.71
200212610650,手持式光信号源  MG927A,台班,62.77
200212610700,稳定光源  MG9001A,台班,43.82
200212610750,光功率计  GH2491,台班,9.16
200212610800,光功率计  ML9001A,台班,73.75
200212610850,智能光功率计  AV2494,台班,16.48
200212610900,智能光功率计  AV2495,台班,17.34
200212610950,数字激光功率计  GD12,台班,15.62
200212611000,光学经纬仪  THEO-010,台班,25.24
200212611050,手持光损耗测试仪  MS9020A,台班,26.17
200212611100,手持式光纤多用表  AV2496,台班,16.48
200212611150,分光光度表  721,台班,5.07
200212611200,光纤测试仪  FTM120-03,台班,329.51
200212611250,光纤切割器  AV33011,台班,22.72
200212611300,光栅分光光度计  722,台班,6.51
200212611350,紫外可见分光光度计  M750,台班,22.93
200212611400,紫外可见分光光度计  M8500,台班,97.21
200212611450,光谱分析仪  ML9001A,台班,749.55
200212611500,光纤融接机  TYPE-35,台班,387.85
200212611550,光纤熔接机  AV33119,台班,183.33
200212611600,红外测距仪  DCH2,台班,64.48
200212611650,宽带光波接收机  AV29112,台班,32.62
200212611700,扫描电子显微镜  KYKY-1000B,台班,775.38
200212611750,光电转速表  DT-2234A,台班,3.34
200212620050,频率特性测试仪  BT3C,台班,4.9
200212620100,频率特性测试仪  BT3CU,台班,9.92
200212620150,频率特性测试仪  BT-3W,台班,5.26
200212620200,频率特性测试仪  BT-24A,台班,8.84
200212620250,频率特性测试仪  BT-3CF,台班,4.8
200212620300,频率特性测试仪  BT-3H,台班,5.92
200212620350,频率特性测试仪  BT-3B,台班,4.8
200212620400,频率特性测试仪  BT3C-UHF,台班,9.92
200212620450,频率特性测试仪  BT-22A,台班,10.1
200212620500,频率特性测试仪  BT-22H,台班,12.01
200212620550,频率特性测试仪  TX1250,台班,4.72
200212620600,频率特性测量仪  ZWY-1256,台班,42.93
200212620650,低频频率特性测试仪  NM1232,台班,13.68
200212620700,扫频仪  HP8622A,台班,290.92
200212620750,扫频仪  HP8620C,台班,290.92
200212620800,高频扫频仪  BT5A,台班,4.67
200212620850,扫频发生器  JH310,台班,8.34
