附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-层次-层次,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-截面-截面,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-内力-内力,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SGK-SGK,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SQK-SQK,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SWK左-SWK左,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SWK右-SWK右,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SEK左-SEK左,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SEK右-SEK右,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.4SW-左风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.4SW-右风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.0SGK+1.4*SW-左风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.0SGK+1.4*SW-右风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.26(SQK+SWK)-左风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.26(SQK+SWK)-右风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.2（SGK+0.5SQK）+1.3SEK]-左震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.2（SGK+0.5SQK）+1.3SEK]-右震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.0（SGK+0.5SQK）+1.3SEK]-左震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.0（SGK+0.5SQK）+1.3SEK]-右震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.35SGK+1.4*(0.7*SQK+0.6*Swk)-左,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.35SGK+1.4*(0.7*SQK+0.6*Swk)-右,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.4SQK-1.2SGK+1.4SQK,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-|Mmax|-N,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-Nmin-M,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-Nmax-M
注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。
                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。,                 注：表中M以左侧受拉为正，单位为kN.m，N以受压为正，单位为kN，计算地震荷载时活荷载为雪荷载。计算弯矩时γRE=0.75，计算柱的轴力时当轴压比<0.15时γRE=0.75，当轴压比  0.15时γRE=0.8。
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合
附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合,附表3   框架柱C弯矩和轴力组合
层次,截面,内力,SGK,SQK,SWK左,SWK右,SEK左,SEK右,1.2SGK+1.4SW,1.2SGK+1.4SW,1.0SGK+1.4*SW,1.0SGK+1.4*SW,1.2SGK+1.26(SQK+SWK),1.2SGK+1.26(SQK+SWK),γRE[1.2（SGK+0.5SQK）+1.3SEK],γRE[1.2（SGK+0.5SQK）+1.3SEK],γRE[1.0（SGK+0.5SQK）+1.3SEK],γRE[1.0（SGK+0.5SQK）+1.3SEK],1.35SGK+1.4*(0.7*SQK+ 0.6*Swk),1.35SGK+1.4*(0.7*SQK+ 0.6*Swk),1.2SGK+1.4SQK,|Mmax|,Nmin,Nmax
层次,截面,内力,SGK,SQK,SWK左,SWK右,SEK左,SEK右,左风,右风,左风,右风,左风,右风,左震,右震,左震,右震,左,右,1.2SGK+1.4SQK,N,M,M
4,柱顶,M,-53.85,-8.94,8.67,-8.33,102.66,-106.56,-52.47,-76.27,-41.7,-65.5,-64.95,-86.38,47.61,-156.38,56.35,-147.63,-74.79,-89.08,-77.14,-156.38,-89.08,56.35
4,柱顶,N,-163.23,-10.56,1.8,-1.65,15.51,-16.94,-193.36,-198.19,-160.72,-165.55,-206.92,-211.26,-136.54,-168.18,-111.27,-142.9,-229.94,-232.84,-210.66,168.18,-232.84,-111.27
4,柱底,M,48.92,10.43,-4.58,4.25,-62.72,66.21,52.3,64.66,42.51,54.87,66.08,77.2,-12.43,113.28,-20.55,105.16,73.15,80.57,73.31,113.28,80.57,-20.55
4,柱底,N,-185.73,-10.56,1.8,-1.65,15.51,-16.94,-220.36,-225.19,-183.22,-188.05,-233.92,-238.26,-156.79,-188.43,-128.14,-159.77,-260.31,-263.21,-237.66,-188.43,-260.31,-128.14
3,柱顶,M,-51.78,-12.82,16.1,-15.8,164.59,-170.1,-39.59,-84.25,-29.24,-73.89,-58.01,-98.2,108.1,-218.22,116.83,-209.49,-69.84,-96.64,-80.09,-218.22,-96.64,116.83
3,柱顶,N,-341.16,-37.57,1.81,-1.44,6.98,-11.39,-406.85,-411.41,-338.62,-343.18,-454.45,-458.55,-317.14,-335.05,-263.15,-281.06,-498.49,-501.23,-461.99,-335.05,-501.23,-263.15
3,柱底,M,51.78,12.3,-75.79,11.64,-139.79,145.43,-43.97,78.43,-54.33,68.07,-17.86,92.3,-84.15,193.94,-92.84,185.25,19.16,92.6,79.36,193.94,92.6,-92.84
3,柱底,N,-363.66,-37.57,1.81,-1.44,6.98,-11.39,-433.85,-438.41,-361.12,-365.68,-481.45,-485.55,-337.39,-355.3,-280.03,-297.94,-528.87,-531.6,-488.99,-355.3,-531.6,-280.03
2,柱顶,M,-48.74,-11.58,22.39,-22.91,194.71,-202.22,-27.15,-90.56,-17.4,-80.81,-44.88,-101.95,140.76,-246.25,148.94,-238.07,-59.16,-97.21,-74.71,-246.25,-59.16,-238.07
2,柱顶,N,-518.67,-64.52,-0.31,0.82,-17.8,9.1,-622.83,-621.25,-519.1,-517.52,-704.08,-702.66,-513.19,-486.96,-430.55,-404.32,-768.21,-767.26,-712.73,-486.96,-768.21,-404.32
2,柱底,M,54.38,12.17,-21.68,22.27,-208.7,217.8,34.91,96.44,24.04,85.56,53.28,108.65,-149.06,266.78,-158.13,257.71,67.99,104.9,82.3,266.78,67.99,257.71
2,柱底,N,-541.17,-64.52,-0.31,0.82,-17.8,9.1,-649.83,-648.25,-541.6,-540.02,-731.08,-729.66,-533.44,-507.21,-447.42,-421.2,-798.58,-797.63,-739.73,-507.21,-798.58,-421.2
1,柱顶,M,-33.26,-7.51,28.85,-31.66,218.32,-226.57,0.47,-84.24,7.12,-77.59,-13.04,-89.28,179.54,-254.23,185.1,-248.67,-28.57,-79.39,-50.44,-254.23,-28.57,-248.67
1,柱顶,N,-695.58,-90.68,-9.02,8.18,-84.85,69.68,-847.31,-823.24,-708.2,-684.12,-960.31,-938.64,-749.55,-598.89,-638.42,-487.75,-1041.82,-1027.37,-961.65,-598.89,-1041.82,-487.75
1,柱底,M,17.88,4.26,-47.74,50.67,-385.47,395.87,-45.39,92.4,-48.96,88.82,-33.33,90.67,-357.82,403.98,-360.82,400.98,-11.49,71.18,27.43,403.98,-11.49,400.98
1,柱底,N,-726.83,-90.68,-9.02,8.18,-84.85,69.68,-884.81,-860.74,-739.45,-715.37,-997.81,-976.14,-777.68,-627.02,-661.85,-511.19,-1084.01,-1069.56,-999.15,-627.02,-1084.01,-511.19
