商品编号,商品名称,本期销量,实际销售
758560.0,精品五花肉（C）,5.526,217.54
399336.0,花生米(C),9.946,213.12
127304.0,鸡小腿,9.85,211.9
373872.0,精品五花肉,5.636,211.4
900896.0,湘佳仔水鸭（C）,9.722,208.67
125756.0,冬瓜,135.674,204.45
900907.0,湘佳鲜丝乌鸡（C）,5.702,202.3
648148.0,单晶冰糖（C）,14.526,201.67
757718.0,精品玉米(C),19.978,197.01
695515.0,紫菜100g（C）,34.0,197.2
908458.0,老南沟粮食蛋15枚,13.0,193.33
639082.0,小笼包（C）,10.9,189.86
679814.0,麒麟西瓜rrl(C),32.592,187.0
679819.0,圣女小番茄(C),13.498,186.8
513701.0,菠萝蜜肉(C),3.138,186.4
361366.0,元宝蛋糕（人人乐）,4.362,182.0
125763.0,土豆,34.334,181.43
440333.0,榴莲肉(C),1.646,180.6
772044.0,冻去头虾(C),5.388,180.6
375341.0,优质后上肉,6.68,180.5
429259.0,中墨鱼(C),0.638,176.0
904569.0,里程牌湘西腊肉,2.938,175.1
351765.0,蜜梨(C),17.524,173.7
772023.0,小鳝鱼(C),2.4,171.7
412049.0,优质龙骨,6.464,167.3
757713.0,精品银针菇(C),11.996,165.56
911784.0,广益康五花肉(C),3.952,164.61
772005.0,黄鸭叫(C),4.87,162.21
821755.0,鸟王散装皮蛋,116.0,162.13
324122.0,鳊鱼(C),8.264,161.5
360222.0,爱情白面包,27.0,159.07
648181.0,红糖（C）,11.726,158.43
803478.0,馄饨(Ｃ),4.726,158.1
704795.0,新疆肉枣(C),5.02,157.7
641795.0,骨肉相连(生配菜),3.57,156.1
348308.0,黄豆(C),19.67,154.8
199353.0,精品蒜头,8.736,151.91
517550.0,生日蛋糕8寸,2.0,152.0
900905.0,湘佳鲜青脚鸡（C）,4.8,151.2
346112.0,贡梨(C),19.064,150.68
772536.0,精品栗子红栗(C),21.278,150.45
131264.0,海带(C),5.926,150.57
731877.0,黑椒烤鸡（C）,17.0,149.6
636260.0,鲈鱼（C）,2.882,147.59
691320.0,益元八珍粉（C）,1.0,148.0
632401.0,淮山绿茶粉（C）,0.004,147.2
639272.0,小花片(C),7.556,146.56
86822.0,核桃酥,11.016,143.94
621300.0,水晶虾皮(C),1.818,143.89
354429.0,黑豆(C),6.042,141.78
648156.0,腐竹（C）,5.104,140.1
696060.0,肋排（C）,2.402,138.1
213365.0,牛蛙(C),12.656,138.1
632388.0,熟南瓜子（C),0.856,136.4
689195.0,冰糕kg(C),6.946,135.6
803477.0,饺子(Ｃ),3.998,134.0
89092.0,排骨,3.992,133.9
346096.0,红蛇果(C),3.03,132.0
40782.0,红豆吐司,22.0,129.5
679846.0,早春红玉(C),13.02,129.3
757714.0,精品小青椒(C),13.11,128.96
260440.0,散装蛋糕,6.034,128.8
648956.0,精品子姜,9.144,126.46
658830.0,葱花卷1(C),139.0,125.03
324171.0,鱿鱼干(C),1.612,124.8
82040.0,鸡翅根,4.526,124.4
70499.0,莲藕,24.158,123.17
648199.0,面粉（C）,20.862,122.88
633206.0,油条(C),81.0,121.5
289227.0,青蛇果(C),2.78,121.1
632399.0,熟葛根（C),0.872,119.9
900908.0,湘佳鲜黄油土鸡（C）,4.284,117.54
447700.0,椰奶包,28.0,117.6
246496.0,葱花肉松卷,0.047,117.5
440691.0,神丹好土鸡蛋15枚,5.0,109.5
648218.0,特级香菇（C）,1.126,112.0
829327.0,芝麻花卷（C）,0.124,111.6
768793.0,卤鸭掌（C),0.111,110.85
700440.0,荞麦窝窝头（C),4.354,110.9
706756.0,糯米粉 （C）,11.598,110.6
878341.0,蜜豆吐司,17.0,110.5
731834.0,猪肚（C）,1.852,110.2
743554.0,神丹10枚开窝保洁蛋,10.0,109.0
417889.0,枣子糕,0.016,108.8
632382.0,熟核桃（C),0.55,108.7
658834.0,凉粉1（C,31.0,108.35
499043.0,山竹(C),1.816,108.0
648236.0,玉米渣（C）,13.114,105.78
272695.0,汉堡坯,22.0,105.6
726448.0,进口柠檬（C）,30.0,104.94
884247.0,烟村精品五花（C）,2.096,104.8
682067.0,整条吐司,16.0,104.0
904226.0,湘佳鸡肾（C）,2.596,101.8
645659.0,营养粉（C）,3.7,101.6
816844.0,孜然牛肉丝（C),1.382,101.5
638249.0,精品荷兰豆(C),4.234,100.72
622614.0,烤鸭（C）,0.006,100.8
878770.0,白豆腐（C）,50.0,99.79
830315.0,溢湘斋组合大礼盒礼盒,4.0,99.2
125730.0,通心菜,8.964,99.2
130483.0,四季豆,14.028,98.54
749286.0,天然无核贡枣480g（C),2.0,96.12
878767.0,平字香干(C),98.0,97.89
66708.0,肋排,2.908,97.6
210990.0,半边鸭,8.158,97.4
412046.0,优质梅肉,2.704,96.9
632384.0,熟淮山粉（C）,0.606,96.5
273312.0,哈雷蛋糕,6.724,96.4
878757.0,柴火干（C）,3.858,96.0
757719.0,精品黄瓜(C),9.654,95.22
768223.0,精品瘦肉（C）,2.426,94.6
878741.0,银洲米粉(C),17.148,94.5
82087.0,猪肝,4.856,91.86
641793.0,调味鸡翅根（C),2.746,91.9
884238.0,烟村家猪瘦肉（C）,1.892,90.5
773332.0,卤半边鸭(C),3.542,90.3
757711.0,精品蒜头(C),5.058,89.9
448600.0,皇帝蕉(C),5.108,88.91
348287.0,八宝粥(C),10.056,89.7
784715.0,圣迪乐谷物蛋20枚,3.0,89.7
648227.0,雪耳（C）,0.748,88.46
632394.0,熟芝麻粉（C）,1.308,88.1
451284.0,椰子(C),11.0,88.0
731882.0,炸鸡块（C）,0.011,87.8
412045.0,优质瘦肉,2.752,87.2
379395.0,精碎肉,3.192,87.0
787463.0,熟酸枣仁（C),3.0,86.4
446969.0,黄牛肉(C),0.914,85.2
658825.0,现做烤饼（C）,34.0,84.95
431841.0,花牛苹果(C),4.344,84.9
731670.0,卤牛肚（C）,1.058,83.26
294934.0,碎蛋糕,0.042,83.62
431864.0,黄金梨(C),4.772,83.9
920312.0,精品里程牌餐粒肠,1.506,83.5
632383.0,多谷粉（C）,1.434,82.5
635952.0,优质猪大肠,2.094,82.5
637055.0,桥米（JD）,11.536,82.3
87579.0,鸡全翅,2.19,82.1
125736.0,生菜,21.292,81.66
830299.0,溢湘斋绿豆糕礼盒200g,9.0,80.1
37459.0,星星小炸包,80.0,80.0
787957.0,烤鸡小腿（C）,21.0,79.8
446549.0,料理面包系列,53.0,79.29
621005.0,香辣手撕鸡（C）,9.0,79.2
679805.0,弥猴桃(C),5.652,78.6
768222.0,精品里脊肉（C）,2.044,78.4
694814.0,手工粉(C),12.018,78.0
272070.0,精品玉米,26.0,77.89
772056.0,干海带球(C),1.484,76.0
639085.0,烧麦（C）,4.316,75.55
337680.0,蓝莓慕斯,11.0,74.8
656413.0,云耳（C）,0.752,74.6
125739.0,汗菜,6.2,73.5
669777.0,虎皮凤爪(C),1.958,73.3
757715.0,精品红柿椒(C),6.17,72.8
354518.0,饺子皮(C),8.17,72.5
346184.0,进口红提(C),1.216,72.4
787522.0,炸鸡小腿（C）,19.0,72.2
917905.0,特级水晶红富士80#,4.098,71.53
70467.0,淮山,10.054,71.2
353529.0,夏橙(C),8.938,70.9
830283.0,溢湘斋袋装灯芯糕250g,9.0,70.2
782940.0,炸中翅（C）,28.0,70.0
639315.0,八字酥(C),3.204,69.3
648948.0,精品青尖椒,5.834,69.2
447718.0,菠萝面包,10.0,69.0
757712.0,精品秀珍菇(C),5.014,68.97
900891.0,湘佳鲜土著黄鸡（C）,2.052,68.8
655070.0,瘦肉（C）,2.174,68.5
632386.0,熟茯苓（C),0.428,68.3
772016.0,百弄火焙鱼(C),0.566,67.5
34148.0,豆沙辫包,15.0,67.5
196612.0,精制前腿(生配菜),1.904,67.4
377820.0,丰水梨(C),3.82,66.26
757720.0,精品茄子(C),5.654,66.4
645757.0,黑芝麻（C）,2.252,66.2
632385.0,熟红枣（C),0.414,66.0
220329.0,神丹无铅鸭皮蛋12枚,3.0,65.7
647818.0,糯米鸡(C),13.0,65.0
272001.0,精品青瓜,5.47,65.0
125733.0,上海青,33.598,64.9
638248.0,精品四季豆(C),5.008,64.15
758559.0,精品前腿肉（C）,1.81,64.1
684380.0,南北特法饼,40.0,64.0
878742.0,沈师傅鸡蛋干(C),13.0,63.7
821293.0,精品水晶红富士85#（C),4.71,63.5
576709.0,老面黑米馒头(C),0.042,62.64
830282.0,溢湘斋袋装黑白焦切250g,8.0,62.4
125751.0,芹菜,20.358,62.16
214671.0,肉松排包,9.0,62.1
431768.0,永春芦柑(C),10.466,61.7
772070.0,高级虾皮(C),1.306,61.7
771998.0,圣干(C),0.286,61.7
312891.0,鸭掌A,3.136,61.1
900906.0,湘佳鲜土黑母鸡（C）,1.464,60.8
648217.0,特级木耳（C）,0.51,60.8
639278.0,黑、白焦切(C),2.808,60.51
900904.0,湘佳鲜鸡精肉（C）,1.46,60.4
641796.0,川味鸡柳(生配菜),1.672,59.9
729270.0,卤猪肚(C),0.702,59.9
830314.0,溢湘斋六合一礼盒礼盒,3.0,59.4
69461.0,鸟王松花鸭皮蛋405g（6+3）,3.0,59.4
639110.0,浪味仙（C）,2.166,59.2
911785.0,广益康瘦肉(C),1.104,59.2
651973.0,干海带结(C),0.828,59.0
729269.0,卤猪耳尖(C),0.69,58.8
471543.0,奇异果(C),12.0,58.8
681485.0,鲜肉包（C）,0.039,58.5
122846.0,全麦方包,9.0,58.5
66312.0,果冻,15.0,58.5
70469.0,线椒,9.112,58.2
878764.0,湘中酱菜（C）,2.284,58.1
362398.0,调理面包,58.0,58.0
125773.0,白萝卜,29.92,58.0
426105.0,牛腩(C),0.83,57.6
909043.0,乐之鲜红枣（新疆若羌）,0.6,57.5
655067.0,前腿肉（C）,2.084,57.3
70486.0,长豆角,9.69,56.9
878758.0,乡里腊干(C),2.932,56.8
768225.0,精品筒子骨（C）,2.406,56.7
816862.0,调味豆角（C),4.444,56.66
272042.0,精品线椒,4.784,56.6
125745.0,甜白菜,11.11,56.0
816854.0,香芋地瓜丸（C),2.382,56.0
195478.0,精品红尖椒,4.658,55.2
904573.0,里程牌粒粒肠,1.268,55.2
757726.0,精品蟹味菇(C),11.0,54.85
911782.0,广益康前腿肉(C),1.198,54.8
904559.0,里程麻辣川味香肠,0.834,54.6
768231.0,精品熟大肠（C）,1.25,54.3
122884.0,迷你蛋糕,5.0,54.0
125746.0,韭菜,6.868,53.6
816846.0,金玉满堂（C),2.496,53.36
213389.0,土龙虾(C),2.086,53.3
669592.0,百合粥(C),2.976,52.6
668717.0,精品大白菜(C),13.364,52.3
731810.0,肉馅（C）,2.428,52.3
850763.0,蕨菜折价,0.026,52.0
911759.0,广益康雪花肉(C),0.96,51.7
207196.0,精品土豆,6.548,51.5
884237.0,烟村家猪前腿肉（C）,1.044,51.5
768236.0,猪舌头（C）,1.248,51.3
346114.0,金桔(C),2.614,51.0
654222.0,南京盐水鸭(C),1.228,50.8
904572.0,里程牌鲜肉香肠,0.732,50.7
125732.0,小白菜,9.954,50.6
234158.0,海椒面,0.884,50.6
772041.0,冻田螺肉(C),1.284,50.5
456459.0,神丹鲜鹌鹑蛋24枚,4.0,50.4
623619.0,鸡蛋卷（C),20.0,50.0
779266.0,鸭锁骨,2.79,49.8
514165.0,神丹鸟王蟹黄咸鸭蛋9枚,2.0,49.6
39390.0,神丹油黄咸鸭蛋(熟),16.0,49.6
487689.0,芝士条,11.0,49.34
668766.0,精品茭头(C),3.518,48.7
816849.0,调味糍粑鱼（C),1.564,48.4
122588.0,长白菜,8.172,48.2
639105.0,葱油饼（C）,2.758,48.2
639194.0,玉米粒（C),3.356,48.1
272004.0,精品小红椒,2.462,47.58
196616.0,精制后腿(生配菜),1.36,47.5
639043.0,凉拌素菜（C),2.442,47.5
729236.0,卤猪头肉(C),1.262,47.3
412051.0,优质猪肝,1.606,47.02
159414.0,椰香餐包,8.0,47.2
632404.0,多谷粗纤粉（C）,1.492,46.9
130775.0,冬寒菜,3.336,46.2
911771.0,广益康猪心(C),1.056,46.2
324169.0,八爪鱼(C),772.0,45.9
122633.0,白菜心,7.854,45.76
32790.0,毛毛虫面包,13.0,45.5
920311.0,精品里程牌粒粒肠,0.636,45.4
442841.0,桂鱼（C）,0.456,45.4
707707.0,卤鸭肠（C）,1.222,45.02
677515.0,精品生姜(C),4.63,45.24
196609.0,精制猪扒(生配菜),1.264,45.2
487692.0,豆沙卷,10.0,44.57
695420.0,冰鲜桂鱼（C）,0.562,44.7
655076.0,猪肝（C）,1.426,44.6
272037.0,精品荷兰豆,1.724,44.35
15527.0,鸡胸肉,1.718,43.7
788072.0,脆皮花生（C）,1.486,43.6
878750.0,素捆鸡（C）,2.256,43.53
884246.0,烟村小里脊肉（C）,0.706,43.3
911793.0,广益康排骨(C),0.674,43.1
147819.0,黑茄子,3.622,42.72
788071.0,烤鸭腿（C）,6.0,42.15
645739.0,红米（C）,3.71,42.6
648177.0,红薯粉（宽）（C）,2.418,42.5
122596.0,生葱,5.513,42.5
272035.0,精品四季豆,2.732,42.3
196610.0,精制瘦肉(生配菜),1.13,42.2
696243.0,中带鱼（C）,0.71,42.2
638277.0,精品鲜木耳(C),4.33,41.9
638262.0,精品茶树菇(C),1.92,41.67
757723.0,精品朝天椒(C),2.114,41.7
768226.0,精品龙骨（C）,1.512,41.6
673853.0,猪心（C）,1.056,41.3
731833.0,猪腰（C）,0.742,41.11
817765.0,湘味香肠,0.542,40.9
757725.0,精品高山娃娃菜(C),0.006,40.8
128173.0,牛油蛋糕,7.0,40.6
18160.0,肉松条,9.0,40.5
632402.0,熟芡实（C),0.254,40.5
632397.0,熟杏仁粉（C）,0.254,40.5
878751.0,利利平油豆腐(C),1.686,40.0
749313.0,红颜豆沙红豆500g（C),2.0,39.8
639298.0,清凉糕(C),2.272,39.8
749290.0,沙漠枣300g（C),2.0,39.8
679798.0,黄元帅(C),2.028,39.6
126447.0,红尖椒,6.83,39.49
652307.0,精品去皮芋头,4.09,39.4
830296.0,溢湘斋袋装法饼100g,26.0,39.0
681483.0,传统发糕（C）,2.514,38.9
126259.0,鸭肾,1.034,38.8
150781.0,腊肥肠,0.226,38.7
488163.0,雪莲果(C),2.784,38.36
884236.0,烟村家猪后腿肉（C）,0.754,38.7
256530.0,神丹鸟王初产鸡蛋9枚,3.0,29.7
911786.0,广益康里脊肉(C),0.702,37.7
272040.0,精品西兰花,2.376,37.6
125750.0,蒜苔,4.798,37.5
707704.0,卤鸭锁骨（C）,0.025,37.5
772012.0,刨盐鱼(C),2.096,36.7
668752.0,精品苦瓜(C),3.074,36.5
772033.0,有头小黄鱼(C),2.626,36.5
639667.0,桃酥（C）,2.066,36.4
878743.0,猪血豆腐（C）,13.0,36.4
884232.0,烟村精品猪肚（C）,0.458,36.4
155264.0,神丹鸟王熟咸鸭蛋1枚,14.0,36.4
829326.0,糖包（C）,0.03,36.0
639114.0,软麻花（C）,1.854,35.9
685828.0,冻大带鱼段（C）,1.406,35.9
638246.0,精品莲藕(C),3.012,35.8
253275.0,吉士餐包,6.0,35.4
638259.0,精品丝瓜(C),2.544,35.2
878768.0,优质大香干(C),2.072,35.0
638273.0,精品青尖椒(C),3.57,35.0
772017.0,油香火焙鱼(C),0.588,34.9
911768.0,广益康优质前腿肉(C),0.762,34.8
272039.0,精品丝瓜,1.748,34.5
251406.0,小豆沙槟,5.0,34.5
94041.0,枸杞(C),0.286,34.2
451138.0,杨桃(C),1.02,33.8
227146.0,燕麦米(C),3.252,34.0
655071.0,里脊肉（C）,1.08,34.0
668722.0,精品小红尖椒(C),2.654,34.0
878771.0,盐豆腐(C),1.742,33.6
632403.0,熟枸杞（C),0.21,33.5
151589.0,金南瓜,2.802,33.5
899315.0,九香居黑芝麻油220ml(C),2.0,33.2
82100.0,猪肘,1.276,33.1
672568.0,冻秋刀鱼（C）,1.294,33.0
638260.0,精品芋头(C),3.468,32.9
907881.0,精制铜锣烧（C）,1.112,32.8
884249.0,烟村精品肋排（C）,0.486,32.8
700081.0,精品独蒜头(C),0.992,32.6
878753.0,素百叶（C）,1.682,32.38
122875.0,橄榄蛋糕,13.0,32.48
773323.0,卤猪脚(C),0.864,32.4
639270.0,辣锅巴(C),1.87,32.4
632400.0,熟什锦粉（C）,0.002,31.6
638306.0,精品花菜(C),3.196,31.5
773330.0,酱板鱼(C),588.0,31.4
866045.0,大自然榨菜头(408g）,8.0,31.2
39269.0,鸡翅尖,1.058,31.2
878745.0,小香干（C）,1.862,31.2
668711.0,精品韭黄(C),1.308,31.1
669593.0,大红枣（C）,0.314,30.9
125749.0,香菜,2.878,30.8
757730.0,精品青豆仁(C),2.238,30.8
878765.0,酱菜系列（C）,1.444,30.8
759105.0,白云豆（C）,1.994,30.8
832758.0,精品日本小青瓜,2.228,30.8
648947.0,精品蒜仁,2.614,30.7
638282.0,精品西兰花(C),2.378,30.5
195488.0,精品红萝卜,4.698,30.3
772054.0,宽叶海带(C),0.59,30.3
694813.0,馄饨皮(C),3.38,30.1
648208.0,乔麦（C）,1.7,30.1
620994.0,卤猪耳朵（C）,0.558,29.8
574894.0,血糯米500g（C）,2.0,29.8
272057.0,精品西红柿,2.998,29.6
253272.0,椰子豆沙包,7.0,29.4
682065.0,红豆多拿滋,7.0,29.22
632406.0,熟山楂（C),0.003,29.4
757707.0,精品水笋(C),1.86,29.02
641799.0,调味鱼丸（C),0.988,29.2
639522.0,卤捆鸡(C),0.386,29.1
683786.0,卤鸡蛋,29.0,29.0
648175.0,红片糖（C）,1.844,28.9
679796.0,黄圣女果(C),1.824,28.8
83788.0,蒜苗,4.558,28.7
899324.0,九香居黑芝麻油400ml(C),1.0,28.6
632387.0,熟薏米（C),0.36,28.6
89546.0,卤鸭翅(C),0.019,28.5
348052.0,黄花菜(C),0.496,28.4
731862.0,排骨（C）,0.544,28.0
82870.0,神丹咸鸭蛋6枚,2.0,27.8
125780.0,荷兰豆,2.012,27.68
920313.0,精品里程麻辣川味香肠,0.35,27.7
759315.0,农户农家土鸡蛋8枚,2.0,27.6
908457.0,老南沟粮食蛋,1.39,27.4
638292.0,精品蒜苔(C),1.984,27.4
216100.0,墨西哥餐包,7.0,27.3
272010.0,精品冬瓜,4.596,27.1
149566.0,绿豆芽,6.972,26.91
313215.0,蓝莓蛋糕,6.0,26.73
272002.0,精品大红椒,2.27,26.8
830301.0,溢湘斋香芋糕礼盒200g,3.0,26.7
830305.0,溢湘斋灯芯糕礼盒200g,3.0,26.7
617143.0,圣迪乐谷物蛋,1.218,26.2
94040.0,八角(C),0.45,25.7
771461.0,红花椒(C),0.146,25.6
122609.0,京苞菜,6.582,25.6
645715.0,西米（C）,1.456,25.5
766613.0,精品齐心白(C),3.238,25.5
668713.0,精品上海青(C),2.568,25.4
661704.0,蛇皮果(C),0.318,25.2
435113.0,糯小米(C),2.188,25.1
757716.0,精品大苞菜(C),4.258,25.0
638286.0,精品西红柿(C),2.53,24.89
39389.0,神丹松花鸭皮蛋8枚,1.0,24.9
638247.0,精品长豆角(C),2.11,24.9
700467.0,烧卖（C),1.42,24.8
816858.0,调味田螺肉（C),0.594,24.6
880621.0,圣迪乐绿色蛋20枚,1.0,24.6
857348.0,老舵泡青椒(200g),5.0,24.5
729262.0,扣肉(C),618.0,24.02
884248.0,烟村带肉筒子骨（C）,0.492,24.4
639666.0,胡椒饼（C）,1.378,24.3
668750.0,精品白玉菇(C),0.005,24.0
658828.0,菜包（C）,20.0,24.0
878759.0,卤干（C）,0.828,23.8
125784.0,莴笋,7.642,23.7
639675.0,八字酥（C）,1.338,23.7
211682.0,精品大苞菜,4.03,23.7
348051.0,桂皮(C),0.548,23.6
757734.0,精品韭花(C),0.596,23.6
731324.0,炸三鲜丸子(C),1.102,23.5
18156.0,虎皮卷,3.0,23.4
189412.0,提子餐包,6.0,23.4
387817.0,精品绿豆,1.718,23.2
125742.0,大苞菜,13.364,23.0
758558.0,精品后腿肉（C）,0.648,22.9
757722.0,精品红苞菜(C),2.89,22.8
639643.0,麻枣（C）,0.964,22.8
272003.0,精品青椒,2.9,22.8
884229.0,烟村精品龙骨（C）,0.546,22.7
639115.0,马拉糕（C）,1.924,22.7
819073.0,黑森林蛋糕(盒),5.0,22.5
370791.0,鲜果切块,5.0,22.5
695516.0,紫菜60g（C）,8.0,22.4
757729.0,精品雪里红(C),1.246,22.3
194830.0,玉米窝窝头(C),1.274,22.2
354527.0,碱面(C),2.492,22.2
648142.0,熟糙米（C),1.878,22.0
239359.0,干海椒,0.558,21.9
574879.0,白玉糯米500g（C）,2.0,21.8
82866.0,神丹鹌鹑皮蛋12枚,2.0,21.6
878744.0,猪血丸子（C）,3.0,21.6
904570.0,里程牌湖南腊肉,0.266,21.1
641783.0,调味鱿鱼（C),0.42,21.0
399338.0,绿豆(C),1.814,20.9
440694.0,神丹生咸鸭蛋8枚,1.0,20.8
161821.0,椰香条,3.0,20.7
900903.0,湘佳鸭肾（C）,0.524,20.7
901506.0,提子条,3.0,20.7
122618.0,大红椒,3.58,20.59
272006.0,精品南瓜,2.978,20.5
684042.0,西施肉松蛋糕,0.003,20.4
26562.0,瑞士卷,3.0,20.14
294924.0,彩条瑞士卷,3.0,20.4
272041.0,精品苦瓜,1.462,20.1
90950.0,开口笑,0.002,20.0
638268.0,精品日本小青瓜(C),1.432,19.8
272038.0,精品花菜,2.468,19.4
648158.0,干荔枝（C）,0.486,19.2
857350.0,老舵泡酸菜(300g),4.0,19.2
633599.0,火锅丸（C）,0.652,19.2
11013.0,黄豆芽,6.306,19.1
911794.0,广益康龙骨(C),0.532,19.1
24506.0,精品西芹,1.592,19.0
648235.0,玉米片（C）,2.0,19.0
772031.0,冻小带鱼段(C),1.346,18.7
648136.0,白沙糖（C）,2.02,18.7
622593.0,盐水鸭肝（C）,0.726,18.4
241632.0,圣迪乐绿色蛋,0.96,18.1
648234.0,玉米粒（C）,1.564,18.1
772058.0,紫菜20g(C),15.0,18.0
850633.0,脐橙折价,0.009,18.0
639107.0,蒸饺（C）,0.704,17.9
830302.0,溢湘斋板栗糕礼盒200g,2.0,17.8
830306.0,溢湘斋麻香糕礼盒200g,2.0,17.8
757706.0,精品西葫芦(C),2.242,17.7
918620.0,A级中香菇,0.206,17.6
641813.0,川味鸡肫片（C),0.47,17.6
652309.0,精品独蒜头,0.55,17.4
904224.0,湘佳鲜鸡翅（C）,0.49,17.3
900899.0,湘佳鸭肠（C）,0.678,17.3
816851.0,调味草鱼肚（C),0.546,17.1
669591.0,小麦（C),2.22,17.1
320149.0,大芋头,1.87,17.1
70497.0,南瓜,4.34,16.8
648180.0,红薯粉皮（C）,0.86,16.7
40783.0,肉松吐司,3.0,16.5
772024.0,中鳝鱼(C),0.32,16.5
772051.0,散装火锅丸(C),0.49,16.3
911790.0,广益康肉丸(C),0.482,16.3
69460.0,神丹鸟王蟹黄咸鸭蛋6枚,1.0,15.9
195493.0,精品韭菜花,0.364,15.9
731450.0,水磨汤圆粉500g（C）,2.0,15.5
872232.0,天山蜜枣,1.0,15.8
830281.0,溢湘斋袋装牛皮糖250g,2.0,15.6
645759.0,百合50g（C）,2.0,15.6
706776.0,白糖250g（C）,4.0,15.6
487681.0,意式比萨,4.0,15.6
70475.0,西芹,2.652,15.6
130169.0,折耳根,1.284,15.0
495563.0,麻花(C),0.694,15.0
679817.0,沙田柚(0.75-1kg)(C),1.884,14.9
648211.0,散装龙口粉（C）,1.49,14.8
679845.0,腰芒果(C),0.846,14.8
81974.0,韭黄,0.84,14.8
132619.0,孜然(C),0.246,14.6
878754.0,米豆腐（C）,3.734,14.6
656451.0,虾片（C）,1.096,14.6
125734.0,菜芯,1.184,14.1
