危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-序号-序号-序号,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-活动、场所或设施--1,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-危险源--2,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-伤害类别--3,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-可能性L--4,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-频繁程度E--5,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-后果C--6,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-危险等级D--7,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-危险程度--8,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-时态--9,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-状态（10）,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-控制措施--11,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-备注--12
16,机车部件润滑,机车地沟,摔伤,1,0.5,1,稍有危险,一般,现在,异常,禁止跨越地沟、并设警示标志,
17,道口栏门开放和关闭,车辆抢越,碰撞,1,0.5,1,稍有危险,一般,将来,异常,选择安全位置站立,
18,道口栏门警示灯电线,线路破损漏电,触电,1,0.5,1,稍有危险,一般,现在,异常,按时检修、定期更换,
19,道岔转撤器信号电线,线路破损漏电,触电,1,0.5,1,稍有危险,一般,过去,异常,按时检修、定期更换,
20,检查车辆、线路,邻线机车车辆移动,撞挂,1,10,3,"一般危险,需要注意",一般,将来,紧急,一看、二确认、三通行,
21,检查车辆,钻车,碾压,1,10,3,"一般危险,需要注意",一般,将来,紧急,作业人员严禁钻车,
22,横过线路,未确认机车车辆动态安全距离不够,撞伤,1,10,3,"一般危险,需要注意",一般,将来,紧急,确认机车车辆暂不移动、从距车辆5M处快速通过,
23,顺着线路行走,在枕木头、尖轨上行走,撞伤、扎伤,1,10,3,"一般危险,需要注意",一般,将来,紧急,顺线路行走、严禁在枕木头、尖轨上行走，应在两线路中间行走,
24,立岗防护,侵线,挂倒摔伤,1,0.5,1,稍有危险,一般,现在,紧急,站立在安全线以外,
25,紧人力制动机,用力过猛、失去平衡,坠落摔伤,1,0.5,1,稍有危险,一般,现在,紧急,抓紧蹬稳、保持平衡,
26,松人力制动机,闸链紧绷、转盘飞速旋转,甩伤、坠落,1,0.5,1,稍有危险,一般,现在,紧急,抓紧蹬稳,
27,传、接货票、单据,侵线,碰撞摔伤,1,0.5,1,稍有危险,一般,将来,异常,站立在安全线以外,
28,摘、接风管,双脚进入道心,夹伤,1,0.5,1,稍有危险,一般,将来,异常,严禁双脚进入道心、红灯锁闭后，单腿进入,
29,摘、接风管,带风作业,打伤,1,0.5,1,稍有危险,一般,将来,异常,红灯锁闭后，关闭两端折角塞门,
30,调整钩位,进入钩档车列移动,夹伤,1,0.5,1,稍有危险,一般,将来,异常,红灯锁闭后进入钩档,
31,车列通过高站台,站立位置过低,挤压,1,10,3,"一般危险,需要注意",一般,现在,异常,站立高于站台的阶梯上,
32,调车作业,迎面上车,摔伤,1,10,3,"一般危险,需要注意",一般,现在,正常,严禁迎面上车,
33,调车作业,反面下车,摔伤,1,10,3,"一般危险,需要注意",一般,现在,正常,严禁反面下车,
34,调车作业,别腿上下车,摔伤,1,10,3,"一般危险,需要注意",一般,现在,异常,严禁别腿上下车,
35,调车作业,警冲标导线、道岔等障碍物区域上下车,拌倒摔伤,1,10,3,"一般危险,需要注意",一般,现在,异常,严禁在该区域上下车，非要上下车时，停上停下,
36,雨、雪天调车,不良天气,滑倒摔伤,1,10,3,"一般危险,需要注意",一般,现在,异常,停上停下,
37,接发列车,运行中未抓紧蹬稳,坠落摔伤,1,10,3,"一般危险,需要注意",一般,将来,紧急,佩带安全带,
38,调动平板车辆,脚蹬鱼腹形架时踩空,摔伤,1,10,3,"一般危险,需要注意",一般,现在,紧急,严禁脚蹬鱼腹形架,
39,钢轨上、车辆、车底下,坐卧、休息,撞压,1,10,3,"一般危险,需要注意",一般,现在,异常,作业人员严禁在钢轨上、车辆、车底下坐卧、休息,
40,非调车人员,扒乘机车，以车代步,摔伤,1,10,3,"一般危险,需要注意",一般,现在,异常,非调车人员严禁扒乘机车，以车代步,
编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日,编制：                    审核：                      批准：                       时间：    年  月  日
填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；,填表说明：(1)如设备维护、汽车驾驶、工作现场等；(2)如开关无闸盖，楼梯夜间无照明等；(3)如机械伤害、触电、火灾、爆炸；
(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、,(4)(5)(6)(7)按D=LEC；(8)重要、一般；(9)过去、现在、将来；(10)正常、异常、紧急；(11)应急预案、运行控制、方案控制、
个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。,个人防护具体措施等。
