区分-区分-区分,区分-区分-区分.1,区分-区分-区分.2,2014年8月生产情况-1-五,2014年8月生产情况-2-六,2014年8月生产情况-3-日,2014年8月生产情况-4-一,2014年8月生产情况-5-二,2014年8月生产情况-6-三,2014年8月生产情况-7-四,2014年8月生产情况-8-五,2014年8月生产情况-9-六,2014年8月生产情况-10-日,2014年8月生产情况-11-一,2014年8月生产情况-12-二,2014年8月生产情况-13-三,2014年8月生产情况-14-四,2014年8月生产情况-15-五,2014年8月生产情况-16-六,2014年8月生产情况-17-日,2014年8月生产情况-18-一,2014年8月生产情况-19-二,2014年8月生产情况-20-三,2014年8月生产情况-21-四,2014年8月生产情况-22-五,2014年8月生产情况-23-六,2014年8月生产情况-24-日,2014年8月生产情况-25-一,2014年8月生产情况-26-二,2014年8月生产情况-27-三,2014年8月生产情况-28-四,2014年8月生产情况-29-五,2014年8月生产情况-30-六,31-日,合计-合计-合计
自制件当前库存,L00240081,倒档主齿,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,
自制件当前库存,L00240074,五档齿毂,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,3064.0,
自制件当前库存,L00241010,三四齿套,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,
自制件当前库存,L00241008,二档轴套,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
自制件当前库存,L00240050,输入轴,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,
自制件当前库存,L00240001,输出轴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
自制件当前库存,L00240040,变速器壳体,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,
自制件当前库存,L00310003,差速器壳体,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,
自制件当前库存,L00242001,离合器壳体,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,
自制件当前库存,L00210035,三档被齿,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,
自制件当前库存,L00240055,四档被齿,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,
自制件当前库存,L00240060,一二齿套,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,
自制件当前库存,L00240065,倒档齿套,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,
自制件当前库存,L00241018,五挡齿套,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,
自制件当前库存,L00241029,主减齿轮,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,
自制件当前库存,L00241016,五档主齿C60F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
自制件当前库存,L00242012,五档被齿C60F,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
自制件当前库存,L00240088,五档从动C61X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
