名称,型号,单位,数值
热轧扁钢,－40×22,kg/m,6.91
热轧扁钢,－40×25,kg/m,7.85
热轧扁钢,－40×28,kg/m,8.79
热轧扁钢,－45×3,kg/m,1.06
热轧扁钢,－45×4,kg/m,1.4099
热轧扁钢,－45×5,kg/m,1.77
热轧扁钢,－45×6,kg/m,2.12
热轧扁钢,－45×7,kg/m,2.47
热轧扁钢,－45×8,kg/m,2.83
热轧扁钢,－45×9,kg/m,3.18
热轧扁钢,－45×10,kg/m,3.53
热轧扁钢,－45×11,kg/m,3.89
热轧扁钢,－45×12,kg/m,4.24
热轧扁钢,－45×14,kg/m,4.95
热轧扁钢,－45×16,kg/m,5.65
热轧扁钢,－45×18,kg/m,6.36
热轧扁钢,－45×20,kg/m,7.07
热轧扁钢,－45×22,kg/m,7.77
热轧扁钢,－45×25,kg/m,8.83
热轧扁钢,－45×28,kg/m,9.89
热轧扁钢,－45×30,kg/m,10.6
热轧扁钢,－45×32,kg/m,11.3
热轧扁钢,－45×36,kg/m,12.72
热轧扁钢,－50×3,kg/m,1.1799
热轧扁钢,－50×4,kg/m,1.57
热轧扁钢,－50×5,kg/m,1.96
热轧扁钢,－50×6,kg/m,2.3599
热轧扁钢,－50×7,kg/m,2.75
热轧扁钢,－50×8,kg/m,3.14
热轧扁钢,－50×9,kg/m,3.53
热轧扁钢,－50×10,kg/m,3.93
热轧扁钢,－50×11,kg/m,4.32
热轧扁钢,－50×12,kg/m,4.71
热轧扁钢,－50×14,kg/m,5.5
热轧扁钢,－50×16,kg/m,6.28
热轧扁钢,－50×18,kg/m,7.06
热轧扁钢,－50×20,kg/m,7.85
热轧扁钢,－50×22,kg/m,8.64
热轧扁钢,－50×25,kg/m,9.81
热轧扁钢,－50×28,kg/m,10.99
热轧扁钢,－50×30,kg/m,11.779
热轧扁钢,－50×32,kg/m,12.56
热轧扁钢,－50×36,kg/m,14.13
热轧扁钢,－55×4,kg/m,1.73
热轧扁钢,－55×5,kg/m,2.16
热轧扁钢,－55×6,kg/m,2.5899
热轧扁钢,－55×7,kg/m,3.02
热轧扁钢,－55×8,kg/m,3.45
热轧扁钢,－55×9,kg/m,3.89
热轧扁钢,－55×10,kg/m,4.32
热轧扁钢,－55×11,kg/m,4.75
热轧扁钢,－55×12,kg/m,5.1799
热轧扁钢,－55×14,kg/m,6.04
热轧扁钢,－55×16,kg/m,6.91
热轧扁钢,－55×18,kg/m,7.77
热轧扁钢,－55×20,kg/m,8.64
热轧扁钢,－55×22,kg/m,9.5
热轧扁钢,－55×25,kg/m,10.79
热轧扁钢,－55×28,kg/m,12.09
热轧扁钢,－55×30,kg/m,12.95
热轧扁钢,－55×32,kg/m,13.82
热轧扁钢,－55×36,kg/m,15.54
热轧扁钢,－60×4,kg/m,1.88
热轧扁钢,－60×5,kg/m,2.3599
热轧扁钢,－60×6,kg/m,2.83
热轧扁钢,－60×7,kg/m,3.3
热轧扁钢,－60×8,kg/m,3.77
热轧扁钢,－60×9,kg/m,4.24
热轧扁钢,－60×10,kg/m,4.71
热轧扁钢,－60×11,kg/m,5.1799
热轧扁钢,－60×12,kg/m,5.65
热轧扁钢,－60×14,kg/m,6.5899
热轧扁钢,－60×16,kg/m,7.54
热轧扁钢,－60×18,kg/m,8.48
热轧扁钢,－60×20,kg/m,9.4199
热轧扁钢,－60×22,kg/m,10.359
热轧扁钢,－60×25,kg/m,11.779
热轧扁钢,－60×28,kg/m,13.19
热轧扁钢,－60×30,kg/m,14.13
热轧扁钢,－60×32,kg/m,15.07
热轧扁钢,－60×36,kg/m,16.96
热轧扁钢,－60×40,kg/m,18.84
热轧扁钢,－60×45,kg/m,21.199
热轧扁钢,－65×4,kg/m,2.04
热轧扁钢,－65×5,kg/m,2.55
热轧扁钢,－65×6,kg/m,3.06
热轧扁钢,－65×7,kg/m,3.57
热轧扁钢,－65×8,kg/m,4.08
热轧扁钢,－65×9,kg/m,4.5899
热轧扁钢,－65×10,kg/m,5.1
热轧扁钢,－65×11,kg/m,5.61
热轧扁钢,－65×12,kg/m,6.12
热轧扁钢,－65×14,kg/m,7.14
热轧扁钢,－65×16,kg/m,8.16
热轧扁钢,－65×18,kg/m,9.1799
热轧扁钢,－65×20,kg/m,10.2
热轧扁钢,－65×22,kg/m,11.23
热轧扁钢,－65×25,kg/m,12.76
热轧扁钢,－65×28,kg/m,14.29
热轧扁钢,－65×30,kg/m,15.31
热轧扁钢,－65×32,kg/m,16.33
热轧扁钢,－65×36,kg/m,18.37
热轧扁钢,－65×40,kg/m,20.41
热轧扁钢,－65×45,kg/m,22.96
热轧扁钢,－70×4,kg/m,2.2
热轧扁钢,－70×5,kg/m,2.75
热轧扁钢,－70×6,kg/m,3.3
热轧扁钢,－70×7,kg/m,3.85
热轧扁钢,－70×8,kg/m,4.4
热轧扁钢,－70×9,kg/m,4.95
热轧扁钢,－70×10,kg/m,5.5
热轧扁钢,－70×11,kg/m,6.04
热轧扁钢,－70×12,kg/m,6.5899
热轧扁钢,－70×14,kg/m,7.69
热轧扁钢,－70×16,kg/m,8.79
热轧扁钢,－70×18,kg/m,9.89
热轧扁钢,－70×20,kg/m,10.99
热轧扁钢,－70×22,kg/m,12.09
热轧扁钢,－70×25,kg/m,13.74
热轧扁钢,－70×28,kg/m,15.39
热轧扁钢,－70×30,kg/m,16.49
热轧扁钢,－70×32,kg/m,17.58
热轧扁钢,－70×36,kg/m,19.78
热轧扁钢,－70×40,kg/m,21.98
热轧扁钢,－70×45,kg/m,24.73
热轧扁钢,－75×4,kg/m,2.3599
热轧扁钢,－75×5,kg/m,2.9399
热轧扁钢,－75×6,kg/m,3.53
热轧扁钢,－75×7,kg/m,4.12
热轧扁钢,－75×8,kg/m,4.71
热轧扁钢,－75×9,kg/m,5.2999
热轧扁钢,－75×10,kg/m,5.8899
热轧扁钢,－75×11,kg/m,6.48
热轧扁钢,－75×12,kg/m,7.07
热轧扁钢,－75×14,kg/m,8.24
热轧扁钢,－75×16,kg/m,9.4199
热轧扁钢,－75×18,kg/m,10.6
热轧扁钢,－75×20,kg/m,11.779
热轧扁钢,－75×22,kg/m,12.95
热轧扁钢,－75×25,kg/m,14.72
热轧扁钢,－75×28,kg/m,16.48
热轧扁钢,－75×30,kg/m,17.66
热轧扁钢,－75×32,kg/m,18.84
热轧扁钢,－75×36,kg/m,21.199
热轧扁钢,－75×40,kg/m,23.55
热轧扁钢,－75×45,kg/m,26.4
热轧扁钢,－80×4,kg/m,2.51
热轧扁钢,－80×5,kg/m,3.14
热轧扁钢,－80×6,kg/m,3.77
热轧扁钢,－80×7,kg/m,4.4
热轧扁钢,－80×8,kg/m,5.02
热轧扁钢,－80×9,kg/m,5.65
热轧扁钢,－80×10,kg/m,6.28
热轧扁钢,－80×11,kg/m,6.91
热轧扁钢,－80×12,kg/m,7.54
热轧扁钢,－80×14,kg/m,8.79
热轧扁钢,－80×16,kg/m,10.05
热轧扁钢,－80×18,kg/m,11.3
热轧扁钢,－80×20,kg/m,12.56
热轧扁钢,－80×22,kg/m,13.82
热轧扁钢,－80×25,kg/m,15.7
热轧扁钢,－80×28,kg/m,17.58
热轧扁钢,－80×30,kg/m,18.84
热轧扁钢,－80×32,kg/m,20.1
热轧扁钢,－80×36,kg/m,22.609
热轧扁钢,－80×40,kg/m,25.12
热轧扁钢,－80×45,kg/m,28.26
热轧扁钢,－80×50,kg/m,31.4
热轧扁钢,－80×56,kg/m,35.17
热轧扁钢,－85×5,kg/m,3.3399
热轧扁钢,－85×6,kg/m,4.0
热轧扁钢,－85×7,kg/m,4.6699
热轧扁钢,－85×8,kg/m,5.3399
热轧扁钢,－85×9,kg/m,6.0099
热轧扁钢,－85×10,kg/m,6.6699
热轧扁钢,－85×11,kg/m,7.3399
热轧扁钢,－85×12,kg/m,8.0099
热轧扁钢,－85×14,kg/m,9.3399
热轧扁钢,－85×16,kg/m,10.68
热轧扁钢,－85×18,kg/m,12.01
热轧扁钢,－85×20,kg/m,13.34
热轧扁钢,－85×22,kg/m,14.68
热轧扁钢,－85×25,kg/m,16.68
热轧扁钢,－85×28,kg/m,18.68
热轧扁钢,－85×30,kg/m,20.02
热轧扁钢,－85×32,kg/m,21.35
热轧扁钢,－85×36,kg/m,24.02
热轧扁钢,－85×40,kg/m,26.69
热轧扁钢,－85×45,kg/m,30.03
热轧扁钢,－85×50,kg/m,33.359
热轧扁钢,－85×56,kg/m,37.369
热轧扁钢,－85×60,kg/m,40.039
热轧扁钢,－90×5,kg/m,3.53
热轧扁钢,－90×6,kg/m,4.24
热轧扁钢,－90×7,kg/m,4.95
热轧扁钢,－90×8,kg/m,5.65
热轧扁钢,－90×9,kg/m,6.36
热轧扁钢,－90×10,kg/m,7.07
热轧扁钢,－90×11,kg/m,7.77
热轧扁钢,－90×12,kg/m,8.48
热轧扁钢,－90×14,kg/m,9.89
热轧扁钢,－90×16,kg/m,11.3
热轧扁钢,－90×18,kg/m,12.72
热轧扁钢,－90×20,kg/m,14.13
热轧扁钢,－90×22,kg/m,15.54
热轧扁钢,－90×25,kg/m,17.66
热轧扁钢,－90×28,kg/m,19.78
热轧扁钢,－90×30,kg/m,21.199
热轧扁钢,－90×32,kg/m,22.609
热轧扁钢,－90×36,kg/m,25.43
热轧扁钢,－90×40,kg/m,28.26
热轧扁钢,－90×45,kg/m,31.789
热轧扁钢,－90×50,kg/m,35.32
热轧扁钢,－90×56,kg/m,39.56
热轧扁钢,－90×60,kg/m,42.39
热轧扁钢,－95×5,kg/m,3.73
热轧扁钢,－95×6,kg/m,4.4699
热轧扁钢,－95×7,kg/m,5.2199
热轧扁钢,－95×8,kg/m,5.9699
热轧扁钢,－95×9,kg/m,6.71
热轧扁钢,－95×10,kg/m,7.46
热轧扁钢,－95×11,kg/m,8.1999
热轧扁钢,－95×12,kg/m,8.95
热轧扁钢,－95×14,kg/m,10.44
热轧扁钢,－95×16,kg/m,11.93
热轧扁钢,－95×18,kg/m,13.42
热轧扁钢,－95×20,kg/m,14.92
热轧扁钢,－95×22,kg/m,16.41
热轧扁钢,－95×25,kg/m,18.64
热轧扁钢,－95×28,kg/m,20.879
热轧扁钢,－95×30,kg/m,22.37
热轧扁钢,－95×32,kg/m,23.859
热轧扁钢,－95×36,kg/m,26.85
热轧扁钢,－95×40,kg/m,29.83
热轧扁钢,－95×45,kg/m,33.56
热轧扁钢,－95×50,kg/m,37.289
热轧扁钢,－95×56,kg/m,41.759
热轧扁钢,－95×60,kg/m,44.74
热轧扁钢,－100×5,kg/m,3.9199
热轧扁钢,－100×6,kg/m,4.71
热轧扁钢,－100×7,kg/m,5.5
热轧扁钢,－100×8,kg/m,6.28
热轧扁钢,－100×9,kg/m,7.06
热轧扁钢,－100×10,kg/m,7.85
热轧扁钢,－100×11,kg/m,8.64
热轧扁钢,－100×12,kg/m,9.4199
热轧扁钢,－100×14,kg/m,10.99
热轧扁钢,－100×16,kg/m,12.56
热轧扁钢,－100×18,kg/m,14.13
热轧扁钢,－100×20,kg/m,15.7
热轧扁钢,－100×22,kg/m,17.27
热轧扁钢,－100×25,kg/m,19.62
热轧扁钢,－100×28,kg/m,21.98
热轧扁钢,－100×30,kg/m,23.55
热轧扁钢,－100×32,kg/m,25.12
热轧扁钢,－100×36,kg/m,28.26
热轧扁钢,－100×40,kg/m,31.4
热轧扁钢,－100×45,kg/m,35.32
热轧扁钢,－100×50,kg/m,39.25
热轧扁钢,－100×56,kg/m,43.96
热轧扁钢,－100×60,kg/m,47.1
热轧扁钢,－105×5,kg/m,4.12
热轧扁钢,－105×6,kg/m,4.95
热轧扁钢,－105×7,kg/m,5.77
热轧扁钢,－105×8,kg/m,6.5899
热轧扁钢,－105×9,kg/m,7.4199
热轧扁钢,－105×10,kg/m,8.24
热轧扁钢,－105×11,kg/m,9.07
热轧扁钢,－105×12,kg/m,9.89
热轧扁钢,－105×14,kg/m,11.54
热轧扁钢,－105×16,kg/m,13.19
热轧扁钢,－105×18,kg/m,14.84
热轧扁钢,－105×20,kg/m,16.48
热轧扁钢,－105×22,kg/m,18.129
热轧扁钢,－105×25,kg/m,20.609
热轧扁钢,－105×28,kg/m,23.08
热轧扁钢,－105×30,kg/m,24.73
热轧扁钢,－105×32,kg/m,26.379
热轧扁钢,－105×36,kg/m,29.67
热轧扁钢,－105×40,kg/m,32.969
热轧扁钢,－105×45,kg/m,37.09
热轧扁钢,－105×50,kg/m,41.21
热轧扁钢,－105×56,kg/m,46.16
热轧扁钢,－105×60,kg/m,49.46
热轧扁钢,－110×5,kg/m,4.32
热轧扁钢,－110×6,kg/m,5.1799
热轧扁钢,－110×7,kg/m,6.04
热轧扁钢,－110×8,kg/m,6.91
热轧扁钢,－110×9,kg/m,7.77
热轧扁钢,－110×10,kg/m,8.64
热轧扁钢,－110×11,kg/m,9.5
热轧扁钢,－110×12,kg/m,10.359
热轧扁钢,－110×14,kg/m,12.09
热轧扁钢,－110×16,kg/m,13.82
热轧扁钢,－110×18,kg/m,15.54
热轧扁钢,－110×20,kg/m,17.27
热轧扁钢,－110×22,kg/m,19.0
热轧扁钢,－110×25,kg/m,21.59
热轧扁钢,－110×28,kg/m,24.18
热轧扁钢,－110×30,kg/m,25.9
热轧扁钢,－110×32,kg/m,27.629
热轧扁钢,－110×36,kg/m,31.09
热轧扁钢,－110×40,kg/m,34.539
热轧扁钢,－110×45,kg/m,38.859
热轧扁钢,－110×50,kg/m,43.18
热轧扁钢,－110×56,kg/m,48.359
热轧扁钢,－110×60,kg/m,51.81
热轧扁钢,－120×5,kg/m,4.71
热轧扁钢,－120×6,kg/m,5.65
热轧扁钢,－120×7,kg/m,6.5899
热轧扁钢,－120×8,kg/m,7.54
热轧扁钢,－120×9,kg/m,8.48
热轧扁钢,－120×10,kg/m,9.4199
热轧扁钢,－120×11,kg/m,10.359
热轧扁钢,－120×12,kg/m,11.3
热轧扁钢,－120×14,kg/m,13.19
热轧扁钢,－120×16,kg/m,15.07
热轧扁钢,－120×18,kg/m,16.96
热轧扁钢,－120×20,kg/m,18.84
热轧扁钢,－120×22,kg/m,20.719
热轧扁钢,－120×25,kg/m,23.55
热轧扁钢,－120×28,kg/m,26.379
热轧扁钢,－120×30,kg/m,28.26
热轧扁钢,－120×32,kg/m,30.14
热轧扁钢,－120×36,kg/m,33.91
热轧扁钢,－120×40,kg/m,37.68
热轧扁钢,－120×45,kg/m,42.39
热轧扁钢,－120×50,kg/m,47.1
热轧扁钢,－120×56,kg/m,52.75
热轧扁钢,－120×60,kg/m,56.52
热轧扁钢,－125×6,kg/m,5.8899
热轧扁钢,－125×7,kg/m,6.87
热轧扁钢,－125×8,kg/m,7.85
热轧扁钢,－125×9,kg/m,8.83
热轧扁钢,－125×10,kg/m,9.81
热轧扁钢,－125×11,kg/m,10.79
热轧扁钢,－125×12,kg/m,11.779
热轧扁钢,－125×14,kg/m,13.7
热轧扁钢,－125×16,kg/m,15.7
热轧扁钢,－125×18,kg/m,17.66
热轧扁钢,－125×20,kg/m,19.62
热轧扁钢,－125×22,kg/m,21.58
热轧扁钢,－125×25,kg/m,24.53
热轧扁钢,－125×28,kg/m,27.48
热轧扁钢,－125×30,kg/m,29.44
热轧扁钢,－125×32,kg/m,31.4
热轧扁钢,－125×36,kg/m,35.32
热轧扁钢,－125×40,kg/m,39.25
热轧扁钢,－125×45,kg/m,44.16
热轧扁钢,－125×50,kg/m,49.06
热轧扁钢,－125×56,kg/m,54.95
热轧扁钢,－125×60,kg/m,58.88
热轧扁钢,－130×6,kg/m,6.12
热轧扁钢,－130×7,kg/m,7.14
热轧扁钢,－130×8,kg/m,8.16
热轧扁钢,－130×9,kg/m,9.1799
热轧扁钢,－130×10,kg/m,10.2
热轧扁钢,－130×11,kg/m,11.23
热轧扁钢,－130×12,kg/m,12.25
热轧扁钢,－130×14,kg/m,14.29
热轧扁钢,－130×16,kg/m,16.33
热轧扁钢,－130×18,kg/m,18.37
热轧扁钢,－130×20,kg/m,20.41
热轧扁钢,－130×22,kg/m,22.449
热轧扁钢,－130×25,kg/m,25.51
热轧扁钢,－130×28,kg/m,28.57
热轧扁钢,－130×30,kg/m,30.62
热轧扁钢,－130×32,kg/m,32.66
热轧扁钢,－130×36,kg/m,36.74
热轧扁钢,－130×40,kg/m,40.82
热轧扁钢,－130×45,kg/m,45.92
热轧扁钢,－130×50,kg/m,51.02
热轧扁钢,－130×56,kg/m,57.149
热轧扁钢,－130×60,kg/m,61.23
热轧扁钢,－140×7,kg/m,7.69
热轧扁钢,－140×8,kg/m,8.79
热轧扁钢,－140×9,kg/m,9.89
热轧扁钢,－140×10,kg/m,10.99
热轧扁钢,－140×11,kg/m,12.09
热轧扁钢,－140×12,kg/m,13.19
热轧扁钢,－140×14,kg/m,15.39
热轧扁钢,－140×16,kg/m,17.58
热轧扁钢,－140×18,kg/m,19.78
热轧扁钢,－140×20,kg/m,21.98
热轧扁钢,－140×22,kg/m,24.18
热轧扁钢,－140×25,kg/m,27.48
热轧扁钢,－140×28,kg/m,30.77
热轧扁钢,－140×30,kg/m,32.969
热轧扁钢,－140×32,kg/m,35.17
热轧扁钢,－140×36,kg/m,39.56
热轧扁钢,－140×40,kg/m,43.96
热轧扁钢,－140×45,kg/m,49.46
热轧扁钢,－140×50,kg/m,54.95
热轧扁钢,－140×56,kg/m,61.539
热轧扁钢,－140×60,kg/m,65.939
热轧扁钢,－150×7,kg/m,8.24
热轧扁钢,－150×8,kg/m,9.4199
热轧扁钢,－150×9,kg/m,10.6
热轧扁钢,－150×10,kg/m,11.779
热轧扁钢,－150×11,kg/m,12.95
热轧扁钢,－150×12,kg/m,14.13
热轧扁钢,－150×14,kg/m,16.48
热轧扁钢,－150×16,kg/m,18.84
热轧扁钢,－150×18,kg/m,21.199
热轧扁钢,－150×20,kg/m,23.55
热轧扁钢,－150×22,kg/m,25.9
热轧扁钢,－150×25,kg/m,29.44
热轧扁钢,－150×28,kg/m,32.969
热轧扁钢,－150×30,kg/m,35.32
热轧扁钢,－150×32,kg/m,37.68
热轧扁钢,－150×36,kg/m,42.39
热轧扁钢,－150×40,kg/m,47.1
热轧扁钢,－150×45,kg/m,52.99
热轧扁钢,－150×50,kg/m,58.88
热轧扁钢,－150×56,kg/m,65.939
热轧扁钢,－150×60,kg/m,70.65
热轧扁钢,－160×7,kg/m,8.79
热轧扁钢,－160×8,kg/m,10.05
热轧扁钢,－160×9,kg/m,11.3
热轧扁钢,－160×10,kg/m,12.56
热轧扁钢,－160×11,kg/m,13.82
热轧扁钢,－160×12,kg/m,15.07
热轧扁钢,－160×14,kg/m,17.58
热轧扁钢,－160×16,kg/m,20.1
热轧扁钢,－160×18,kg/m,22.609
热轧扁钢,－160×20,kg/m,25.12
热轧扁钢,－160×22,kg/m,27.629
热轧扁钢,－160×25,kg/m,31.4
热轧扁钢,－160×28,kg/m,35.17
热轧扁钢,－160×30,kg/m,37.68
热轧扁钢,－160×32,kg/m,40.189
热轧扁钢,－160×36,kg/m,45.219
热轧扁钢,－160×40,kg/m,50.24
热轧扁钢,－160×45,kg/m,56.52
热轧扁钢,－160×50,kg/m,62.8
热轧扁钢,－160×56,kg/m,70.34
热轧扁钢,－160×60,kg/m,75.359
热轧扁钢,－170×7,kg/m,9.3399
热轧扁钢,－170×8,kg/m,10.68
热轧扁钢,－170×9,kg/m,12.01
热轧扁钢,－170×10,kg/m,13.34
热轧扁钢,－170×11,kg/m,14.68
热轧扁钢,－170×12,kg/m,16.01
热轧扁钢,－170×14,kg/m,18.68
热轧扁钢,－170×16,kg/m,21.35
热轧扁钢,－170×18,kg/m,24.02
热轧扁钢,－170×20,kg/m,26.64
热轧扁钢,－170×22,kg/m,29.359
热轧扁钢,－170×25,kg/m,33.359
热轧扁钢,－170×28,kg/m,37.369
热轧扁钢,－170×30,kg/m,40.039
热轧扁钢,－170×32,kg/m,42.7
热轧扁钢,－170×36,kg/m,48.039
热轧扁钢,－170×40,kg/m,53.38
热轧扁钢,－170×45,kg/m,65.049
热轧扁钢,－170×50,kg/m,66.719
热轧扁钢,－170×56,kg/m,74.73
热轧扁钢,－170×60,kg/m,80.07
热轧扁钢,－180×7,kg/m,9.89
热轧扁钢,－180×8,kg/m,11.3
热轧扁钢,－180×9,kg/m,12.72
热轧扁钢,－180×10,kg/m,14.13
热轧扁钢,－180×11,kg/m,15.54
热轧扁钢,－180×12,kg/m,16.96
热轧扁钢,－180×14,kg/m,19.78
热轧扁钢,－180×16,kg/m,22.609
热轧扁钢,－180×18,kg/m,25.43
热轧扁钢,－180×20,kg/m,28.26
热轧扁钢,－180×22,kg/m,31.09
热轧扁钢,－180×25,kg/m,35.32
热轧扁钢,－180×28,kg/m,39.56
热轧扁钢,－180×30,kg/m,42.39
热轧扁钢,－180×32,kg/m,45.219
热轧扁钢,－180×36,kg/m,50.87
热轧扁钢,－180×40,kg/m,56.52
热轧扁钢,－180×45,kg/m,63.579
热轧扁钢,－180×50,kg/m,70.65
热轧扁钢,－180×56,kg/m,79.129
热轧扁钢,－180×60,kg/m,84.78
热轧扁钢,－180×9,kg/m,13.42
热轧扁钢,－190×10,kg/m,14.92
热轧扁钢,－190×11,kg/m,16.41
热轧扁钢,－190×12,kg/m,17.9
热轧扁钢,－190×14,kg/m,20.879
热轧扁钢,－190×16,kg/m,26.85
热轧扁钢,－190×18,kg/m,29.83
热轧扁钢,－190×20,kg/m,32.81
热轧扁钢,－190×22,kg/m,37.289
热轧扁钢,－190×25,kg/m,41.759
热轧扁钢,－190×28,kg/m,44.74
热轧扁钢,－190×30,kg/m,47.73
热轧扁钢,－190×32,kg/m,53.689
热轧扁钢,－190×36,kg/m,59.66
热轧扁钢,－190×40,kg/m,67.12
热轧扁钢,－190×45,kg/m,74.579
热轧扁钢,－190×50,kg/m,83.519
热轧扁钢,－190×56,kg/m,89.489
热轧扁钢,－190×60,kg/m,83.519
热轧扁钢,－200×9,kg/m,14.13
热轧扁钢,－200×10,kg/m,15.7
热轧扁钢,－200×11,kg/m,17.27
热轧扁钢,－200×12,kg/m,18.84
热轧扁钢,－200×14,kg/m,21.98
热轧扁钢,－200×16,kg/m,25.12
热轧扁钢,－200×18,kg/m,28.26
