装修报价表-序号-一楼,装修报价表-项目名称-一楼,装修报价表-单位-一楼,装修报价表-工程量-一楼,装修报价表-辅材（元）-一楼,装修报价表-人工费（元）-一楼,装修报价表-主材（元）-一楼,装修报价表-品牌-一楼,装修报价表-单价（元）-一楼,装修报价表-合价（元）-一楼,装修报价表-备注-一楼
17,五金,项,1.0,,,3800.0,XXXX,3800.0,3800.0,XXXXX
18,卫浴,项,1.0,,,27000.0,XXXX,27000.0,27000.0,XXXXX
19,灯具,项,1.0,,,120000.0,XXXX,120000.0,120000.0,XXXXX
20,实木门,扇,2.0,,,2580.0,XXXX,2580.0,5160.0,XXXXX
21,卫浴门,扇,1.0,,,1000.0,XXXX,1000.0,1000.0,XXXXX
22,厨房门,扇,1.0,,,2300.0,XXXX,2300.0,2300.0,XXXXX
24,阳台地砖,㎡,4.8,45.0,20.0,80.0,XXXX,145.0,696.0,XXXXX
25,入户防盗门,扇,1.0,,,10000.0,XXXX,10000.0,10000.0,XXXXX
26,垃圾处理及搬运费,项,1.0,,,5000.0,XXXX,5000.0,5000.0,XXXXX
合   计:,合   计:,,,,,,XXXX,,710910.72,XXXXX
