最新营改增税率表-纳税人,最新营改增税率表-应税行为,最新营改增税率表-具体范围,最新营改增税率表-具体范围.1,最新营改增税率表-具体范围.2,最新营改增税率表-具体范围.3,最新营改增税率表-增值税税率,最新营改增税率表-原营业税税目,最新营改增税率表-原营业税税率
一般纳税人,销售服务,交通运输业,陆路运输服务,其他陆路运输服务,公路缆车索道地铁轻轨,11%,运输业,3%
一般纳税人,销售服务,交通运输业,水路运输服务,程租业务,特定航次,11%,运输业,3%
一般纳税人,销售服务,交通运输业,水路运输服务,期租业务,配备操作人员的船,11%,运输业,3%
一般纳税人,销售服务,交通运输业,航空运输服务,航空运输的湿租业务,配备机组人员,11%,运输业,3%
一般纳税人,销售服务,交通运输业,管道运输服务,无运输工具承运业务,气液固等,11%,运输业,3%
一般纳税人,销售服务,邮政服务,邮政普遍服务（包括邮票报刊汇款）,函件,信印刷物卡邮政小包,11%,邮电通信业,5%
一般纳税人,销售服务,邮政服务,邮政普遍服务（包括邮票报刊汇款）,包裹,不超50KG一边不超1.5M，长宽高合计不超3M,11%,邮电通信业,5%
一般纳税人,销售服务,邮政服务,邮政特殊服务,邮政特殊服务,机要、盲人读物等,11%,邮电通信业,5%
一般纳税人,销售服务,邮政服务,其他邮政服务,邮册等邮品销售、邮政代理等,,11%,邮电通信业,5%
一般纳税人,销售服务,电信服务,基础电信服务,基础电信服务,语音通话、带宽等,11%,邮电通信业,5%
一般纳税人,销售服务,电信服务,增值电信服务,增值电信服务,短信、彩信、数据传输、互联网,6%,邮电通信业,5%
一般纳税人,销售服务,建筑服务,工程服务,工程服务,新建改建,11%,建筑业,3%
一般纳税人,销售服务,建筑服务,安装服务,安装服务,各类设备、台梯架、电话水汽等出装费等,11%,建筑业,3%
一般纳税人,销售服务,建筑服务,修缮服务,修缮服务,补固养改等作业,11%,建筑业,3%
一般纳税人,销售服务,建筑服务,装饰服务,装饰服务,修饰美化,11%,建筑业,3%
一般纳税人,销售服务,建筑服务,其他建筑服务,其他建筑服务,钻、拆、平、绿、爆、清等,11%,建筑业,3%
一般纳税人,销售服务,金融服务,贷款服务,贷款,利息、及利息性收入,6%,金融保险业,5%
一般纳税人,销售服务,金融服务,贷款服务,融资性售后回租,承租A卖给B再从B租回,6%,金融保险业,5%
一般纳税人,销售服务,金融服务,直接收费金融服务,直接收费金融服务,其他所有相关收费项目,6%,金融保险业,5%
一般纳税人,销售服务,金融服务,保险服务,人身保险,人,6%,金融保险业,5%
一般纳税人,销售服务,金融服务,保险服务,财产保险,财,6%,金融保险业,5%
一般纳税人,销售服务,金融服务,金融商品转让,金融商品转让,外汇、有价证券、期货,6%,金融保险业,5%
一般纳税人,销售服务,金融服务,金融商品转让,其他金融商品转让,基金、信托、理财、金融衍生,6%,金融保险业,5%
一般纳税人,销售服务,现代服务,研发和技术服务,研发服务,新技术、工艺、产品、材料,6%,服务业,5%
一般纳税人,销售服务,现代服务,研发和技术服务,合同能源管理服务,节能环保,6%,服务业,5%
一般纳税人,销售服务,现代服务,研发和技术服务,工程勘察勘探服务,地形地质地下的实地调查,6%,服务业,5%
一般纳税人,销售服务,现代服务,研发和技术服务,专业技术服务,气象地震规划测绘,6%,服务业,5%
一般纳税人,销售服务,现代服务,信息技术服务,软件服务,软件开发维护测试,6%,服务业,5%
一般纳税人,销售服务,现代服务,信息技术服务,电路设计及测试服务,电路设计测试相关,6%,服务业,5%
一般纳税人,销售服务,现代服务,信息技术服务,信息系统服务,系统网络电脑服务器等维护,6%,服务业,5%
一般纳税人,销售服务,现代服务,信息技术服务,业务流程管理服务,人力财务审计税务等的管理,6%,服务业,5%
一般纳税人,销售服务,现代服务,信息技术服务,信息系统增值服务,数据处理分析存储等,6%,服务业,5%
一般纳税人,销售服务,现代服务,文化创意服务,设计服务,图文声视传递计划构想,6%,服务业,5%
一般纳税人,销售服务,现代服务,文化创意服务,知识产权服务,登记鉴定评估认证等,6%,服务业,5%
一般纳税人,销售服务,现代服务,文化创意服务,广告服务,图报杂广影视牌招等发布播映,6%,服务业,5%
一般纳税人,销售服务,现代服务,文化创意服务,会议展览服务,商品等流通展示交流综合,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,航空服务,导航检查清洗消毒跑道等,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,航空服务,航拍培训测量勘探降雨监测护林,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,港口码头服务,调度通信疏浚灯塔理货停泊清污消毒安保,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,货运客运场站服务,装卸转运票包挂引调,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,打捞救助服务,捞人物船水上施救,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,装卸搬运服务,运输工具间的搬运装卸,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,仓储服务,存放保管,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,收派服务,收件服务,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,收派服务,分拣服务,6%,服务业,5%
一般纳税人,销售服务,现代服务,物流辅助服务,收派服务,派送服务,6%,服务业,5%
一般纳税人,销售服务,现代服务,租赁服务,融资租赁服务（注意区分融资性售后回租）,有形动产融资服务,17%,金融保险业,5%
一般纳税人,销售服务,现代服务,租赁服务,融资租赁服务（注意区分融资性售后回租）,不动产融资租赁服务,11%,金融保险业,5%
一般纳税人,销售服务,现代服务,租赁服务,经营租赁服务,过路停车过桥费、光租干租、车机船身广告位,17%,服务业,5%
一般纳税人,销售服务,现代服务,租赁服务,经营租赁服务,过路停车过桥费、光租干租、车机船身广告位,11%,服务业,5%
一般纳税人,销售服务,现代服务,鉴证咨询服务,认证服务,专业资质监测计量证明,6%,服务业,5%
一般纳税人,销售服务,现代服务,鉴证咨询服务,鉴证服务,鉴定后出具证明,6%,服务业,5%
一般纳税人,销售服务,现代服务,鉴证咨询服务,咨询服务,提供信息建议策划调查翻译,6%,服务业,5%
一般纳税人,销售服务,现代服务,广播影视服务,广播影视节目（作品）制作服务,拍录采编写剪译字特修及确权,6%,文化体育业,3%
一般纳税人,销售服务,现代服务,广播影视服务,广播影视节目（作品）发行服务,分账买断委托等方式,6%,文化体育业,3%
一般纳税人,销售服务,现代服务,广播影视服务,广播影视节目（作品）播映服务,影院剧院网络电视电台等播放,6%,文化体育业,3%
一般纳税人,销售服务,现代服务,商务辅助服务,企业管理服务,内部市场物业日常等管理,6%,服务业,5%
一般纳税人,销售服务,现代服务,商务辅助服务,经纪代理服务,货物运输代理服务,6%,服务业,5%
一般纳税人,销售服务,现代服务,商务辅助服务,经纪代理服务,代理报关服务,6%,服务业,5%
一般纳税人,销售服务,现代服务,商务辅助服务,人力资源服务,劳务招聘劳力外包,6%,服务业,5%
一般纳税人,销售服务,现代服务,商务辅助服务,安全保护服务,人身及财产的保护,6%,服务业,5%
一般纳税人,销售服务,现代服务,其他现代服务,其他现代服务,除上以外,6%,服务业,5%
一般纳税人,销售服务,生活服务,文化体育服务,文化服务,创作表演图书档案文物展览等,6%,文化体育业,3%
一般纳税人,销售服务,生活服务,文化体育服务,体育服务,比赛活动训练指导管理,6%,文化体育业,3%
一般纳税人,销售服务,生活服务,教育医疗服务,教育服务,学历和非学历、教育辅助,6%,文化体育业,3%
一般纳税人,销售服务,生活服务,教育医疗服务,医疗服务,检查诊断治疗保健生育及使用药品器材救护车等,6%,服务业,5%
一般纳税人,销售服务,生活服务,旅游娱乐服务,旅游服务,游览食宿购物娱乐,6%,服务业,5%
一般纳税人,销售服务,生活服务,,娱乐服务,提供场所的各类娱乐,6%,娱乐业,5-20%
一般纳税人,销售服务,生活服务,餐饮住宿服务,餐饮服务,提供饮食及饮食的场所,6%,服务业,5%
一般纳税人,销售服务,生活服务,,住宿服务,住宿及配套,6%,服务业,5%
一般纳税人,销售服务,生活服务,居民日常服务,家政婚庆养老殡葬，容发按桑足浴洗摄印,家政婚庆养老殡葬，容发按桑足浴洗摄印,6%,服务业,5%
一般纳税人,销售服务,生活服务,其他生活服务,除上述意外,除上述意外,6%,服务业,5%
一般纳税人,销售无形资产,技术,专利技术,,所有权、使用权的转让,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,技术,非专利技术,,所有权、使用权的转让,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,商标,,,所有权、使用权的转让,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,著作权,,,所有权、使用权的转让,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,商誉,,,所有权、使用权的转让,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,其他权益性无形资产,,,经营权、特许、经销、分销、代理、会员、网络虚拟、肖像、转会、冠名,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,自然资源使用权,海域使用权,,,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,自然资源使用权,探矿权,,,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,自然资源使用权,采矿权,,,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,自然资源使用权,取水权,,,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,自然资源使用权,其他自然资源使用权,,,6%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售无形资产,自然资源使用权,土地使用权,,,11%,转让无形资产-转让商标权、著作权、商誉,5%
一般纳税人,销售不动产,建筑物,,转让有限产权、永久产权以及与其一并转让的土地使用权,宅房楼等可供住工作活动等,11%,销售不动产,5%
一般纳税人,销售不动产,构筑物,,转让有限产权、永久产权以及与其一并转让的土地使用权,路桥隧道水坝等,11%,销售不动产,5%
