勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-序-号,勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-孔-号,勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-勘探点-类型,勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-孔口或-井口-标高-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-勘探点-深度-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-初见-水位-深度-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-初见-水位-标高-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-稳定-水位-深度-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-稳定-水位-标高-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-原状-样-(个),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-扰动-样-(个),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-岩样-(个),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-标贯-(次),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-坐标-X-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-坐标-Y-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-里程,外业日期
14,14,标贯孔,28.37,18.8,,,10.4,17.97,,,,7.0,3973222.279,494842.572,,
15,15,标贯孔,25.46,18.0,,,7.4,18.06,,,,2.0,3973215.179,494850.272,,
16,16,标贯孔,24.18,15.9,,,6.2,17.98,,,,3.0,3973222.48,494871.703,,
17,17,标贯孔,23.36,15.8,,,5.3,18.06,,,,5.0,3973219.031,494889.204,,
18,18,标贯孔,23.5,16.0,,,5.5,18.0,,,,2.0,3973222.68,494900.835,,
19,19,标贯孔,22.78,15.4,,,4.8,17.98,,,,5.0,3973220.081,494912.145,,
20,20,取土与标贯孔,23.03,15.7,,,5.0,18.03,,1.0,,6.0,3973223.18,494928.535,,
21,21,取土与标贯孔,20.91,13.5,,,2.5,18.41,,1.0,,4.0,3973223.18,494959.095,,
22,22,标贯孔,22.67,14.0,,,4.6,18.07,,,,3.0,3973223.289,494988.257,,
23,23,标贯孔,23.53,16.0,,,5.5,18.03,,,,3.0,3973220.081,495006.045,,
24,24,标贯孔,23.93,14.0,,,5.9,18.03,,,,2.0,3973222.68,495017.355,,
25,25,标贯孔,24.04,14.0,,,6.0,18.04,,,,2.0,3973219.029,495028.985,,
26,26,钻探孔,24.36,14.0,,,6.3,18.06,,,,,3973219.551,495041.086,,
27,27,标贯孔,23.25,14.8,,,5.2,18.05,,,,4.0,3973202.336,494797.963,,
28,28,标贯孔,23.37,16.7,,,5.3,18.07,,,,2.0,3973203.449,494822.682,,
29,29,标贯孔,24.84,17.8,,,6.8,18.04,,,,4.0,3973206.149,494850.272,,
30,30,钻探孔,23.23,16.3,,,5.2,18.03,,,,,3973206.35,494869.738,,
31,31,标贯孔,23.78,15.3,,,5.8,17.98,,,,2.0,3973206.551,494889.205,,
32,32,标贯孔,22.64,16.2,,,4.6,18.04,,,,6.0,3973203.451,494912.145,,
33,33,取土孔,22.73,13.7,,,4.7,18.03,,,8.0,,3973206.492,494930.322,,
34,34,取土与标贯孔,20.65,14.0,,,2.3,18.35,,1.0,,3.0,3973206.34,494949.095,,
35,35,取土与标贯孔,20.76,14.0,,,2.4,18.36,,1.0,,2.0,3973206.34,494969.095,,
36,36,标贯孔,21.99,13.8,,,4.0,17.99,,,,2.0,3973204.951,494989.654,,
37,37,标贯孔,22.94,14.9,,,4.9,18.04,,,,3.0,3973203.451,495006.045,,
38,38,钻探孔,23.81,15.4,,,5.8,18.01,,,,,3973206.541,495028.985,,
39,39,标贯孔,24.19,15.8,,,6.2,17.99,,,,2.0,3973204.526,495041.261,,
40,40,标贯孔,22.28,14.5,,,4.3,17.98,,,,3.0,3973177.398,494798.04,,
41,41,钻探孔,22.28,14.8,,,4.3,17.98,,,,,3973182.671,494823.297,,
42,42,标贯孔,22.76,15.4,,,4.7,18.06,,,,2.0,3973183.79,494851.194,,
43,43,钻探孔,22.38,13.8,,,4.4,17.98,,,,,3973184.908,494879.092,,
44,44,标贯孔,22.12,15.6,,,4.1,18.02,,,,2.0,3973186.026,494906.99,,
45,45,钻探孔,22.66,14.2,,,4.7,17.96,,,,,3973187.145,494934.895,,
46,46,取土与标贯孔,19.96,14.5,,,1.8,18.16,,1.0,,3.0,3973187.04,494950.095,,
47,47,取土与标贯孔,20.48,14.2,,,2.1,18.38,,1.0,,3.0,3973187.04,494968.095,,
48,48,钻探孔,20.47,14.6,,,2.5,17.97,,,,,3973187.145,494983.295,,
49,49,标贯孔,21.82,13.7,,,3.8,18.02,,,,3.0,3973185.767,495013.243,,
50,50,钻探孔,22.24,15.8,,,4.2,18.04,,,,,3973184.39,495043.191,,
51,51,标贯孔,21.64,14.0,,,3.6,18.04,,,,2.0,3973153.325,494798.118,,
52,52,标贯孔,21.63,15.3,,,3.6,18.03,,,,2.0,3973154.376,494814.783,,
53,53,标贯孔,21.59,14.8,,,3.6,17.99,,,,2.0,3973154.375,494841.683,,
54,54,钻探孔,21.37,15.2,,,3.4,17.97,,,,,3973155.02,494861.632,,
55,55,标贯孔,22.13,14.3,,,4.1,18.03,,,,4.0,3973155.02,494889.38,,
56,56,标贯孔,21.24,15.8,,,3.2,18.04,,,,2.0,3973155.88,494900.835,,
57,57,标贯孔,20.94,14.9,,,2.9,18.04,,,,5.0,3973155.88,494923.455,,
58,58,标贯孔,22.12,15.0,,,3.1,19.02,,,,3.0,3973161.74,494934.895,,
59,59,取土孔,19.65,13.0,,,0.2,19.45,,1.0,,,3973161.74,494949.095,,
60,60,取土与标贯孔,20.67,15.0,,,1.5,19.17,,1.0,,3.0,3973161.74,494969.095,,
61,61,取土与标贯孔,20.24,14.0,,,1.3,18.94,,1.0,,2.0,3973161.74,494983.295,,
62,62,钻探孔,20.95,14.6,,,2.0,18.95,,,,2.0,3973158.536,495004.823,,
63,63,钻探孔,18.52,12.7,,,,,,,,2.0,3973155.333,495026.351,,
64,64,钻探孔,18.83,12.6,,,,,,,,1.0,3973155.03,495043.902,,
65,65,标贯孔,20.96,14.3,,,2.9,18.06,,,,2.0,3973138.945,494801.402,,
66,66,标贯孔,20.74,14.5,,,2.7,18.04,,,,2.0,3973137.445,494825.892,,
67,67,标贯孔,21.03,15.0,,,3.0,18.03,,,,2.0,3973138.945,494849.382,,
68,68,标贯孔,20.66,14.0,,,2.7,17.96,,,,2.0,3973125.852,494861.633,,
69,69,标贯孔,21.19,14.0,,,3.2,17.99,,,,2.0,3973139.751,494889.205,,
70,70,标贯孔,20.44,14.7,,,2.4,18.04,,,,6.0,3973137.339,494917.883,,
71,71,取土与标贯孔,21.22,14.5,,,1.9,19.32,,1.0,,3.0,3973136.64,494947.295,,
72,72,取土与标贯孔,21.93,15.3,,,2.8,19.13,,1.0,,7.0,3973136.64,494970.895,,
73,73,标贯孔,20.99,14.8,,,2.0,18.99,,,,3.0,3973137.313,494999.976,,
74,74,取土与标贯孔,22.58,15.4,,,2.5,20.08,,1.0,,4.0,3973139.74,495028.985,,
75,75,取土与标贯孔,22.08,15.0,,,2.0,20.08,,2.0,,5.0,3973132.225,495043.902,,
76,合计,,,1128.0,,,,,,14.0,,207.0,,,,
