附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-序号-序号,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-材料名称及规格型号-材料名称及规格型号,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-单位-单位,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-2012年5月份信息价-吐鲁番市,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-2012年5月份信息价-鄯善县,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-2012年5月份信息价-托克逊县
37,热轧带肋钢筋 HRB400E Φ32,t,5220.0,5250.0,5210.0
38,热轧带肋钢筋 HRB400E Φ36以上,t,5321.0,5351.0,5311.0
39,热轧带肋钢筋 HRB500E Φ10,t,5491.0,5520.1,5481.0
40,热轧带肋钢筋 HRB500E Φ12,t,5441.0,5471.0,5431.0
41,热轧带肋钢筋 HRB500E Φ14,t,5441.0,5471.0,5431.0
42,热轧带肋钢筋 HRB500E Φ16,t,5191.0,5221.0,5181.0
43,热轧带肋钢筋 HRB500E Φ18,t,5191.0,5221.0,5181.0
44,热轧带肋钢筋 HRB500E Φ20,t,5191.0,5221.0,5181.0
45,热轧带肋钢筋 HRB500E Φ22,t,5191.0,5221.0,5181.0
46,热轧带肋钢筋 HRB500E Φ25,t,5191.0,5221.0,5181.0
47,热轧带肋钢筋 HRB500E Φ28,t,5471.0,5501.0,5461.0
48,热轧带肋钢筋 HRB500E Φ30,t,5471.0,5501.0,5461.0
49,热轧带肋钢筋 HRB500E Φ32,t,5471.0,5501.0,5461.0
50,热轧带肋钢筋 HRB500E Φ36以上,t,5571.0,5601.0,5561.0
51,带肋钢筋盘条 HPB335 Φ8,t,4939.0,4969.0,4929.0
52,带肋钢筋盘条 HPB335 Φ10-14,t,4840.0,4870.0,4830.0
53,带肋钢筋盘条 HPB400 Φ8,t,5140.0,5170.0,5130.0
54,带肋钢筋盘条 HPB400 Φ10-14,t,5040.0,5070.0,5030.0
55,带肋钢筋盘条 HPB500 Φ8,t,5390.0,5420.0,5380.0
56,带肋钢筋盘条 HPB500 Φ10-14,t,5290.4,5320.0,5280.0
57,冷拔低碳钢丝Φ5以下,t,4774.0,4810.0,4768.0
58,冷轧带肋钢筋Φ5,t,4784.0,4820.0,4778.0
59,冷轧带肋钢筋Φ6,t,4784.0,4820.0,4778.0
60,冷轧带肋钢筋Φ7,t,4784.0,4820.0,4778.0
61,冷轧带肋钢筋Φ8,t,4784.0,4820.0,4778.0
62,冷轧带肋钢筋Φ9,t,4784.0,4820.0,4778.0
63,冷轧带肋钢筋Φ10,t,4784.0,4820.0,4778.0
64,热轧扁钢 Q235 12×4,t,4754.0,4790.0,4748.0
65,热轧扁钢 Q235 14×3,t,4754.0,4790.0,4748.0
66,热轧扁钢 Q235 14×4,t,4754.0,4790.0,4748.0
67,热轧扁钢 Q235 14×5,t,4754.0,4790.0,4748.0
68,热轧扁钢 Q235 14×6,t,4754.0,4790.0,4748.0
69,热轧扁钢 Q235 16×4,t,4754.0,4790.0,4748.0
70,热轧扁钢 Q235 20×3,t,4754.0,4790.0,4748.0
71,热轧扁钢 Q235 20×4,t,4754.0,4790.0,4748.0
72,热轧扁钢 Q235 24×4,t,4754.0,4790.0,4748.0
73,热轧扁钢 Q235 25×3,t,4754.0,4790.0,4748.0
74,热轧扁钢 Q235 25×4,t,4754.0,4790.0,4748.0
75,热轧扁钢 Q235 25×5,t,4754.0,4790.0,4748.0
76,热轧扁钢 Q235 25×6,t,4754.0,4790.0,4748.0
77,热轧扁钢 Q235 30×3,t,4754.0,4790.0,4748.0
78,热轧扁钢 Q235 30×4,t,4754.0,4790.0,4748.0
79,热轧扁钢 Q235 30×5,t,4754.0,4790.0,4748.0
80,热轧扁钢 Q235 30×6,t,4754.0,4790.0,4748.0
81,热轧扁钢 Q235 32×4,t,4754.0,4790.0,4748.0
82,热轧扁钢 Q235 35×4,t,4754.0,4790.0,4748.0
83,热轧扁钢 Q235 36×6,t,4754.0,4790.0,4748.0
84,热轧扁钢 Q235 40×4,t,4754.0,4790.0,4748.0
85,热轧扁钢 Q235 40×5,t,4754.0,4790.0,4748.0
86,热轧扁钢 Q235 40×6,t,4754.0,4790.0,4748.0
87,热轧扁钢 Q235 45×4,t,4754.0,4790.0,4748.0
88,热轧扁钢 Q235 50×4,t,4754.0,4790.0,4748.0
89,热轧扁钢 Q235 50×5,t,4754.0,4790.0,4748.0
90,热轧扁钢 Q235 50×6,t,4754.0,4790.0,4748.0
91,热轧扁钢 Q235 60×6,t,4754.0,4790.0,4748.0
92,热轧扁钢 Q235 65×5,t,4754.0,4790.0,4748.0
93,热轧扁钢 Q235 70×4,t,4654.0,4690.0,4648.0
94,热轧扁钢 Q235 100×10,t,4654.0,4690.0,4648.0
95,热轧槽钢 Q235 5,t,4734.0,4770.0,4728.0
96,热轧槽钢 Q235 8,t,4734.0,4770.0,4728.0
97,热轧槽钢 Q235 10,t,4734.0,4770.0,4728.0
98,热轧槽钢 Q235 12.6,t,4734.0,4770.0,4728.0
99,热轧槽钢 Q235 16a,t,4734.0,4770.0,4728.0
100,热轧槽钢 Q235 20,t,4734.0,4770.0,4728.0
101,热轧槽钢 Q235 28a,t,4734.0,4770.0,4728.0
102,热轧普通钢板 Q235 δ1（冷板）,t,5134.0,5170.0,5128.0
103,热轧普通钢板 Q235 δ1.5（冷板）,t,5134.0,5170.0,5128.0
104,热轧普通钢板 Q235 δ2,t,4734.0,4770.0,4728.0
105,热轧普通钢板 Q235 δ3,t,4734.0,4770.0,4728.0
106,热轧普通钢板 Q235 δ4,t,4734.0,4770.0,4728.0
107,热轧普通钢板 Q235 δ5,t,4734.0,4770.0,4728.0
108,热轧普通钢板 Q235 δ6,t,4734.0,4770.0,4728.0
109,热轧普通钢板 Q235 δ8,t,4554.0,4590.0,4548.0
110,热轧普通钢板 Q235 δ10,t,4414.0,4450.0,4408.0
111,热轧普通钢板 Q235 δ12,t,4374.0,4410.0,4368.0
112,热轧普通钢板 Q235 δ14,t,4324.0,4360.0,4318.0
113,热轧普通钢板 Q235 δ16,t,4384.0,4420.0,4378.0
114,热轧普通钢板 Q235 δ18,t,4384.0,4420.0,4378.0
115,热轧普通钢板 Q235 δ20,t,4384.0,4420.0,4378.0
116,热轧普通钢板 Q235 δ24,t,4384.0,4420.0,4378.0
117,热轧普通钢板 Q235 δ25,t,4384.0,4420.0,4378.0
118,热轧普通钢板 Q235 δ28,t,4484.0,4520.0,4478.0
119,热轧普通钢板 Q235 δ30,t,4484.0,4520.0,4478.0
120,热轧普通钢板 Q235 δ35,t,4484.0,4520.0,4478.0
121,热轧普通钢板 Q235 δ40,t,4484.0,4520.0,4478.0
122,热轧普通钢板 Q235 δ42,t,4484.0,4520.0,4478.0
123,热轧普通钢板 Q235 δ45,t,4484.0,4520.0,4478.0
124,热轧普通钢板 Q235 δ50,t,4484.0,4520.0,4478.0
125,热轧普通钢板 Q235 δ60,t,4484.0,4520.0,4478.0
126,热轧工字钢 I20a,t,4884.0,4920.0,4878.0
127,热轧工字钢 I25a,t,4884.0,4920.0,4878.0
128,热轧工字钢 I28a,t,4884.0,4920.0,4878.0
129,热轧不等边角钢 Q235 63×40×4,t,4684.0,4720.0,4678.0
130,热轧不等边角钢 Q235 75×50×6,t,4684.0,4720.0,4678.0
131,热轧不等边角钢 Q235 80×50×6,t,4734.0,4770.0,4728.0
132,热轧不等边角钢 Q235 90×56×6,t,4734.0,4770.0,4728.0
133,热轧不等边角钢 Q235 100×60×10,t,4784.0,4820.0,4778.0
134,热轧不等边角钢 Q235 100×63×6,t,4784.0,4820.0,4778.0
135,热轧不等边角钢 Q235 100×63×8,t,4784.0,4820.0,4778.0
136,热轧不等边角钢 Q235 100×63×10,t,4784.0,4820.0,4778.0
137,热轧不等边角钢 Q235 100×75×10,t,4784.0,4820.0,4778.0
138,热轧不等边角钢 Q235 100×80×6,t,4784.0,4820.0,4778.0
139,热轧不等边角钢 Q235 100×80×7,t,4784.0,4820.0,4778.0
140,热轧不等边角钢 Q235 110×70×6,t,4764.0,4800.0,4758.0
141,热轧不等边角钢 Q235 110×70×8,t,4764.0,4800.0,4758.0
142,热轧不等边角钢 Q235 125×80×7,t,4834.0,4870.0,4828.0
143,热轧不等边角钢 Q235 125×80×8,t,4834.0,4870.0,4828.0
144,热轧不等边角钢 Q235 125×80×10,t,4834.0,4870.0,4828.0
145,热轧不等边角钢 Q235 140×90×10,t,4884.0,4920.0,4878.0
146,热轧不等边角钢 Q235 140×90×12,t,4884.0,4920.0,4878.0
147,热轧不等边角钢 Q235 160×100×10,t,4834.0,4870.0,4828.0
148,热轧不等边角钢 Q235 160×100×12,t,4834.0,4870.0,4828.0
149,热轧不等边角钢 Q235 180×110×10,t,4784.0,4820.0,4778.0
150,热轧不等边角钢 Q235 180×110×12,t,4784.0,4820.0,4778.0
151,热轧不等边角钢 Q235 200×125×12,t,4884.0,4920.0,4878.0
152,热轧等边角钢   Q235 20×3,t,4724.0,4760.0,4718.0
153,热轧等边角钢   Q235 25×3,t,4724.0,4760.0,4718.0
154,热轧等边角钢   Q235 25×4,t,4724.0,4760.0,4718.0
155,热轧等边角钢   Q235 30×3,t,4724.0,4760.0,4718.0
156,热轧等边角钢   Q235 30×4,t,4724.0,4760.0,4718.0
157,热轧等边角钢   Q235 32×4,t,4724.0,4760.0,4718.0
158,热轧等边角钢   Q235 32×6,t,4724.0,4760.0,4718.0
159,热轧等边角钢   Q235 35×4,t,4724.0,4760.0,4718.0
160,热轧等边角钢   Q235 36×4,t,4724.0,4760.0,4718.0
161,热轧等边角钢   Q235 40×3,t,4724.0,4760.0,4718.0
162,热轧等边角钢   Q235 40×4,t,4724.0,4760.0,4718.0
163,热轧等边角钢   Q235 40×5,t,4724.0,4760.0,4718.0
164,热轧等边角钢   Q235 45×4,t,4664.0,4700.0,4658.0
165,热轧等边角钢   Q235 45×5,t,4664.0,4700.0,4658.0
166,热轧等边角钢   Q235 45×6,t,4664.0,4700.0,4658.0
167,热轧等边角钢   Q235 50×4,t,4714.0,4750.0,4708.0
168,热轧等边角钢   Q235 50×5,t,4714.0,4750.0,4708.0
169,热轧等边角钢   Q235 50×6,t,4714.0,4750.0,4708.0
170,热轧等边角钢   Q235 56×5,t,4734.0,4770.0,4728.0
171,热轧等边角钢   Q235 56×6,t,4734.0,4770.0,4728.0
172,热轧等边角钢   Q235 56×8,t,4734.0,4770.0,4728.0
173,热轧等边角钢   Q235 63×5,t,4714.0,4750.0,4708.0
174,热轧等边角钢   Q235 63×6,t,4714.0,4750.0,4708.0
175,热轧等边角钢   Q235 70×5,t,4734.0,4770.0,4728.0
176,热轧等边角钢   Q235 70×6,t,4734.0,4770.0,4728.0
177,热轧等边角钢   Q235 75×5,t,4734.0,4770.0,4728.0
178,热轧等边角钢   Q235 75×6,t,4734.0,4770.0,4728.0
179,热轧等边角钢   Q235 75×8,t,4734.0,4770.0,4728.0
180,热轧等边角钢   Q235 80×5,t,4684.0,4720.0,4678.0
181,热轧等边角钢   Q235 80×6,t,4684.0,4720.0,4678.0
182,热轧等边角钢   Q235 80×7,t,4684.0,4720.0,4678.0
183,热轧等边角钢   Q235 90×6,t,4684.0,4720.0,4678.0
184,热轧等边角钢   Q235 90×8,t,4684.0,4720.0,4678.0
185,热轧等边角钢   Q235 90×10,t,4684.0,4720.0,4678.0
186,热轧等边角钢   Q235 100×7,t,4684.0,4720.0,4678.0
187,热轧等边角钢   Q235 100×10,t,4684.0,4720.0,4678.0
188,热轧等边角钢   Q235 100×16,t,4684.0,4720.0,4678.0
189,热轧等边角钢   Q235 110×8,t,4684.0,4720.0,4678.0
190,热轧等边角钢   Q235 125×14,t,4684.0,4720.0,4678.0
191,热轧等边角钢   Q235 140×12,t,4684.0,4720.0,4678.0
192,热轧等边角钢   Q235 200×16,t,4684.0,4720.0,4678.0
193,热轧等边角钢   Q235 200×20,t,4684.0,4720.0,4678.0
194,镀锌铁皮0.25mm,t,5384.0,5420.0,5378.0
195,镀锌铁皮0.3mm,t,5384.0,5420.0,5378.0
196,镀锌铁皮0.4mm,t,5384.0,5420.0,5378.0
197,镀锌铁皮0.5mm,t,5384.0,5420.0,5378.0
198,镀锌铁皮0.6mm,t,5034.0,5070.0,5028.0
199,镀锌铁皮0.7mm,t,5034.0,5070.0,5028.0
200,镀锌铁皮0.8mm,t,5034.0,5070.0,5028.0
201,镀锌铁皮0.9mm,t,5034.0,5070.0,5028.0
202,镀锌铁皮1.0mm,t,5034.0,5070.0,5028.0
203,镀锌铁丝8#,t,5384.0,5420.0,5378.0
204,镀锌铁丝10#,t,5434.0,5470.0,5428.0
205,镀锌铁丝12#,t,5434.0,5470.0,5428.0
206,镀锌铁丝14#,t,5484.0,5520.0,5478.0
207,镀锌铁丝16#,t,5884.0,5920.0,5878.0
208,镀锌铁丝18#,t,5934.0,5970.0,5928.0
209,镀锌铁丝20#,t,5884.0,5920.0,5878.0
210,镀锌铁丝22#,t,5914.0,5950.0,5908.0
211,焊接钢管 DN15,t,5164.0,5200.0,5158.0
212,焊接钢管 DN20,t,5084.0,5120.0,5078.0
213,焊接钢管 DN25,t,4934.0,4970.0,4928.0
214,焊接钢管 DN32,t,4934.0,4970.0,4928.0
215,焊接钢管 DN40,t,4764.0,4800.0,4758.0
216,焊接钢管 DN50,t,4934.0,4970.0,4928.0
217,焊接钢管 DN70,t,4914.0,4950.0,4908.0
218,焊接钢管 DN80,t,4914.0,4950.0,4908.0
219,焊接钢管 DN100,t,4884.0,4920.0,4878.0
220,焊接钢管 DN125,t,4984.0,5020.0,4978.0
221,焊接钢管 DN150,t,4984.0,5020.0,4978.0
222,镀锌钢管 DN15(热镀管）,t,5734.0,5770.0,5728.0
223,镀锌钢管 DN20(热镀管）,t,5734.0,5770.0,5728.0
224,镀锌钢管 DN25(热镀管）,t,5484.0,5520.0,5478.0
225,镀锌钢管 DN32(热镀管）,t,5484.0,5520.0,5478.0
226,镀锌钢管 DN40(热镀管）,t,5484.0,5520.0,5478.0
227,镀锌钢管 DN50(热镀管）,t,5484.0,5520.0,5478.0
228,镀锌钢管 DN70(热镀管）,t,5484.0,5520.0,5478.0
229,镀锌钢管 DN80(热镀管）,t,5434.0,5470.0,5428.0
230,镀锌钢管 DN100(热镀管）,t,5284.0,5320.0,5278.0
231,镀锌钢管 DN125(热镀管）,t,5334.0,5370.0,5328.0
232,镀锌钢管 DN150(热镀管）,t,5334.0,5370.0,5328.0
233,热轧无缝管 DN12×2,t,6284.0,6320.0,6278.0
234,热轧无缝管 DN14×2,t,6284.0,6320.0,6278.0
235,热轧无缝管 DN48×5,t,5334.0,5370.0,5328.0
236,热轧无缝管 DN89×4,t,5184.0,5220.0,5178.0
237,热轧无缝管 DN159×5,t,5334.0,5370.0,5328.0
238,热轧无缝管 DN219×8,t,5484.0,5520.0,5478.0
239,热轧无缝管 DN377×10,t,5684.0,5720.0,5678.0
240,一等板材（烤）,m3,1610.0,1610.0,1610.0
241,二等板材（烤）,m3,1520.0,1520.0,1520.0
242,一等方材（烤）,m3,1610.0,1610.0,1610.0
243,二等方材（烤）,m3,1520.0,1520.0,1520.0
244,白水泥,t,850.0,850.0,850.0
245,普通硅酸盐水泥（R）复合32.5,t,320.0,330.0,330.0
246,普通硅酸盐水泥（R）42.5,t,390.0,420.0,420.0
247,普通硅酸盐水泥（R）52.5,t,800.0,800.0,800.0
248,EPS外墙保温板 干容重≥20kg/m3,m3,330.0,330.0,320.0
249,EPS外墙保温板 干容重≥22kg/m3,m3,360.0,360.0,360.0
250,纯陶粒空心砌块,m3,230.0,230.0,230.0
251,加气混凝土块,m3,360.0,360.0,360.0
252,多孔砖,千块,420.0,430.0,420.0
253,普通粘土砖,千块,310.0,310.0,310.0
254,毛石,m3,30.0,50.0,50.0
255,粗料石,m3,30.0,50.0,50.0
256,砂,m3,40.0,45.0,40.0
257,细砂,m3,40.0,45.0,40.0
258,中(粗)砂,m3,40.0,45.0,40.0
259,中(细)砂,m3,45.0,50.0,45.0
260,中砂(干净),m3,40.0,45.0,40.0
261,天然中(粗)砂,m3,40.0,45.0,40.0
262,粗砂,m3,40.0,45.0,40.0
263,粒砂,m3,40.0,45.0,40.0
264,砂粒,m3,40.0,45.0,40.0
265,砾石,m3,15.0,15.0,15.0
266,砾石10,m3,15.0,15.0,15.0
267,砾石10mm以内,m3,15.0,15.0,15.0
268,砾石20,m3,15.0,15.0,15.0
269,砾石20mm以内,m3,15.0,15.0,15.0
270,砾石40,m3,15.0,15.0,15.0
271,砾石40mm以内,m3,15.0,15.0,15.0
272,碎石5mm,m3,15.0,15.0,15.0
273,碎石10mm,m3,15.0,15.0,15.0
274,碎石15mm,m3,15.0,15.0,15.0
275,碎石20mm,m3,15.0,15.0,15.0
276,碎石25mm,m3,15.0,15.0,15.0
277,碎石30mm,m3,15.0,15.0,15.0
278,碎石40mm,m3,15.0,15.0,15.0
279,碎石50mm,m3,15.0,15.0,15.0
280,碎石60mm,m3,15.0,15.0,15.0
281,碎石70mm,m3,15.0,15.0,15.0
282,60系列单框双玻塑钢平开窗(不含安装费)(注1),m2,245.0,240.0,245.0
283,65系列单框双玻塑钢平开窗(不含安装费)(注1),m2,280.0,285.0,280.0
284,65系列单框三玻塑钢平开窗(不含安装费)(注1),m2,320.0,345.0,345.0
285,70系列单框三玻塑钢平开窗(不含安装费)(注1),m2,370.0,370.0,370.0
286,65系列单框双玻塑钢平开门(不含安装费)(注1),m2,345.0,345.0,345.0
287,65系列单框双玻断桥隔热铝合金平开窗(不含安装费)(注2),m2,550.0,550.0,550.0
288,65系列单框三玻断桥隔热铝合金平开窗(不含安装费)(注2),m2,600.0,600.0,600.0
289,65系列单框双玻断桥隔热铝合金平开门(不含安装费)(注2),m2,980.0,980.0,980.0
290,铜芯橡皮绝缘线BX1.5,m,1.051,1.061,1.046
291,铜芯橡皮绝缘线BX2.5,m,1.678,1.695,1.67
292,铜芯橡皮绝缘线BX4,m,2.76,2.787,2.747
293,铜芯橡皮绝缘线BX6,m,4.078,4.118,4.058
294,铜芯橡皮绝缘线BX10,m,6.728,6.794,6.695
295,铜芯橡皮绝缘线BX16,m,10.257,10.358,10.207
296,铜芯橡皮绝缘线BX25,m,16.546,16.708,16.465
297,铜芯橡皮绝缘线BX35,m,21.549,21.76,21.444
298,铜芯橡皮绝缘线BX50,m,30.661,30.962,30.511
299,铝芯橡皮绝缘线BLX2.5,m,0.627,0.633,0.624
300,铝芯橡皮绝缘线BLX4,m,0.878,0.887,0.874
301,铝芯橡皮绝缘线BLX6,m,1.161,1.172,1.155
302,铝芯橡皮绝缘线BLX10,m,2.117,2.138,2.107
303,铝芯橡皮绝缘线BLX16,m,2.949,2.977,2.934
304,铝芯橡皮绝缘线BLX25,m,4.611,4.656,4.588
305,铝芯橡皮绝缘线BLX35,m,5.819,5.876,5.79
306,铝芯橡皮绝缘线BLX50,m,7.607,7.681,7.569
307,铝芯橡皮绝缘线BLX70,m,10.508,10.611,10.456
308,铝芯橡皮绝缘线BLX95,m,13.943,14.079,13.874
309,铝芯橡皮绝缘线BLX120,m,16.562,16.724,16.481
310,铜芯塑料绝缘线BV1.5,m,0.925,0.934,0.921
311,铜芯塑料绝缘线BV2.5,m,1.459,1.473,1.451
312,铜芯塑料绝缘线BV4,m,2.4,2.423,2.388
313,铜芯塑料绝缘线BV6,m,3.544,3.579,3.527
314,铜芯塑料绝缘线BV10,m,5.85,5.907,5.821
315,铜芯塑料绝缘线BV16,m,8.924,9.011,8.88
316,铜芯塑料绝缘线BV25,m,14.397,14.539,14.327
317,铜芯塑料绝缘线BV35,m,18.742,18.926,18.65
318,铜芯塑料绝缘线BV50,m,26.662,26.923,26.531
319,铜芯塑料绝缘线BV70,m,37.17,37.534,36.988
320,铜芯塑料绝缘线BV95,m,50.438,50.933,50.191
321,铝芯塑料绝缘线BLV2.5,m,0.455,0.459,0.453
322,铝芯塑料绝缘线BLV4,m,0.627,0.633,0.624
323,铝芯塑料绝缘线BLV6,m,0.91,0.919,0.905
324,阻燃塑料铜芯线  ZRBV-1.5,m,0.941,0.95,0.936
325,阻燃塑料铜芯线  ZRBV-2.5,m,1.474,1.489,1.467
326,阻燃塑料铜芯线  ZRBV-4,m,2.447,2.471,2.435
327,阻燃塑料铜芯线  ZRBV-6,m,3.607,3.643,3.59
328,阻燃塑料铜芯线  ZRBV-10,m,5.96,6.018,5.931
329,阻燃塑料铜芯线  ZRBV-16,m,9.096,9.186,9.052
330,阻燃塑料铜芯线  ZRBV-25,m,14.68,14.824,14.608
331,阻燃塑料铜芯线  ZRBV-35,m,19.118,19.306,19.024
332,阻燃塑料铜芯线  ZRBV-50,m,27.195,27.462,27.062
333,阻燃塑料铜芯线  ZRBV-70,m,37.907,38.279,37.721
334,阻燃塑料铜芯线  ZRBV-95,m,51.442,51.946,51.19
335,耐火塑料铜芯线  NH-BV-1.5,m,1.019,1.029,1.014
336,耐火塑料铜芯线  NH-BV-2.5,m,1.6,1.615,1.592
337,耐火塑料铜芯线  NH-BV-4,m,2.635,2.661,2.622
338,耐火塑料铜芯线  NH-BV-6,m,3.89,3.928,3.87
339,耐火塑料铜芯线  NH-BV-10,m,6.43,6.493,6.399
340,耐火塑料铜芯线  NH-BV-16,m,9.818,9.914,9.77
341,耐火塑料铜芯线  NH-BV-25,m,15.84,15.996,15.763
342,耐火塑料铜芯线  NH-BV-35,m,20.608,20.81,20.507
343,耐火塑料铜芯线  NH-BV-50,m,29.328,29.616,29.184
344,耐火塑料铜芯线  NH-BV-70,m,40.887,41.288,40.687
345,耐火塑料铜芯线  NH-BV-95,m,55.473,56.016,55.201
346,无卤塑料铜芯线  WL-BV-1.5,m,1.066,1.077,1.061
347,无卤塑料铜芯线  WL-BV-2.5,m,1.631,1.647,1.623
348,无卤塑料铜芯线  WL-BV-4,m,2.651,2.677,2.638
349,无卤塑料铜芯线  WL-BV-6,m,3.842,3.88,3.824
350,无卤塑料铜芯线  WL-BV-10,m,6.195,6.256,6.165
351,无卤塑料铜芯线  WL-BV-16,m,9.332,9.423,9.286
352,无卤塑料铜芯线  WL-BV-25,m,14.978,15.125,14.904
353,无卤塑料铜芯线  WL-BV-35,m,19.432,19.622,19.337
354,无卤塑料铜芯线  WL-BV-50,m,27.478,27.747,27.343
355,无卤塑料铜芯线  WL-BV-70,m,38.048,38.421,37.862
356,无卤塑料铜芯线  WL-BV-95,m,51.63,52.136,51.377
357,辐照塑料铜芯线  BYJ(F)-1.5,m,1.114,1.124,1.108
358,辐照塑料铜芯线  BYJ(F)-2.5,m,1.788,1.805,1.779
359,辐照塑料铜芯线  BYJ(F)-4,m,2.917,2.946,2.903
360,辐照塑料铜芯线  BYJ(F)-6,m,4.219,4.26,4.198
361,辐照塑料铜芯线  BYJ(F)-10,m,6.916,6.984,6.883
362,辐照塑料铜芯线  BYJ(F)-16,m,9.787,9.882,9.739
363,辐照塑料铜芯线  BYJ(F)-25,m,15.715,15.869,15.638
364,辐照塑料铜芯线  BYJ(F)-35,m,20.389,20.588,20.289
365,辐照塑料铜芯线  BYJ(F)-50,m,28.842,29.125,28.701
366,辐照塑料铜芯线  BYJ(F)-70,m,39.946,40.338,39.75
367,辐照塑料铜芯线  BYJ(F)-95,m,54.202,54.734,53.937
368,SBS改性防水卷材（国际 聚脂胎35#）,m2,26.112,26.368,25.984
369,石油沥青 100#,t,5219.0,5255.0,5213.0
370,水,m3,2.5,2.5,2.5
371,电,kwh,0.55,0.55,0.55
372,柴油0#,kg,8.37,8.68,8.68
373,柴油-10#,kg,8.872,8.872,8.872
374,柴油-20#,kg,9.291,9.291,9.291
375,汽油90#,kg,9.085,9.085,9.085
376,汽油93#,kg,9.63,9.63,9.63
377,汽油97#,kg,10.176,10.176,10.176
378,电焊条,kg,6.5,6.5,6.5
