任务名称,资源名称,工时完成百分比,工时,单位
嘉松公路道路景观改造方案报批,工程部,0%,96 工时,100%
六号公路景观改造方案报批,工程部,0%,96 工时,100%
取得规划审查意见通知书,研发部,0%,160 工时,100%
可行性研究报告编制,发展部,0%,712 工时,100%
选定可研编制代理单位,发展部,0%,96 工时,100%
项目建议书编制,发展部,0%,280 工时,100%
可研报告编制,发展部,0%,280 工时,100%
项目建议书审批,发展部,0%,80 工时,100%
可行性研究报告审批,发展部,0%,80 工时,100%
办理项目立项，领取IC卡,工程部,0%,16 工时,100%
建筑方案设计,研发部,0%,512 工时,100%
建筑方案设计任务书调整、确认（如有必要）,研发部,0%,40 工时,100%
设计工作过程管理、方案内部确认（每周一、周五两次例会）,研发部,0%,200 工时,100%
与政府规划部门沟通（建管科）,研发部,0%,56 工时,100%
建筑方案审批,研发部,0%,120 工时,100%
方案设计成果验算及初设指导,项目团队,0%,512 工时,100%
12、《方案设计成果》,研发部,0%,40 工时,100%
13、《景观方案与建筑方案的配合及指导意见》,研发,0%,40 工时,100%
14、《精装房方案与建筑方案的配合及指导意见》（如有）,研发部,0%,40 工时,100%
15、《成本测算及验算》,造价部,0%,160 工时,100%
完成方案阶段产品配置标准,营销部,0%,8 工时,100%
方案阶段内部讨论,项目团队,0%,8 工时,100%
完成方案版目标成本的测算,造价部,0%,152 工时,100%
16、《投资验算》（方案）,计财部,0%,176 工时,100%
方案阶段销售进度与售价预期,营销部,0%,8 工时,100%
方案版目标成本的测算,造价部,0%,8 工时,100%
17、《初步设计任务书》,研发,0%,40 工时,100%
项目负责人审核并提交PMO会议,项目负责人,0%,24 工时,100%
PMO会议审核及论证,PMO,0%,16 工时,100%
提交集团审批,PMO召集人,0%,24 工时,100%
3、完成方案设计,研发部,0%,0 工时,100%
提出《方案版产品清单》和《方案版价格预测表》,营销部,0%,56 工时,100%
确定案名,营销部,0%,56 工时,100%
初步设计,研发部,0%,696 工时,100%
发出初步设计任务书,研发部,0%,40 工时,100%
完成初步设计,研发部,0%,336 工时,100%
市政配套方案审批,研发部,0%,240 工时,100%
市政配套方案审批,工程部,0%,240 工时,100%
水务,研发部,0%,120 工时,100%
水务,工程部,0%,120 工时,100%
供电,研发部,0%,120 工时,100%
供电,工程部,0%,120 工时,100%
燃气,研发部,0%,120 工时,100%
燃气,工程部,0%,120 工时,100%
人防,研发部,0%,240 工时,100%
初步设计审批,研发部,0%,88 工时,100%
初步设计成果公司内部交底(计财、工程、营销、造价采购),研发部,0%,56 工时,100%
初步设计成果验算及施设指导,项目团队,0%,152 工时,100%
18、《初步设计成果》,研发部,0%,56 工时,100%
19、《景观方案设计成果》,研发部,0%,56 工时,100%
20、《精装房方案设计任务书》（如有）,研发部,0%,56 工时,100%
21、《投资验算及分析（初设）》,计财部,0%,56 工时,100%
22、《项目目标成本》,计财部,0%,56 工时,100%
目标成本分解,计财部,0%,56 工时,100%
23、《项目销售指标》,计财部,0%,56 工时,100%
项目负责人审核并提交PMO会议,项目负责人,0%,56 工时,100%
PMO会议审核及论证,PMO,0%,16 工时,100%
提交集团审批,PMO召集人,0%,24 工时,100%
提出《初设版产品清单》,营销部,0%,56 工时,100%
提出《初设版价格预测表》,营销部,0%,56 工时,100%
4、完成初步设计,研发部,0%,0 工时,100%
施工图设计,研发部,0%,"2,200 工时",100%
地质勘探,工程部,0%,920 工时,100%
初勘,工程部,0%,240 工时,100%
详勘,工程部,0%,240 工时,100%
完成桩位图和基础施工图,研发部,0%,200 工时,100%
完成施工图设计,研发部,0%,320 工时,100%
施工图设计文件审批（审图机构、防雷办、民防办）,研发部,0%,80 工时,100%
取得建设工程规划许可证,研发部,0%,160 工时,100%
准备资料,研发部,0%,24 工时,100%
申领建设工程规划许可证,研发部,0%,160 工时,100%
市政配套专业施工图设计,研发部,0%,984 工时,100%
市政配套方案设计,研发部,0%,240 工时,100%
市政配套方案设计,工程部,0%,240 工时,100%
供电,研发部,0%,120 工时,100%
供电,工程部,0%,120 工时,100%
燃气,研发部,0%,240 工时,100%
燃气,工程部,0%,240 工时,100%
给水,研发部,0%,240 工时,100%
给水,工程部,0%,240 工时,100%
通讯,研发部,0%,240 工时,100%
通讯,工程部,0%,240 工时,100%
小区综合管网图,研发部,0%,80 工时,100%
小区综合管网图,工程部,0%,80 工时,100%
市政配套施工图,研发部,0%,240 工时,100%
市政配套施工图,工程部,0%,240 工时,100%
供电,研发部,0%,240 工时,100%
供电,工程部,0%,240 工时,100%
燃气,研发部,0%,240 工时,100%
燃气,工程部,0%,240 工时,100%
给水,研发部,0%,240 工时,100%
给水,工程部,0%,240 工时,100%
通讯,研发部,0%,240 工时,100%
通讯,工程部,0%,240 工时,100%
人防,研发部,0%,320 工时,100%
人防,工程部,0%,320 工时,100%
市政景观,研发部,0%,240 工时,100%
市政景观,工程部,0%,240 工时,100%
市政绿化施工图审批,工程部,0%,120 工时,100%
河道驳岸治理施工方案审批,工程部,0%,120 工时,100%
施工图内部交底,研发部,0%,80 工时,100%
5、完成施工图设计,研发部,0%,0 工时,100%
提出《施工围墙包装方案》,营销部,0%,120 工时,100%
景观设计,研发部,0%,"1,080 工时",100%
完成景观概念方案设计并交底,研发部,0%,360 工时,100%
完成景观扩初设计并交底,研发部,0%,240 工时,100%
完成景观施工图设计并移交,研发部,0%,480 工时,100%
示范区设计,研发部,0%,776 工时,100%
建筑设计,研发部,0%,240 工时,100%
景观设计,研发部,0%,160 工时,100%
室内设计,研发部,0%,536 工时,100%
发出精装修方案设计任务书,研发部,0%,56 工时,100%
会所,研发部,0%,56 工时,100%
样板房,研发部,0%,56 工时,100%
完成精装修方案设计并交底,研发部,0%,240 工时,100%
完成精装修施工图设计并移交,研发部,0%,240 工时,100%
精装房设计（如有）,研发部,0%,720 工时,100%
精装房方案设计,研发部,0%,320 工时,100%
精装房施工图设计,研发部,0%,400 工时,100%
导示系统设计,研发部,0%,560 工时,100%
签定导示系统设计合同,研发部,0%,80 工时,100%
完成导示系统设计并移交,研发部,0%,480 工时,100%
施工准备,工程部,0%,"4,112 工时",100%
三通一平工程,工程部,0%,256 工时,100%
临时水,工程部,0%,256 工时,100%
临水方案,工程部,0%,56 工时,100%
临水合同,造价部,0%,24 工时,100%
临水实施,工程部,0%,200 工时,100%
临时电,工程部,0%,256 工时,100%
临电方案,工程部,0%,56 工时,100%
临电合同,造价部,0%,24 工时,100%
临电实施,工程部,0%,200 工时,100%
临时路,工程部,0%,256 工时,100%
临时路方案,工程部,0%,80 工时,100%
临时路实施,工程部,0%,176 工时,100%
场地平整,工程部,0%,184 工时,100%
场地平整方案,工程部,0%,24 工时,100%
场地清淤,工程部,0%,160 工时,100%
土方平衡,工程部,0%,160 工时,100%
场地测量,工程部,0%,200 工时,100%
场地测量,工程部,0%,360 工时,100%
放线钉桩,工程部,0%,80 工时,100%
场地方格网标高测量,工程部,0%,56 工时,100%
地下物探测,工程部,0%,56 工时,100%
现场临时设施,工程部,0%,216 工时,100%
临时办公用房,工程部,0%,216 工时,100%
制定办公用房方案,工程部,0%,56 工时,100%
办公房定标,造价部,0%,56 工时,100%
现场办公房搭建,工程部,0%,480 工时,100%
办公用房的机电安装、网络,工程部,0%,56 工时,100%
临时围墙,工程部,0%,216 工时,100%
临时围墙方案,研发部,0%,56 工时,100%
临时围墙合同,造价部,0%,24 工时,100%
临时围墙施工单位确定,造价部,0%,56 工时,100%
临时围墙施工单位确定,工程部,0%,56 工时,100%
临时围墙实施,工程部,0%,80 工时,100%
工程前期施工合同,造价部,0%,"4,112 工时",100%
总承包合同,造价部,0%,944 工时,100%
总承包标区划分方案,工程部,0%,24 工时,100%
造价咨询合同签订,造价部,0%,240 工时,100%
施工单位考察,工程部,0%,240 工时,100%
施工单位考察,造价部,0%,240 工时,100%
总包合同定标,造价部,0%,240 工时,100%
总包合同签订,造价部,0%,80 工时,100%
监理合同,造价部,0%,144 工时,100%
考察监理单位,工程部,0%,80 工时,100%
监理单位招标,造价部,0%,40 工时,100%
签订监理合同,造价部,0%,24 工时,100%
土石方工程施工合同,造价部,0%,168 工时,100%
考察土石方单位,工程部,0%,112 工时,100%
土石方工程招标,造价部,0%,40 工时,100%
确定土石方施工单位,造价部,0%,16 工时,100%
签订土石方施工合同,造价部,0%,16 工时,100%
相关甲供材料/设备合同,造价部,0%,"1,616 工时",100%
卫生洁具,造价部,0%,136 工时,100%
卫生洁具合同需求,工程部,0%,56 工时,100%
卫生洁具合同签订,造价部,0%,80 工时,100%
外墙材料,造价部,0%,136 工时,100%
外墙材料合同需求,工程部,0%,56 工时,100%
外墙材料合同签订,造价部,0%,80 工时,100%
苗木采购,造价部,0%,136 工时,100%
苗木采购合同需求,工程部,0%,80 工时,100%
苗木采购合同签订,造价部,0%,56 工时,100%
指定分包合同,造价部,0%,936 工时,100%
弱电系统（周界、监控、巡更、对讲、住户报警、消防）,造价部,0%,320 工时,100%
弱电系统合同需求,工程部,0%,80 工时,100%
弱电系统合同签订,造价部,0%,240 工时,100%
卫星电视,造价部,0%,320 工时,100%
卫星电视合同需求,造价部,0%,80 工时,100%
卫星电视合同签订,造价部,0%,240 工时,100%
小区水景,造价部,0%,320 工时,100%
小区水景合同需求,造价部,0%,80 工时,100%
小区水景合同签订,造价部,0%,240 工时,100%
精装修施工合同,造价部,0%,800 工时,100%
精装修合同需求,工程部,0%,80 工时,100%
施工单位招投标,造价部,0%,80 工时,100%
装修材料确认,研发部,0%,160 工时,100%
成本核算,造价部,0%,120 工时,100%
精装修合同签订,造价部,0%,120 工时,100%
精装修（会所、样板房）机电安装合同,造价部,0%,80 工时,100%
空调系统,造价部,0%,80 工时,100%
空调合同需求,工程部,0%,40 工时,100%
空调合同签订,造价部,0%,40 工时,100%
地板采暖系统,造价部,0%,80 工时,100%
地板采暖合同需求,工程部,0%,40 工时,100%
地板采暖合同签订,造价部,0%,40 工时,100%
景观,造价部,0%,"1,976 工时",100%
景观施工单位考察,工程部,0%,240 工时,100%
景观施工单位考察,造价部,0%,240 工时,100%
苗源调查,工程部,0%,240 工时,100%
苗源调查,造价部,0%,240 工时,100%
苗圃用地情况调查,公共关系部,0%,240 工时,100%
苗圃用地情况调查,造价部,0%,240 工时,100%
苗圃建设,工程部,0%,480 工时,100%
苗圃建设,造价部,0%,480 工时,100%
景观施工单位招投标,造价部,0%,"1,120 工时",100%
景观施工单位招投标,工程部,0%,"1,120 工时",100%
景观材料选定和订货,造价部,0%,120 工时,100%
硬软景工程量的提供,造价部,0%,120 工时,100%
完成工程量清单,造价部,0%,160 工时,100%
签订苗圃租赁合同,工程部,0%,80 工时,100%
签订苗圃租赁合同,造价部,0%,80 工时,100%
景观合同需求,造价部,0%,80 工时,100%
景观合同签订,造价部,0%,120 工时,100%
市政配套合同,造价部,0%,520 工时,100%
天然气安装合同,造价部,0%,400 工时,100%
天然气安装合同需求,工程部,0%,80 工时,100%
天然气安装合同需求,造价部,0%,80 工时,100%
天然气安装合同,造价部,0%,320 工时,100%
自来水（含消火栓）安装合同,造价部,0%,400 工时,100%
自来水安装合同需求,工程部,0%,80 工时,100%
自来水安装合同需求,造价部,0%,80 工时,100%
自来水安装合同,造价部,0%,320 工时,100%
供电系统合同,造价部,0%,400 工时,100%
电缆敷设合同需求,工程部,0%,80 工时,100%
电缆敷设合同需求,造价部,0%,80 工时,100%
电缆敷设合同,造价部,0%,320 工时,100%
配电房安装合同需求,工程部,0%,80 工时,100%
配电房安装合同需求,造价部,0%,80 工时,100%
配电房安装合同,造价部,0%,320 工时,100%
排水检测井合同,造价部,0%,216 工时,100%
排水检测井合同需求,工程部,0%,56 工时,100%
排水检测井合同需求,造价部,0%,56 工时,100%
排水检测井合同,造价部,0%,160 工时,100%
电信（含宽带）合同,造价部,0%,216 工时,100%
电信（含宽带）合同需求,工程部,0%,56 工时,100%
电信（含宽带）合同需求,造价部,0%,56 工时,100%
电信（含宽带）合同,造价部,0%,160 工时,100%
有线电视合同,造价部,0%,216 工时,100%
有线电视合同需求,工程部,0%,56 工时,100%
有线电视合同需求,造价部,0%,56 工时,100%
有线电视合同,造价部,0%,160 工时,100%
施工许可证办理,工程部,0%,400 工时,100%
办理招投标手续,工程部,0%,400 工时,100%
初步设计及概算批文,工程部,0%,160 工时,100%
招标代理单位的确定,工程部,0%,240 工时,100%
6、取得施工许可证,工程部,0%,0 工时,100%
施工准备阶段成果,PMO专员,0%,680 工时,100%
24、《施工、监理单位筛选及评估报告》,工程部,0%,160 工时,100%
25、《招投标、计价方案、合约规划》,造价部,0%,160 工时,100%
26、《三通一平实施方案》,工程部,0%,160 工时,100%
27、《项目管理大纲》,工程部,0%,160 工时,100%
PMO会审,PMO专员,0%,16 工时,100%
提交集团审批,PMO专员,0%,56 工时,100%
工程实施,工程部,0%,"4,888 工时",100%
7、项目开工（正式）,工程部,0%,0 工时,100%
一组团工程施工,工程部,0%,"3,416 工时",100%
施工场地移交,工程部,0%,16 工时,100%
材料确认及认价完成,工程部,0%,240 工时,100%
桩基工程,工程部,0%,240 工时,100%
基础工程,工程部,0%,240 工时,100%
主体工程至封顶状态,工程部,0%,480 工时,100%
屋面工程,工程部,0%,240 工时,100%
砌体工程,工程部,0%,240 工时,100%
内装工程,工程部,0%,240 工时,100%
内粉刷,工程部,0%,240 工时,100%
外装工程,工程部,0%,"1,816 工时",100%
外粉刷,工程部,0%,240 工时,100%
外墙保温,工程部,0%,240 工时,100%
外墙饰面,工程部,0%,360 工时,100%
设备安装工程,工程部,0%,400 工时,100%
结构封顶到可售状态,工程部,0%,0 工时,100%
外装工程完成并外架全部拆除（分期）,工程部,0%,480 工时,100%
二组团工程施工,工程部,0%,"3,176 工时",100%
桩基工程,工程部,0%,240 工时,100%
基础工程,工程部,0%,240 工时,100%
主体工程至封顶状态,工程部,0%,480 工时,100%
屋面工程,工程部,0%,240 工时,100%
砌体工程,工程部,0%,240 工时,100%
内装工程,工程部,0%,240 工时,100%
内粉刷,工程部,0%,240 工时,100%
外装工程,工程部,0%,"1,576 工时",100%
外粉刷,工程部,0%,240 工时,100%
外墙保温,工程部,0%,240 工时,100%
外墙饰面,工程部,0%,360 工时,100%
设备安装工程,工程部,0%,400 工时,100%
结构封顶到可售状态,工程部,0%,0 工时,100%
外装工程完成并外架全部拆除（分期）,工程部,0%,240 工时,100%
三组团工程施工,工程部,0%,"2,936 工时",100%
桩基工程,工程部,0%,240 工时,100%
基础工程,工程部,0%,240 工时,100%
主体工程至封顶状态,工程部,0%,480 工时,100%
屋面工程,工程部,0%,240 工时,100%
砌体工程,工程部,0%,240 工时,100%
内装工程,工程部,0%,240 工时,100%
内粉刷,工程部,0%,240 工时,100%
外装工程,工程部,0%,"1,240 工时",100%
外粉刷,工程部,0%,240 工时,100%
外墙保温,工程部,0%,240 工时,100%
外墙饰面,工程部,0%,360 工时,100%
设备安装工程,工程部,0%,400 工时,100%
结构封顶到可售状态,工程部,0%,0 工时,100%
外装工程完成并外架全部拆除（分期）,工程部,0%,240 工时,100%
市政配套进场施工,工程部,0%,720 工时,100%
市政配套施工（分期）,工程部,0%,720 工时,100%
景观绿化施工,工程部,0%,"1,168 工时",100%
办理报监,工程部,0%,16 工时,100%
土壤测试,工程部,0%,56 工时,100%
景观施工图交底,研发部,0%,56 工时,100%
进场施工,工程部,0%,720 工时,100%
点评,工程部,0%,8 工时,100%
点评,研发部,0%,8 工时,100%
点评,营销部,0%,8 工时,100%
点评,造价部,0%,8 工时,100%
效果调整,工程部,0%,56 工时,100%
效果调整,研发部,0%,56 工时,100%
效果调整,营销部,0%,56 工时,100%
效果调整,造价部,0%,56 工时,100%
清理工作结束,工程部,0%,56 工时,100%
检查及整改,工程部,0%,80 工时,100%
8、景观施工进场,工程部,0%,0 工时,100%
工程竣工,工程部,0%,"1,040 工时",100%
卫生防疫,工程部,0%,40 工时,100%
饮用水质终端检测,工程部,0%,16 工时,100%
卫生防疫验收报告,工程部,0%,24 工时,100%
防雷检测,工程部,0%,88 工时,100%
防雷检测,工程部,0%,40 工时,100%
防雷检测报告,工程部,0%,48 工时,100%
环保验收,工程部,0%,96 工时,100%
环保检测,工程部,0%,32 工时,100%
环保检测报告,工程部,0%,48 工时,100%
规划验收,工程部,0%,120 工时,100%
规划检测(验线),工程部,0%,40 工时,100%
规划检测报告,工程部,0%,40 工时,100%
消防验收,工程部,0%,88 工时,100%
消防检测,工程部,0%,16 工时,100%
消防验收报告,工程部,0%,48 工时,100%
安防验收,工程部,0%,240 工时,100%
技防检测,工程部,0%,120 工时,100%
技防验收报告,工程部,0%,80 工时,100%
技术监督局验收（电梯）,工程部,0%,80 工时,100%
人防验收,工程部,0%,40 工时,100%
档案验收,工程部,0%,56 工时,100%
室内空气检测,工程部,0%,40 工时,100%
市政配套验收,工程部,0%,480 工时,100%
给水验收及取得配套证明,工程部,0%,160 工时,100%
供电验收及取得配套证明,工程部,0%,480 工时,100%
高压部分验收,工程部,0%,120 工时,100%
低压部分验收,工程部,0%,120 工时,100%
正式送电,工程部,0%,160 工时,100%
出具配套证明,工程部,0%,160 工时,100%
燃气验收及取得配套证明,工程部,0%,400 工时,100%
调压站验收,工程部,0%,40 工时,100%
外管验收,工程部,0%,160 工时,100%
内管验收,工程部,0%,120 工时,100%
正式送气,工程部,0%,16 工时,100%
出具配套证明,工程部,0%,160 工时,100%
排水验收及取得配套证明,工程部,0%,160 工时,100%
通信验收及取得配套证明,工程部,0%,160 工时,100%
有线电视验收及取得配套证明,工程部,0%,160 工时,100%
绿化验收,工程部,0%,40 工时,100%
墙体办验收,工程部,0%,40 工时,100%
综合验收,工程部,0%,24 工时,100%
竣工备案,工程部,0%,480 工时,100%
竣工资料,工程部,0%,480 工时,100%
实体验收,工程部,0%,8 工时,100%
9、竣工备案,工程部,0%,0 工时,100%
移交前检查及整改,工程部,0%,240 工时,100%
会所（现场售楼处）及示范区施工,工程部,0%,"1,408 工时",100%
主体施工,工程部,0%,"1,232 工时",100%
施工场地移交,工程部,0%,32 工时,100%
材料确认及认价完成,造价部,0%,120 工时,100%
装修样板的实施及确认,工程部,0%,120 工时,100%
桩基工程,工程部,0%,200 工时,100%
基础工程,工程部,0%,160 工时,100%
主体工程至封顶状态,工程部,0%,400 工时,100%
屋面工程,工程部,0%,200 工时,100%
砌体工程,工程部,0%,200 工时,100%
内装工程,工程部,0%,160 工时,100%
内粉刷,工程部,0%,160 工时,100%
外装工程,工程部,0%,928 工时,100%
外粉刷,工程部,0%,120 工时,100%
外墙保温,工程部,0%,120 工时,100%
外墙饰面,工程部,0%,240 工时,100%
设备安装工程,工程部,0%,720 工时,100%
结构封顶到可售状态,工程部,0%,0 工时,100%
外装工程完成并外架全部拆除（分期）,工程部,0%,120 工时,100%
会所精装修,工程部,0%,800 工时,100%
施工场地移交,工程部,0%,24 工时,100%
材料确认及认价完成,造价部,0%,80 工时,100%
装修样板的实施及确认,工程部,0%,160 工时,100%
装修施工,工程部,0%,560 工时,100%
售楼处精装修,工程部,0%,800 工时,100%
施工场地移交,工程部,0%,24 工时,100%
材料确认及认价完成,造价部,0%,80 工时,100%
装修样板的实施及确认,工程部,0%,160 工时,100%
装修施工,工程部,0%,560 工时,100%
样板房精装修,工程部,0%,800 工时,100%
施工场地移交,工程部,0%,24 工时,100%
材料确认及认价完成,造价部,0%,80 工时,100%
装修样板的实施及确认,工程部,0%,160 工时,100%
装修施工,工程部,0%,560 工时,100%
软装配饰及摆放,营销部,0%,240 工时,100%
场地移交,工程部,0%,16 工时,100%
材料确认及认价完成,造价部,0%,24 工时,100%
装饰样板的实施及确认,营销部,0%,120 工时,100%
装饰施工,营销部,0%,120 工时,100%
物品布置及清洁,营销部,0%,56 工时,100%
示范区外围绿化景观施工,工程部,0%,848 工时,100%
10、会所（现场售楼处）及示范区开放,项目团队,0%,8 工时,100%
营销,营销部,0%,"6,136 工时",100%
示范区和售楼处,营销部,0%,"2,280 工时",100%
外场售楼处,营销部,0%,992 工时,100%
外场售楼处选址,营销部,0%,240 工时,100%
外场售楼处设计,营销部,0%,360 工时,100%
外场售楼处施工、布置,营销部,0%,360 工时,100%
编制外场售楼处管理办法,营销部,0%,96 工时,100%
编制外场售楼处接待流程,营销部,0%,96 工时,100%
物业服务人员到位,物业部,0%,40 工时,100%
外场售楼处开放,营销部,0%,8 工时,100%
现场售楼处、样板房,营销部,0%,"1,016 工时",100%
